; Candidate 12413
; ADRP+ADD at VM 0xfffffff00909d7a8 (fileoff 0x20997a8): page=0x1fe3bc000 add_imm=0xe24

0xfffffff00909d728: f5018012  mov	w21, #-0x10
0xfffffff00909d72c: c3ffff17  b	#0xfffffff00909d638
0xfffffff00909d730: 7f2303d5  pacibsp	
0xfffffff00909d734: ff8301d1  sub	sp, sp, #0x60
0xfffffff00909d738: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00909d73c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00909d740: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00909d744: fd430191  add	x29, sp, #0x50
0xfffffff00909d748: 969300d0  adrp	x22, #0xfffffff00a30f000
0xfffffff00909d74c: d6420c91  add	x22, x22, #0x310
0xfffffff00909d750: c8024039  ldrb	w8, [x22]
0xfffffff00909d754: 341effb0  adrp	x20, #0xfffffff007462000
0xfffffff00909d758: 94661791  add	x20, x20, #0x5d9
0xfffffff00909d75c: 151eff90  adrp	x21, #0xfffffff00745d000
0xfffffff00909d760: b5423c91  add	x21, x21, #0xf10
0xfffffff00909d764: 1f290071  cmp	w8, #0xa
0xfffffff00909d768: a8000054  b.hi	#0xfffffff00909d77c
0xfffffff00909d76c: f55300a9  stp	x21, x20, [sp]
0xfffffff00909d770: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d774: 00583191  add	x0, x0, #0xc56
0xfffffff00909d778: 2ae6ca97  bl	#0xfffffff008357020
0xfffffff00909d77c: a0930090  adrp	x0, #0xfffffff00a311000
0xfffffff00909d780: 00801091  add	x0, x0, #0x420
0xfffffff00909d784: c4020094  bl	#0xfffffff00909e294
0xfffffff00909d788: 137c4093  sxtw	x19, w0
0xfffffff00909d78c: 00020035  cbnz	w0, #0xfffffff00909d7cc
0xfffffff00909d790: 48018052  mov	w8, #0xa
0xfffffff00909d794: c9024039  ldrb	w9, [x22]
0xfffffff00909d798: 1f01096b  cmp	w8, w9
0xfffffff00909d79c: c3000054  b.lo	#0xfffffff00909d7b4
0xfffffff00909d7a0: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff00909d7a4: f50300f9  str	x21, [sp]
0xfffffff00909d7a8: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d7ac: 00903891  add	x0, x0, #0xe24
0xfffffff00909d7b0: 1ce6ca97  bl	#0xfffffff008357020
0xfffffff00909d7b4: e00313aa  mov	x0, x19
0xfffffff00909d7b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00909d7bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00909d7c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00909d7c4: ff830191  add	sp, sp, #0x60
0xfffffff00909d7c8: ff0f5fd6  retab	
0xfffffff00909d7cc: 685b8052  mov	w8, #0x2db
0xfffffff00909d7d0: 291eff90  adrp	x9, #0xfffffff007461000
0xfffffff00909d7d4: 29b52c91  add	x9, x9, #0xb2d
0xfffffff00909d7d8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00909d7dc: e81dff90  adrp	x8, #0xfffffff007459000
0xfffffff00909d7e0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909d7e4: ea1dffb0  adrp	x10, #0xfffffff00745a000
0xfffffff00909d7e8: 4a290291  add	x10, x10, #0x8a
0xfffffff00909d7ec: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff00909d7f0: ea0300f9  str	x10, [sp]
0xfffffff00909d7f4: e01dff90  adrp	x0, #0xfffffff007459000
0xfffffff00909d7f8: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909d7fc: 09e6ca97  bl	#0xfffffff008357020
0xfffffff00909d800: c8088052  mov	w8, #0x46
0xfffffff00909d804: e4ffff17  b	#0xfffffff00909d794
0xfffffff00909d808: 7f2303d5  pacibsp	
0xfffffff00909d80c: ff4302d1  sub	sp, sp, #0x90
0xfffffff00909d810: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00909d814: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00909d818: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00909d81c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00909d820: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00909d824: fd030291  add	x29, sp, #0x80
