; Candidate 9309
; ADRP+ADD at VM 0xfffffff008a24d64 (fileoff 0x1a20d64): page=0x1fe875000 add_imm=0xe40

0xfffffff008a24ce4: 42000014  b	#0xfffffff008a24dec
0xfffffff008a24ce8: 700240f9  ldr	x16, [x19]
0xfffffff008a24cec: f10313aa  mov	x17, x19
0xfffffff008a24cf0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24cf4: 301ac1da  autda	x16, x17
0xfffffff008a24cf8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24cfc: 1002118b  add	x16, x16, x17
0xfffffff008a24d00: 080240f9  ldr	x8, [x16]
0xfffffff008a24d04: e90310aa  mov	x9, x16
0xfffffff008a24d08: e00313aa  mov	x0, x19
0xfffffff008a24d0c: 010080d2  mov	x1, #0
0xfffffff008a24d10: f10309aa  mov	x17, x9
0xfffffff008a24d14: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24d18: 11093fd7  blraa	x8, x17
0xfffffff008a24d1c: 700240f9  ldr	x16, [x19]
0xfffffff008a24d20: f10313aa  mov	x17, x19
0xfffffff008a24d24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24d28: 301ac1da  autda	x16, x17
0xfffffff008a24d2c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24d30: 1002118b  add	x16, x16, x17
0xfffffff008a24d34: 080240f9  ldr	x8, [x16]
0xfffffff008a24d38: e90310aa  mov	x9, x16
0xfffffff008a24d3c: e00313aa  mov	x0, x19
0xfffffff008a24d40: 010080d2  mov	x1, #0
0xfffffff008a24d44: f10309aa  mov	x17, x9
0xfffffff008a24d48: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24d4c: 11093fd7  blraa	x8, x17
0xfffffff008a24d50: d5258052  mov	w21, #0x12e
0xfffffff008a24d54: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a24d58: b643ffd0  adrp	x22, #0xfffffff00729a000
0xfffffff008a24d5c: d6423291  add	x22, x22, #0xc90
0xfffffff008a24d60: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24d64: a043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a24d68: 00003991  add	x0, x0, #0xe40
0xfffffff008a24d6c: 2181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a24d70: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a24d74: e343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a24d78: 63440191  add	x3, x3, #0x51
0xfffffff008a24d7c: 02028052  mov	w2, #0x10
0xfffffff008a24d80: ec38e497  bl	#0xfffffff008333130
0xfffffff008a24d84: 700240f9  ldr	x16, [x19]
0xfffffff008a24d88: f10313aa  mov	x17, x19
0xfffffff008a24d8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24d90: 301ac1da  autda	x16, x17
0xfffffff008a24d94: f10310aa  mov	x17, x16
0xfffffff008a24d98: f147c1da  xpacd	x17
0xfffffff008a24d9c: 1f0211eb  cmp	x16, x17
0xfffffff008a24da0: 40000054  b.eq	#0xfffffff008a24da8
0xfffffff008a24da4: 408e38d4  brk	#0xc472
0xfffffff008a24da8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a24dac: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a24db0: e00313aa  mov	x0, x19
0xfffffff008a24db4: 010080d2  mov	x1, #0
0xfffffff008a24db8: f10308aa  mov	x17, x8
0xfffffff008a24dbc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24dc0: 31093fd7  blraa	x9, x17
0xfffffff008a24dc4: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a24dc8: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24dcc: c043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a24dd0: 00102c91  add	x0, x0, #0xb04
0xfffffff008a24dd4: 93c8e497  bl	#0xfffffff008357020
0xfffffff008a24dd8: f6588052  mov	w22, #0x2c7
0xfffffff008a24ddc: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008a24de0: 0e000014  b	#0xfffffff008a24e18
