; Candidate 6702
; ADRP+ADD at VM 0xfffffff00883ba94 (fileoff 0x1837a94): page=0x1fe9ae000 add_imm=0xe80

0xfffffff00883ba14: 93eed597  bl	#0xfffffff007db7460
0xfffffff00883ba18: 27000014  b	#0xfffffff00883bab4
0xfffffff00883ba1c: e00316aa  mov	x0, x22
0xfffffff00883ba20: 04cfff97  bl	#0xfffffff00882f630
0xfffffff00883ba24: e0031caa  mov	x0, x28
0xfffffff00883ba28: 02cfff97  bl	#0xfffffff00882f630
0xfffffff00883ba2c: e0031baa  mov	x0, x27
0xfffffff00883ba30: 00cfff97  bl	#0xfffffff00882f630
0xfffffff00883ba34: dee10194  bl	#0xfffffff0088b41ac
0xfffffff00883ba38: f70300aa  mov	x23, x0
0xfffffff00883ba3c: 00018052  mov	w0, #8
0xfffffff00883ba40: 84ff0094  bl	#0xfffffff00887b850
0xfffffff00883ba44: f80300aa  mov	x24, x0
0xfffffff00883ba48: b45a40b9  ldr	w20, [x21, #0x58]
0xfffffff00883ba4c: e00316aa  mov	x0, x22
0xfffffff00883ba50: f8ceff97  bl	#0xfffffff00882f630
0xfffffff00883ba54: f60300aa  mov	x22, x0
0xfffffff00883ba58: e0031caa  mov	x0, x28
0xfffffff00883ba5c: f5ceff97  bl	#0xfffffff00882f630
0xfffffff00883ba60: f90300aa  mov	x25, x0
0xfffffff00883ba64: e0031baa  mov	x0, x27
0xfffffff00883ba68: f2ceff97  bl	#0xfffffff00882f630
0xfffffff00883ba6c: f90304a9  stp	x25, x0, [sp, #0x40]
0xfffffff00883ba70: f45b03a9  stp	x20, x22, [sp, #0x30]
0xfffffff00883ba74: f42f40f9  ldr	x20, [sp, #0x58]
0xfffffff00883ba78: 088e8052  mov	w8, #0x470
0xfffffff00883ba7c: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff00883ba80: 484fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883ba84: 08712a91  add	x8, x8, #0xa9c
0xfffffff00883ba88: f82301a9  stp	x24, x8, [sp, #0x10]
0xfffffff00883ba8c: 480a8052  mov	w8, #0x52
0xfffffff00883ba90: f72300a9  stp	x23, x8, [sp]
0xfffffff00883ba94: 604dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883ba98: 00003a91  add	x0, x0, #0xe80
0xfffffff00883ba9c: 618effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883baa0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883baa4: 02008052  mov	w2, #0
0xfffffff00883baa8: 8350fff0  adrp	x3, #0xfffffff00724e000
0xfffffff00883baac: 63743e91  add	x3, x3, #0xf9d
0xfffffff00883bab0: a0ddeb97  bl	#0xfffffff008333130
0xfffffff00883bab4: e00315aa  mov	x0, x21
0xfffffff00883bab8: 07cfff97  bl	#0xfffffff00882f6d4
0xfffffff00883babc: f50300aa  mov	x21, x0
0xfffffff00883bac0: e00314aa  mov	x0, x20
0xfffffff00883bac4: 46d1ff97  bl	#0xfffffff00882ffdc
0xfffffff00883bac8: bf0200eb  cmp	x21, x0
0xfffffff00883bacc: 61edff54  b.ne	#0xfffffff00883b878
0xfffffff00883bad0: 02000014  b	#0xfffffff00883bad8
0xfffffff00883bad4: 1a008052  mov	w26, #0
0xfffffff00883bad8: e0031aaa  mov	x0, x26
0xfffffff00883badc: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00883bae0: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00883bae4: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff00883bae8: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff00883baec: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff00883baf0: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff00883baf4: ff030391  add	sp, sp, #0xc0
0xfffffff00883baf8: ff0f5fd6  retab	
0xfffffff00883bafc: 7f2303d5  pacibsp	
0xfffffff00883bb00: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00883bb04: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00883bb08: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00883bb0c: fd830091  add	x29, sp, #0x20
0xfffffff00883bb10: 08bc40b9  ldr	w8, [x0, #0xbc]
