; Candidate 699
; ADRP+ADD at VM 0xfffffff0080300a8 (fileoff 0x102c0a8): page=0x1ff03c000 add_imm=0xdf0

0xfffffff008030028: 21fc3c91  add	x1, x1, #0xf3f
0xfffffff00803002c: e0430091  add	x0, sp, #0x10
0xfffffff008030030: 02048052  mov	w2, #0x20
0xfffffff008030034: 03048052  mov	w3, #0x20
0xfffffff008030038: 42bff997  bl	#0xfffffff007e9fd40
0xfffffff00803003c: 88a64039  ldrb	w8, [x20, #0x29]
0xfffffff008030040: e8060837  tbnz	w8, #1, #0xfffffff00803011c
0xfffffff008030044: c8071037  tbnz	w8, #2, #0xfffffff00803013c
0xfffffff008030048: e8001836  tbz	w8, #3, #0xfffffff008030064
0xfffffff00803004c: c181fff0  adrp	x1, #0xfffffff00706b000
0xfffffff008030050: 21643d91  add	x1, x1, #0xf59
0xfffffff008030054: e0430091  add	x0, sp, #0x10
0xfffffff008030058: 02048052  mov	w2, #0x20
0xfffffff00803005c: 03048052  mov	w3, #0x20
0xfffffff008030060: 38bff997  bl	#0xfffffff007e9fd40
0xfffffff008030064: e81e0012  and	w8, w23, #0xff
0xfffffff008030068: 1f010271  cmp	w8, #0x80
0xfffffff00803006c: e0010054  b.eq	#0xfffffff0080300a8
0xfffffff008030070: f6430091  add	x22, sp, #0x10
0xfffffff008030074: e0430091  add	x0, sp, #0x10
0xfffffff008030078: 62b5f497  bl	#0xfffffff007d5d600
0xfffffff00803007c: d602008b  add	x22, x22, x0
0xfffffff008030080: e0430091  add	x0, sp, #0x10
0xfffffff008030084: 5fb5f497  bl	#0xfffffff007d5d600
0xfffffff008030088: 08048052  mov	w8, #0x20
0xfffffff00803008c: 010100cb  sub	x1, x8, x0
0xfffffff008030090: e81e4092  and	x8, x23, #0xff
0xfffffff008030094: e80300f9  str	x8, [sp]
0xfffffff008030098: c281fff0  adrp	x2, #0xfffffff00706b000
0xfffffff00803009c: 42703d91  add	x2, x2, #0xf5c
0xfffffff0080300a0: e00316aa  mov	x0, x22
0xfffffff0080300a4: 2e2b0794  bl	#0xfffffff0081fad5c
0xfffffff0080300a8: e081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff0080300ac: 00c03791  add	x0, x0, #0xdf0
0xfffffff0080300b0: 60480094  bl	#0xfffffff008042230
0xfffffff0080300b4: 600500b4  cbz	x0, #0xfffffff008030160
0xfffffff0080300b8: f60300aa  mov	x22, x0
0xfffffff0080300bc: e1430091  add	x1, sp, #0x10
0xfffffff0080300c0: 7d620094  bl	#0xfffffff008048ab4
0xfffffff0080300c4: 602a00f9  str	x0, [x19, #0x50]
0xfffffff0080300c8: 200600b4  cbz	x0, #0xfffffff00803018c
0xfffffff0080300cc: 082044b9  ldr	w8, [x0, #0x420]
0xfffffff0080300d0: 08011e32  orr	w8, w8, #4
0xfffffff0080300d4: 082004b9  str	w8, [x0, #0x420]
0xfffffff0080300d8: 88a64039  ldrb	w8, [x20, #0x29]
0xfffffff0080300dc: 68d60139  strb	w8, [x19, #0x75]
0xfffffff0080300e0: 75d20139  strb	w21, [x19, #0x74]
0xfffffff0080300e4: 7f0200f9  str	xzr, [x19]
0xfffffff0080300e8: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0080300ec: 096d40f9  ldr	x9, [x8, #0xd8]
0xfffffff0080300f0: 690600f9  str	x9, [x19, #8]
0xfffffff0080300f4: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff0080300f8: 130100f9  str	x19, [x8]
0xfffffff0080300fc: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff008030100: 136d00f9  str	x19, [x8, #0xd8]
0xfffffff008030104: 931200f9  str	x19, [x20, #0x20]
0xfffffff008030108: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff00803010c: 006940f9  ldr	x0, [x8, #0xd0]
0xfffffff008030110: 6ffdff97  bl	#0xfffffff00802f6cc
0xfffffff008030114: 16008052  mov	w22, #0
0xfffffff008030118: 2e000014  b	#0xfffffff0080301d0
0xfffffff00803011c: c181fff0  adrp	x1, #0xfffffff00706b000
0xfffffff008030120: 21203d91  add	x1, x1, #0xf48
0xfffffff008030124: e0430091  add	x0, sp, #0x10
