; Candidate 16235
; ADRP+ADD at VM 0xfffffff009e330e4 (fileoff 0x2e2f0e4): page=0x5a0000 add_imm=0xe30

0xfffffff009e33064: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff009e33068: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff009e3306c: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff009e33070: ff830491  add	sp, sp, #0x120
0xfffffff009e33074: ff0f5fd6  retab	
0xfffffff009e33078: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e3307c: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009e33080: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009e33084: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009e33088: 48028052  mov	w8, #0x12
0xfffffff009e3308c: 090c8052  mov	w9, #0x60
0xfffffff009e33090: e8430139  strb	w8, [sp, #0x50]
0xfffffff009e33094: 20200591  add	x0, x1, #0x148
0xfffffff009e33098: e8430191  add	x8, sp, #0x50
0xfffffff009e3309c: 03017db2  orr	x3, x8, #8
0xfffffff009e330a0: e9a70079  strh	w9, [sp, #0x52]
0xfffffff009e330a4: 41018052  mov	w1, #0xa
0xfffffff009e330a8: 020080d2  mov	x2, #0
0xfffffff009e330ac: 04018052  mov	w4, #8
0xfffffff009e330b0: 2b9d0494  bl	#0xfffffff009f5a55c
0xfffffff009e330b4: 60020034  cbz	w0, #0xfffffff009e33100
0xfffffff009e330b8: f90300aa  mov	x25, x0
0xfffffff009e330bc: a80240f9  ldr	x8, [x21]
0xfffffff009e330c0: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff009e330c4: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e330c8: 088d3291  add	x8, x8, #0xca3
0xfffffff009e330cc: 69418052  mov	w9, #0x20b
0xfffffff009e330d0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e330d4: e80300f9  str	x8, [sp]
0xfffffff009e330d8: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e330dc: 00f82591  add	x0, x0, #0x97e
0xfffffff009e330e0: f9310194  bl	#0xfffffff009e7f8c4
0xfffffff009e330e4: 002d0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e330e8: 00c03891  add	x0, x0, #0xe30
0xfffffff009e330ec: e1409552  mov	w1, #0xaa07
0xfffffff009e330f0: 2102a072  movk	w1, #0x11, lsl #16
0xfffffff009e330f4: e20319aa  mov	x2, x25
0xfffffff009e330f8: 8efcff97  bl	#0xfffffff009e32330
0xfffffff009e330fc: d6ffff17  b	#0xfffffff009e33054
0xfffffff009e33100: 800640f9  ldr	x0, [x20, #8]
0xfffffff009e33104: ff0304a9  stp	xzr, x0, [sp, #0x40]
0xfffffff009e33108: 047c40f9  ldr	x4, [x0, #0xf8]
0xfffffff009e3310c: e3430191  add	x3, sp, #0x50
0xfffffff009e33110: e5030191  add	x5, sp, #0x40
0xfffffff009e33114: 21008052  mov	w1, #1
0xfffffff009e33118: 020080d2  mov	x2, #0
0xfffffff009e3311c: 1cbf0294  bl	#0xfffffff009ee2d8c
0xfffffff009e33120: 00030034  cbz	w0, #0xfffffff009e33180
0xfffffff009e33124: f90300aa  mov	x25, x0
0xfffffff009e33128: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff009e3312c: a90240f9  ldr	x9, [x21]
0xfffffff009e33130: 290540f9  ldr	x9, [x9, #8]
0xfffffff009e33134: e9e701a9  stp	x9, x25, [sp, #0x18]
0xfffffff009e33138: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e3313c: 088d3291  add	x8, x8, #0xca3
0xfffffff009e33140: 69428052  mov	w9, #0x213
0xfffffff009e33144: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e33148: e80300f9  str	x8, [sp]
0xfffffff009e3314c: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e33150: 00502791  add	x0, x0, #0x9d4
0xfffffff009e33154: dc310194  bl	#0xfffffff009e7f8c4
0xfffffff009e33158: e8409552  mov	w8, #0xaa07
0xfffffff009e3315c: 2802a072  movk	w8, #0x11, lsl #16
0xfffffff009e33160: 01050011  add	w1, w8, #1
