; Candidate 3574
; ADRP+ADD at VM 0xfffffff00874659c (fileoff 0x174259c): page=0x1fe9eb000 add_imm=0xd90

0xfffffff00874651c: f80313aa  mov	x24, x19
0xfffffff008746520: f33340f9  ldr	x19, [sp, #0x60]
0xfffffff008746524: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008746528: 1f0500f9  str	xzr, [x8, #8]
0xfffffff00874652c: 777e00a9  stp	x23, xzr, [x19]
0xfffffff008746530: b00240f9  ldr	x16, [x21]
0xfffffff008746534: f10315aa  mov	x17, x21
0xfffffff008746538: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874653c: 301ac1da  autda	x16, x17
0xfffffff008746540: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008746544: e90310aa  mov	x9, x16
0xfffffff008746548: e00315aa  mov	x0, x21
0xfffffff00874654c: f10309aa  mov	x17, x9
0xfffffff008746550: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008746554: 11093fd7  blraa	x8, x17
0xfffffff008746558: f40300aa  mov	x20, x0
0xfffffff00874655c: b00240f9  ldr	x16, [x21]
0xfffffff008746560: f10315aa  mov	x17, x21
0xfffffff008746564: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008746568: 301ac1da  autda	x16, x17
0xfffffff00874656c: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008746570: e90310aa  mov	x9, x16
0xfffffff008746574: e00315aa  mov	x0, x21
0xfffffff008746578: f10309aa  mov	x17, x9
0xfffffff00874657c: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008746580: 11093fd7  blraa	x8, x17
0xfffffff008746584: 1f4034eb  cmp	x0, w20, uxtw
0xfffffff008746588: a0010054  b.eq	#0xfffffff0087465bc
0xfffffff00874658c: 484c8352  mov	w8, #0x1a62
0xfffffff008746590: 8950ffb0  adrp	x9, #0xfffffff007157000
0xfffffff008746594: 29893791  add	x9, x9, #0xde2
0xfffffff008746598: e92300a9  stp	x9, x8, [sp]
0xfffffff00874659c: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087465a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087465a4: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087465a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087465ac: c34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087465b0: 63b03291  add	x3, x3, #0xcac
0xfffffff0087465b4: 02008052  mov	w2, #0
0xfffffff0087465b8: deb2ef97  bl	#0xfffffff008333130
0xfffffff0087465bc: b00240f9  ldr	x16, [x21]
0xfffffff0087465c0: f10315aa  mov	x17, x21
0xfffffff0087465c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087465c8: 301ac1da  autda	x16, x17
0xfffffff0087465cc: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0087465d0: e90310aa  mov	x9, x16
0xfffffff0087465d4: e00315aa  mov	x0, x21
0xfffffff0087465d8: f10309aa  mov	x17, x9
0xfffffff0087465dc: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff0087465e0: 11093fd7  blraa	x8, x17
0xfffffff0087465e4: fc0300aa  mov	x28, x0
0xfffffff0087465e8: 197c4092  and	x25, x0, #0xffffffff
0xfffffff0087465ec: f41740f9  ldr	x20, [sp, #0x28]
0xfffffff0087465f0: f75f40b9  ldr	w23, [sp, #0x5c]
0xfffffff0087465f4: bac359b8  ldur	w26, [x29, #-0x64]
0xfffffff0087465f8: 80048052  mov	w0, #0x24
0xfffffff0087465fc: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008746600: 010080d2  mov	x1, #0
0xfffffff008746604: 020080d2  mov	x2, #0
0xfffffff008746608: 030080d2  mov	x3, #0
0xfffffff00874660c: 040080d2  mov	x4, #0
0xfffffff008746610: 050080d2  mov	x5, #0
0xfffffff008746614: 3cdee897  bl	#0xfffffff00817df04
0xfffffff008746618: 681240f9  ldr	x8, [x19, #0x20]
