; Candidate 933
; ADRP+ADD at VM 0xfffffff00810a8c4 (fileoff 0x11068c4): page=0x2139000 add_imm=0xe58

0xfffffff00810a844: 00c03f91  add	x0, x0, #0xff0
0xfffffff00810a848: e10317aa  mov	x1, x23
0xfffffff00810a84c: f0fcf397  bl	#0xfffffff007e09c0c
0xfffffff00810a850: c80901b0  adrp	x8, #0xfffffff00a243000
0xfffffff00810a854: 08b13b91  add	x8, x8, #0xeec
0xfffffff00810a858: 6afeff17  b	#0xfffffff00810a200
0xfffffff00810a85c: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810a860: 00603991  add	x0, x0, #0xe58
0xfffffff00810a864: e12740f9  ldr	x1, [sp, #0x48]
0xfffffff00810a868: 02008052  mov	w2, #0
0xfffffff00810a86c: a384f297  bl	#0xfffffff007dabaf8
0xfffffff00810a870: cffcff17  b	#0xfffffff008109bac
0xfffffff00810a874: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810a878: 00603991  add	x0, x0, #0xe58
0xfffffff00810a87c: e10316aa  mov	x1, x22
0xfffffff00810a880: b987f297  bl	#0xfffffff007dac764
0xfffffff00810a884: 15d0ffb5  cbnz	x21, #0xfffffff00810a284
0xfffffff00810a888: 84feff17  b	#0xfffffff00810a298
0xfffffff00810a88c: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810a890: 00603991  add	x0, x0, #0xe58
0xfffffff00810a894: b487f297  bl	#0xfffffff007dac764
0xfffffff00810a898: 7cfdff17  b	#0xfffffff008109e88
0xfffffff00810a89c: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810a8a0: 00603991  add	x0, x0, #0xe58
0xfffffff00810a8a4: b087f297  bl	#0xfffffff007dac764
0xfffffff00810a8a8: 34feff17  b	#0xfffffff00810a178
0xfffffff00810a8ac: 807bff90  adrp	x0, #0xfffffff00707a000
0xfffffff00810a8b0: 00743191  add	x0, x0, #0xc5d
0xfffffff00810a8b4: 817bff90  adrp	x1, #0xfffffff00707a000
0xfffffff00810a8b8: 21783091  add	x1, x1, #0xc1e
0xfffffff00810a8bc: 42578052  mov	w2, #0x2ba
0xfffffff00810a8c0: d5530e94  bl	#0xfffffff00849f814
0xfffffff00810a8c4: c00901b0  adrp	x0, #0xfffffff00a243000
0xfffffff00810a8c8: 00603991  add	x0, x0, #0xe58
0xfffffff00810a8cc: a687f297  bl	#0xfffffff007dac764
0xfffffff00810a8d0: 93f6ffb5  cbnz	x19, #0xfffffff00810a7a0
0xfffffff00810a8d4: b8ffff17  b	#0xfffffff00810a7b4
0xfffffff00810a8d8: 7f2303d5  pacibsp	
0xfffffff00810a8dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00810a8e0: fd030091  mov	x29, sp
0xfffffff00810a8e4: c80901b0  adrp	x8, #0xfffffff00a243000
0xfffffff00810a8e8: 08f14eb9  ldr	w8, [x8, #0xef0]
0xfffffff00810a8ec: c90901b0  adrp	x9, #0xfffffff00a243000
0xfffffff00810a8f0: 29f54eb9  ldr	w9, [x9, #0xef4]
0xfffffff00810a8f4: 1f010071  cmp	w8, #0
0xfffffff00810a8f8: 2011487a  ccmp	w9, w8, #0, ne
0xfffffff00810a8fc: 88010054  b.hi	#0xfffffff00810a92c
0xfffffff00810a900: 60c3fff0  adrp	x0, #0xfffffff007979000
0xfffffff00810a904: 00c00091  add	x0, x0, #0x30
0xfffffff00810a908: a1008052  mov	w1, #5
0xfffffff00810a90c: 7271f297  bl	#0xfffffff007da6ed4
0xfffffff00810a910: a00000b4  cbz	x0, #0xfffffff00810a924
0xfffffff00810a914: c80901b0  adrp	x8, #0xfffffff00a243000
0xfffffff00810a918: 08d13b91  add	x8, x8, #0xef4
0xfffffff00810a91c: 29008052  mov	w9, #1
0xfffffff00810a920: 080129b8  ldadd	w9, w8, [x8]
0xfffffff00810a924: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00810a928: ff0f5fd6  retab	
0xfffffff00810a92c: 000080d2  mov	x0, #0
0xfffffff00810a930: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00810a934: ff0f5fd6  retab	
0xfffffff00810a938: 5f2403d5  bti	c
0xfffffff00810a93c: c80901b0  adrp	x8, #0xfffffff00a243000
0xfffffff00810a940: 09917b39  ldrb	w9, [x8, #0xee4]
