; Candidate 184
; ADRP+ADD at VM 0xfffffff007e2dd1c (fileoff 0xe29d1c): page=0x23ca000 add_imm=0xe2c

0xfffffff007e2dc9c: eb010054  b.lt	#0xfffffff007e2dcd8
0xfffffff007e2dca0: a83a40f9  ldr	x8, [x21, #0x70]
0xfffffff007e2dca4: 0109098b  add	x1, x8, x9, lsl #2
0xfffffff007e2dca8: e36b0091  add	x3, sp, #0x1a
0xfffffff007e2dcac: e5730091  add	x5, sp, #0x1c
0xfffffff007e2dcb0: e6530091  add	x6, sp, #0x14
0xfffffff007e2dcb4: e00317aa  mov	x0, x23
0xfffffff007e2dcb8: e20318aa  mov	x2, x24
0xfffffff007e2dcbc: e40319aa  mov	x4, x25
0xfffffff007e2dcc0: 0f1c0094  bl	#0xfffffff007e34cfc
0xfffffff007e2dcc4: 1f00186b  cmp	w0, w24
0xfffffff007e2dcc8: 18d09f5a  csinv	w24, w0, wzr, le
0xfffffff007e2dccc: ea374079  ldrh	w10, [sp, #0x1a]
0xfffffff007e2dcd0: 880340f9  ldr	x8, [x28]
0xfffffff007e2dcd4: 02000014  b	#0xfffffff007e2dcdc
0xfffffff007e2dcd8: 18008012  mov	w24, #-1
0xfffffff007e2dcdc: 49014092  and	x9, x10, #1
0xfffffff007e2dce0: 280162b3  bfi	x8, x9, #0x1e, #1
0xfffffff007e2dce4: 880300f9  str	x8, [x28]
0xfffffff007e2dce8: 1f070031  cmn	w24, #1
0xfffffff007e2dcec: 81020054  b.ne	#0xfffffff007e2dd3c
0xfffffff007e2dcf0: df124071  cmp	w22, #4, lsl #12
0xfffffff007e2dcf4: 2a080054  b.ge	#0xfffffff007e2ddf8
0xfffffff007e2dcf8: e00315aa  mov	x0, x21
0xfffffff007e2dcfc: e10314aa  mov	x1, x20
0xfffffff007e2dd00: 3a020094  bl	#0xfffffff007e2e5e8
0xfffffff007e2dd04: a8220091  add	x8, x21, #8
0xfffffff007e2dd08: 491b44b9  ldr	w9, [x26, #0x418]
0xfffffff007e2dd0c: e20309aa  mov	x2, x9
0xfffffff007e2dd10: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007e2dd14: 5f00096b  cmp	w2, w9
0xfffffff007e2dd18: a1000054  b.ne	#0xfffffff007e2dd2c
0xfffffff007e2dd1c: 401e01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2dd20: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2dd24: 4102fe97  bl	#0xfffffff007dae628
0xfffffff007e2dd28: acffff17  b	#0xfffffff007e2dbd8
0xfffffff007e2dd2c: e00315aa  mov	x0, x21
0xfffffff007e2dd30: e1031aaa  mov	x1, x26
0xfffffff007e2dd34: 8cfafd97  bl	#0xfffffff007dac764
0xfffffff007e2dd38: f9ffff17  b	#0xfffffff007e2dd1c
0xfffffff007e2dd3c: 18050035  cbnz	w24, #0xfffffff007e2dddc
0xfffffff007e2dd40: 08008052  mov	w8, #0
0xfffffff007e2dd44: e90240b9  ldr	w9, [x23]
0xfffffff007e2dd48: 2a1d0190  adrp	x10, #0xfffffff00a1d1000
0xfffffff007e2dd4c: 4a912e91  add	x10, x10, #0xba4
0xfffffff007e2dd50: 2b1d0190  adrp	x11, #0xfffffff00a1d1000
0xfffffff007e2dd54: 6b812e91  add	x11, x11, #0xba0
0xfffffff007e2dd58: 3f010071  cmp	w9, #0
0xfffffff007e2dd5c: 6a018a9a  csel	x10, x11, x10, eq
0xfffffff007e2dd60: 2b008052  mov	w11, #1
0xfffffff007e2dd64: 4a012bb8  ldadd	w11, w10, [x10]
0xfffffff007e2dd68: 2b250012  and	w11, w9, #0x3ff
0xfffffff007e2dd6c: 2a7d60d3  lsl	x10, x9, #0x20
0xfffffff007e2dd70: 0c1d01d0  adrp	x12, #0xfffffff00a1cf000
0xfffffff007e2dd74: 8c212e91  add	x12, x12, #0xb88
0xfffffff007e2dd78: 6b7d4093  sxtw	x11, w11
0xfffffff007e2dd7c: 8e796bf8  ldr	x14, [x12, x11, lsl #3]
0xfffffff007e2dd80: cffd60d3  lsr	x15, x14, #0x20
0xfffffff007e2dd84: cd7d4092  and	x13, x14, #0xffffffff
0xfffffff007e2dd88: 3f010f6b  cmp	w9, w15
0xfffffff007e2dd8c: a41940fa  ccmp	x13, #0, #4, ne
0xfffffff007e2dd90: 21010054  b.ne	#0xfffffff007e2ddb4
0xfffffff007e2dd94: cf050011  add	w15, w14, #1
0xfffffff007e2dd98: ef010aaa  orr	x15, x15, x10
