; Candidate 10845
; ADRP+ADD at VM 0xfffffff008de962c (fileoff 0x1de562c): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de95ac: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff008de95b0: 880a00f9  str	x8, [x20, #0x10]
0xfffffff008de95b4: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff008de95b8: 88040034  cbz	w8, #0xfffffff008de9648
0xfffffff008de95bc: 180080d2  mov	x24, #0
0xfffffff008de95c0: b9620091  add	x25, x21, #0x18
0xfffffff008de95c4: 17038052  mov	w23, #0x18
0xfffffff008de95c8: 680240f9  ldr	x8, [x19]
0xfffffff008de95cc: 080117cb  sub	x8, x8, x23
0xfffffff008de95d0: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008de95d4: 207b78f8  ldr	x0, [x25, x24, lsl #3]
0xfffffff008de95d8: 8102178b  add	x1, x20, x23
0xfffffff008de95dc: e2c30091  add	x2, sp, #0x30
0xfffffff008de95e0: a7ffff97  bl	#0xfffffff008de947c
0xfffffff008de95e4: 600a0035  cbnz	w0, #0xfffffff008de9730
0xfffffff008de95e8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008de95ec: 1701178b  add	x23, x8, x23
0xfffffff008de95f0: 18070091  add	x24, x24, #1
0xfffffff008de95f4: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff008de95f8: 1f0308eb  cmp	x24, x8
0xfffffff008de95fc: 63feff54  b.lo	#0xfffffff008de95c8
0xfffffff008de9600: c6ffff17  b	#0xfffffff008de9518
0xfffffff008de9604: 88738052  mov	w8, #0x39c
0xfffffff008de9608: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de960c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9610: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9614: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9618: 08493991  add	x8, x8, #0xe52
0xfffffff008de961c: ca2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de9620: 4ab12391  add	x10, x10, #0x8ec
0xfffffff008de9624: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de9628: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de962c: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9630: 00543891  add	x0, x0, #0xe15
0xfffffff008de9634: 7bb6d597  bl	#0xfffffff008357020
0xfffffff008de9638: 56008012  mov	w22, #-3
0xfffffff008de963c: b9ffff17  b	#0xfffffff008de9520
0xfffffff008de9640: 97028052  mov	w23, #0x14
0xfffffff008de9644: b5ffff17  b	#0xfffffff008de9518
0xfffffff008de9648: 17038052  mov	w23, #0x18
0xfffffff008de964c: b3ffff17  b	#0xfffffff008de9518
0xfffffff008de9650: f60300aa  mov	x22, x0
0xfffffff008de9654: c87e4093  sxtw	x8, w22
0xfffffff008de9658: 49718052  mov	w9, #0x38a
0xfffffff008de965c: 38000014  b	#0xfffffff008de973c
0xfffffff008de9660: 286b8052  mov	w8, #0x359
0xfffffff008de9664: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9668: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de966c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9670: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9674: 08493991  add	x8, x8, #0xe52
0xfffffff008de9678: ca2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de967c: 4a092191  add	x10, x10, #0x842
0xfffffff008de9680: e9ffff17  b	#0xfffffff008de9624
0xfffffff008de9684: 486b8052  mov	w8, #0x35a
0xfffffff008de9688: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de968c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9690: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9694: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9698: 08493991  add	x8, x8, #0xe52
0xfffffff008de969c: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de96a0: 4a393391  add	x10, x10, #0xcce
0xfffffff008de96a4: e0ffff17  b	#0xfffffff008de9624
0xfffffff008de96a8: 686b8052  mov	w8, #0x35b
