; Candidate 2792
; ADRP+ADD at VM 0xfffffff0086e816c (fileoff 0x16e416c): page=0x1fea49000 add_imm=0xd90

0xfffffff0086e80ec: f30300aa  mov	x19, x0
0xfffffff0086e80f0: 34008052  mov	w20, #1
0xfffffff0086e80f4: 9400a072  movk	w20, #4, lsl #16
0xfffffff0086e80f8: 09284529  ldp	w9, w10, [x0, #0x28]
0xfffffff0086e80fc: 5f3d0071  cmp	w10, #0xf
0xfffffff0086e8100: a8040054  b.hi	#0xfffffff0086e8194
0xfffffff0086e8104: 08008052  mov	w8, #0
0xfffffff0086e8108: 15008052  mov	w21, #0
0xfffffff0086e810c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e8110: 8b008052  mov	w11, #4
0xfffffff0086e8114: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e8118: b55e1853  lsl	w21, w21, #8
0xfffffff0086e811c: bf010ceb  cmp	x13, x12
0xfffffff0086e8120: 02010054  b.hs	#0xfffffff0086e8140
0xfffffff0086e8124: 08210011  add	w8, w8, #8
0xfffffff0086e8128: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e812c: ae050091  add	x14, x13, #1
0xfffffff0086e8130: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e8134: ad014039  ldrb	w13, [x13]
0xfffffff0086e8138: b5020d2a  orr	w21, w21, w13
0xfffffff0086e813c: ed030eaa  mov	x13, x14
0xfffffff0086e8140: 6b050071  subs	w11, w11, #1
0xfffffff0086e8144: a1feff54  b.ne	#0xfffffff0086e8118
0xfffffff0086e8148: 0b028052  mov	w11, #0x10
0xfffffff0086e814c: 76010a4b  sub	w22, w11, w10
0xfffffff0086e8150: ea030a4b  neg	w10, w10
0xfffffff0086e8154: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086e8158: 3721d61a  lsl	w23, w9, w22
0xfffffff0086e815c: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e8160: 3f01146a  tst	w9, w20
0xfffffff0086e8164: 00020054  b.eq	#0xfffffff0086e81a4
0xfffffff0086e8168: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e816c: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e8170: 00403691  add	x0, x0, #0xd90
0xfffffff0086e8174: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8178: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e817c: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8180: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e8184: 02008052  mov	w2, #0
0xfffffff0086e8188: ea2bf197  bl	#0xfffffff008333130
0xfffffff0086e818c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e8190: 05000014  b	#0xfffffff0086e81a4
0xfffffff0086e8194: 17008052  mov	w23, #0
0xfffffff0086e8198: 16028052  mov	w22, #0x10
0xfffffff0086e819c: e8030aaa  mov	x8, x10
0xfffffff0086e81a0: f50309aa  mov	x21, x9
0xfffffff0086e81a4: e903164b  neg	w9, w22
0xfffffff0086e81a8: a926c91a  lsr	w9, w21, w9
0xfffffff0086e81ac: 3701172a  orr	w23, w9, w23
0xfffffff0086e81b0: a922d61a  lsl	w9, w21, w22
0xfffffff0086e81b4: 0801164b  sub	w8, w8, w22
0xfffffff0086e81b8: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e81bc: 6ace5eb9  ldr	w10, [x19, #0x1ecc]
0xfffffff0086e81c0: 5f01146a  tst	w10, w20
0xfffffff0086e81c4: e0010054  b.eq	#0xfffffff0086e8200
0xfffffff0086e81c8: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086e81cc: 4853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e81d0: 08b90e91  add	x8, x8, #0x3ae
0xfffffff0086e81d4: 09028052  mov	w9, #0x10
0xfffffff0086e81d8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e81dc: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e81e0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e81e4: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e81e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
