; Candidate 6203
; ADRP+ADD at VM 0xfffffff00881a0a0 (fileoff 0x18160a0): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881a020: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881a024: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00881a028: 8a348152  mov	w10, #0x9a4
0xfffffff00881a02c: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a030: 08911491  add	x8, x8, #0x524
0xfffffff00881a034: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00881a038: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881a03c: 880e8052  mov	w8, #0x74
0xfffffff00881a040: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881a044: 00a40291  add	x0, x0, #0xa9
0xfffffff00881a048: f82300a9  stp	x24, x8, [sp]
0xfffffff00881a04c: 0575d697  bl	#0xfffffff007db7460
0xfffffff00881a050: a5000014  b	#0xfffffff00881a2e4
0xfffffff00881a054: 56680294  bl	#0xfffffff0088b41ac
0xfffffff00881a058: f80300aa  mov	x24, x0
0xfffffff00881a05c: 80008052  mov	w0, #4
0xfffffff00881a060: fc850194  bl	#0xfffffff00887b850
0xfffffff00881a064: f5df04a9  stp	x21, x23, [sp, #0x48]
0xfffffff00881a068: e80316aa  mov	x8, x22
0xfffffff00881a06c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00881a070: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a074: 085d0191  add	x8, x8, #0x57
0xfffffff00881a078: a9338152  mov	w9, #0x99d
0xfffffff00881a07c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a080: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a084: 08911491  add	x8, x8, #0x524
0xfffffff00881a088: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a08c: 880e8052  mov	w8, #0x74
0xfffffff00881a090: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881a094: 63f80b91  add	x3, x3, #0x2fe
0xfffffff00881a098: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881a09c: f80300f9  str	x24, [sp]
0xfffffff00881a0a0: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881a0a4: 00003a91  add	x0, x0, #0xe80
0xfffffff00881a0a8: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881a0ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881a0b0: 02008052  mov	w2, #0
0xfffffff00881a0b4: 1f64ec97  bl	#0xfffffff008333130
0xfffffff00881a0b8: 187d8012  mov	w24, #-0x3e9
0xfffffff00881a0bc: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00881a0c0: e10313aa  mov	x1, x19
0xfffffff00881a0c4: 58e8fe97  bl	#0xfffffff0087d4224
0xfffffff00881a0c8: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00881a0cc: 68be4391  add	x8, x19, #0xef, lsl #12
0xfffffff00881a0d0: 19813191  add	x25, x8, #0xc60
0xfffffff00881a0d4: e10319aa  mov	x1, x25
0xfffffff00881a0d8: 1be40194  bl	#0xfffffff008893144
0xfffffff00881a0dc: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00881a0e0: e10319aa  mov	x1, x25
0xfffffff00881a0e4: eddb0194  bl	#0xfffffff008891098
0xfffffff00881a0e8: 800e8052  mov	w0, #0x74
0xfffffff00881a0ec: c1008052  mov	w1, #6
0xfffffff00881a0f0: b8850194  bl	#0xfffffff00887b7d0
0xfffffff00881a0f4: 60050034  cbz	w0, #0xfffffff00881a1a0
0xfffffff00881a0f8: 800e8052  mov	w0, #0x74
0xfffffff00881a0fc: c7850194  bl	#0xfffffff00887b818
0xfffffff00881a100: fa0300aa  mov	x26, x0
0xfffffff00881a104: 2a680294  bl	#0xfffffff0088b41ac
0xfffffff00881a108: f90300aa  mov	x25, x0
0xfffffff00881a10c: c0008052  mov	w0, #6
0xfffffff00881a110: d0850194  bl	#0xfffffff00887b850
0xfffffff00881a114: da010034  cbz	w26, #0xfffffff00881a14c
0xfffffff00881a118: e80318aa  mov	x8, x24
0xfffffff00881a11c: f72304a9  stp	x23, x8, [sp, #0x40]
