; Candidate 16692
; ADRP+ADD at VM 0xfffffff009f28448 (fileoff 0x2f24448): page=0x1fd931000 add_imm=0xe86

0xfffffff009f283c8: 9c0100b4  cbz	x28, #0xfffffff009f283f8
0xfffffff009f283cc: 5f0b0071  cmp	w26, #2
0xfffffff009f283d0: 40030054  b.eq	#0xfffffff009f28438
0xfffffff009f283d4: 09000014  b	#0xfffffff009f283f8
0xfffffff009f283d8: e1630191  add	x1, sp, #0x58
0xfffffff009f283dc: e00317aa  mov	x0, x23
0xfffffff009f283e0: e20319aa  mov	x2, x25
0xfffffff009f283e4: 23008052  mov	w3, #1
0xfffffff009f283e8: fd90fc97  bl	#0xfffffff009e4c7dc
0xfffffff009f283ec: fa0300aa  mov	x26, x0
0xfffffff009f283f0: 88c9feb0  adrp	x8, #0xfffffff007859000
0xfffffff009f283f4: 08ed3b91  add	x8, x8, #0xefb
0xfffffff009f283f8: 1a020034  cbz	w26, #0xfffffff009f28438
0xfffffff009f283fc: e00314aa  mov	x0, x20
0xfffffff009f28400: 6d000094  bl	#0xfffffff009f285b4
0xfffffff009f28404: e00313aa  mov	x0, x19
0xfffffff009f28408: 6b000094  bl	#0xfffffff009f285b4
0xfffffff009f2840c: e00318aa  mov	x0, x24
0xfffffff009f28410: 69000094  bl	#0xfffffff009f285b4
0xfffffff009f28414: e8031aaa  mov	x8, x26
0xfffffff009f28418: e9c30091  add	x9, sp, #0x30
0xfffffff009f2841c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009f28420: 68c78052  mov	w8, #0x63b
0xfffffff009f28424: fb2300a9  stp	x27, x8, [sp]
0xfffffff009f28428: 80c9feb0  adrp	x0, #0xfffffff007859000
0xfffffff009f2842c: 00f83a91  add	x0, x0, #0xebe
0xfffffff009f28430: 255dfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f28434: 09000014  b	#0xfffffff009f28458
0xfffffff009f28438: e9c30091  add	x9, sp, #0x30
0xfffffff009f2843c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f28440: 08c88052  mov	w8, #0x640
0xfffffff009f28444: fb2300a9  stp	x27, x8, [sp]
0xfffffff009f28448: 80c9feb0  adrp	x0, #0xfffffff007859000
0xfffffff009f2844c: 00183a91  add	x0, x0, #0xe86
0xfffffff009f28450: fc5cfd97  bl	#0xfffffff009e7f840
0xfffffff009f28454: 1a008052  mov	w26, #0
0xfffffff009f28458: a8c241f9  ldr	x8, [x21, #0x380]
0xfffffff009f2845c: 880700b5  cbnz	x8, #0xfffffff009f2854c
0xfffffff009f28460: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f28464: 08894779  ldrh	w8, [x8, #0x3c4]
0xfffffff009f28468: 1f010171  cmp	w8, #0x40
0xfffffff009f2846c: e1000054  b.ne	#0xfffffff009f28488
0xfffffff009f28470: a86a40f9  ldr	x8, [x21, #0xd0]
0xfffffff009f28474: 08e94439  ldrb	w8, [x8, #0x13a]
0xfffffff009f28478: 1f010071  cmp	w8, #0
0xfffffff009f2847c: e3079f1a  cset	w3, ne
0xfffffff009f28480: 7a060035  cbnz	w26, #0xfffffff009f2854c
0xfffffff009f28484: 03000014  b	#0xfffffff009f28490
0xfffffff009f28488: 03008052  mov	w3, #0
0xfffffff009f2848c: 1a060035  cbnz	w26, #0xfffffff009f2854c
0xfffffff009f28490: a89e40f9  ldr	x8, [x21, #0x138]
0xfffffff009f28494: 1f0100f1  cmp	x8, #0
0xfffffff009f28498: a802889a  csel	x8, x21, x8, eq
0xfffffff009f2849c: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009f284a0: 08254439  ldrb	w8, [x8, #0x109]
0xfffffff009f284a4: c8020037  tbnz	w8, #0, #0xfffffff009f284fc
0xfffffff009f284a8: 63020034  cbz	w3, #0xfffffff009f284f4
0xfffffff009f284ac: e00315aa  mov	x0, x21
0xfffffff009f284b0: 33a2ff97  bl	#0xfffffff009f10d7c
0xfffffff009f284b4: 1f040071  cmp	w0, #1
0xfffffff009f284b8: e1010054  b.ne	#0xfffffff009f284f4
0xfffffff009f284bc: 98fcfc97  bl	#0xfffffff009e6771c
0xfffffff009f284c0: a0010034  cbz	w0, #0xfffffff009f284f4
0xfffffff009f284c4: e00315aa  mov	x0, x21
