; Candidate 3083
; ADRP+ADD at VM 0xfffffff0087105d8 (fileoff 0x170c5d8): page=0x1fea21000 add_imm=0xd90

0xfffffff008710558: 6602088b  add	x6, x19, x8
0xfffffff00871055c: 088f8452  mov	w8, #0x2478
0xfffffff008710560: 6702088b  add	x7, x19, x8
0xfffffff008710564: e00313aa  mov	x0, x19
0xfffffff008710568: 67300194  bl	#0xfffffff00875c704
0xfffffff00871056c: 40130036  tbz	w0, #0, #0xfffffff0087107d4
0xfffffff008710570: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff008710574: 086c40f9  ldr	x8, [x0, #0xd8]
0xfffffff008710578: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff00871057c: c8010034  cbz	w8, #0xfffffff0087105b4
0xfffffff008710580: 700240f9  ldr	x16, [x19]
0xfffffff008710584: f10313aa  mov	x17, x19
0xfffffff008710588: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00871058c: 301ac1da  autda	x16, x17
0xfffffff008710590: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008710594: e90310aa  mov	x9, x16
0xfffffff008710598: e00313aa  mov	x0, x19
0xfffffff00871059c: e10314aa  mov	x1, x20
0xfffffff0087105a0: e20315aa  mov	x2, x21
0xfffffff0087105a4: f10309aa  mov	x17, x9
0xfffffff0087105a8: 5144fcf2  movk	x17, #0xe222, lsl #48
0xfffffff0087105ac: 11093fd7  blraa	x8, x17
0xfffffff0087105b0: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff0087105b4: 61422c91  add	x1, x19, #0xb10
0xfffffff0087105b8: 62622c91  add	x2, x19, #0xb18
0xfffffff0087105bc: 63722c91  add	x3, x19, #0xb1c
0xfffffff0087105c0: e40314aa  mov	x4, x20
0xfffffff0087105c4: 59190294  bl	#0xfffffff008796b28
0xfffffff0087105c8: a0010034  cbz	w0, #0xfffffff0087105fc
0xfffffff0087105cc: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087105d0: 08491591  add	x8, x8, #0x552
0xfffffff0087105d4: e80300f9  str	x8, [sp]
0xfffffff0087105d8: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087105dc: 00403691  add	x0, x0, #0xd90
0xfffffff0087105e0: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087105e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087105e8: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087105ec: 63703191  add	x3, x3, #0xc5c
0xfffffff0087105f0: 02008052  mov	w2, #0
0xfffffff0087105f4: cf8af097  bl	#0xfffffff008333130
0xfffffff0087105f8: d2f9ff17  b	#0xfffffff00870ed40
0xfffffff0087105fc: 700240f9  ldr	x16, [x19]
0xfffffff008710600: f10313aa  mov	x17, x19
0xfffffff008710604: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008710608: 301ac1da  autda	x16, x17
0xfffffff00871060c: 112280d2  mov	x17, #0x110
0xfffffff008710610: 1002118b  add	x16, x16, x17
0xfffffff008710614: 080240f9  ldr	x8, [x16]
0xfffffff008710618: e90310aa  mov	x9, x16
0xfffffff00871061c: c3020012  and	w3, w22, #1
0xfffffff008710620: e00313aa  mov	x0, x19
0xfffffff008710624: e10319aa  mov	x1, x25
0xfffffff008710628: e20314aa  mov	x2, x20
0xfffffff00871062c: f10309aa  mov	x17, x9
0xfffffff008710630: 711bf8f2  movk	x17, #0xc0db, lsl #48
0xfffffff008710634: 11093fd7  blraa	x8, x17
0xfffffff008710638: f50300aa  mov	x21, x0
0xfffffff00871063c: 700240f9  ldr	x16, [x19]
0xfffffff008710640: f10313aa  mov	x17, x19
0xfffffff008710644: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008710648: 301ac1da  autda	x16, x17
0xfffffff00871064c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008710650: e90310aa  mov	x9, x16
0xfffffff008710654: e00313aa  mov	x0, x19
