; Candidate 14789
; ADRP+ADD at VM 0xfffffff009936b78 (fileoff 0x2932b78): page=0x1fdcac000 add_imm=0xe9a

0xfffffff009936af8: 081542f9  ldr	x8, [x8, #0x428]
0xfffffff009936afc: 9f0308eb  cmp	x28, x8
0xfffffff009936b00: 41070054  b.ne	#0xfffffff009936be8
0xfffffff009936b04: 68364179  ldrh	w8, [x19, #0x9a]
0xfffffff009936b08: 1fb11671  cmp	w8, #0x5ac
0xfffffff009936b0c: e1030054  b.ne	#0xfffffff009936b88
0xfffffff009936b10: 683a4179  ldrh	w8, [x19, #0x9c]
0xfffffff009936b14: 1f310371  cmp	w8, #0xcc
0xfffffff009936b18: 81030054  b.ne	#0xfffffff009936b88
0xfffffff009936b1c: d00240f9  ldr	x16, [x22]
0xfffffff009936b20: f10316aa  mov	x17, x22
0xfffffff009936b24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009936b28: 301ac1da  autda	x16, x17
0xfffffff009936b2c: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff009936b30: e90310aa  mov	x9, x16
0xfffffff009936b34: e00316aa  mov	x0, x22
0xfffffff009936b38: 61e5fe90  adrp	x1, #0xfffffff0075e2000
0xfffffff009936b3c: 21203a91  add	x1, x1, #0xe88
0xfffffff009936b40: f10309aa  mov	x17, x9
0xfffffff009936b44: 11e4e7f2  movk	x17, #0x3f20, lsl #48
0xfffffff009936b48: 11093fd7  blraa	x8, x17
0xfffffff009936b4c: e0010034  cbz	w0, #0xfffffff009936b88
0xfffffff009936b50: d00240f9  ldr	x16, [x22]
0xfffffff009936b54: f10316aa  mov	x17, x22
0xfffffff009936b58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009936b5c: 301ac1da  autda	x16, x17
0xfffffff009936b60: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009936b64: e90310aa  mov	x9, x16
0xfffffff009936b68: e00316aa  mov	x0, x22
0xfffffff009936b6c: f10309aa  mov	x17, x9
0xfffffff009936b70: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009936b74: 11093fd7  blraa	x8, x17
0xfffffff009936b78: 60e5fe90  adrp	x0, #0xfffffff0075e2000
0xfffffff009936b7c: 00683a91  add	x0, x0, #0xe9a
0xfffffff009936b80: 18c1a797  bl	#0xfffffff008326fe0
0xfffffff009936b84: f60300aa  mov	x22, x0
0xfffffff009936b88: d00240f9  ldr	x16, [x22]
0xfffffff009936b8c: f10316aa  mov	x17, x22
0xfffffff009936b90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009936b94: 301ac1da  autda	x16, x17
0xfffffff009936b98: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009936b9c: e90310aa  mov	x9, x16
0xfffffff009936ba0: e00316aa  mov	x0, x22
0xfffffff009936ba4: f10309aa  mov	x17, x9
0xfffffff009936ba8: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009936bac: 11093fd7  blraa	x8, x17
0xfffffff009936bb0: e10300aa  mov	x1, x0
0xfffffff009936bb4: 700240f9  ldr	x16, [x19]
0xfffffff009936bb8: f10313aa  mov	x17, x19
0xfffffff009936bbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009936bc0: 301ac1da  autda	x16, x17
0xfffffff009936bc4: 114280d2  mov	x17, #0x210
0xfffffff009936bc8: 1002118b  add	x16, x16, x17
0xfffffff009936bcc: 080240f9  ldr	x8, [x16]
0xfffffff009936bd0: e90310aa  mov	x9, x16
0xfffffff009936bd4: e00313aa  mov	x0, x19
0xfffffff009936bd8: 020080d2  mov	x2, #0
0xfffffff009936bdc: f10309aa  mov	x17, x9
0xfffffff009936be0: 5162e4f2  movk	x17, #0x2312, lsl #48
0xfffffff009936be4: 11093fd7  blraa	x8, x17
0xfffffff009936be8: 700240f9  ldr	x16, [x19]
0xfffffff009936bec: b01ac1da  autda	x16, x21
0xfffffff009936bf0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff009936bf4: e90310aa  mov	x9, x16
