; Candidate 4716
; ADRP+ADD at VM 0xfffffff0087c3b70 (fileoff 0x17bfb70): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3af0: 08030acb  sub	x8, x24, x10
0xfffffff0087c3af4: 14050091  add	x20, x8, #1
0xfffffff0087c3af8: 940600f1  subs	x20, x20, #1
0xfffffff0087c3afc: 00010054  b.eq	#0xfffffff0087c3b1c
0xfffffff0087c3b00: e00313aa  mov	x0, x19
0xfffffff0087c3b04: e10319aa  mov	x1, x25
0xfffffff0087c3b08: 02018052  mov	w2, #8
0xfffffff0087c3b0c: edddff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3b10: 1f1c0072  tst	w0, #0xff
0xfffffff0087c3b14: 20ffff54  b.eq	#0xfffffff0087c3af8
0xfffffff0087c3b18: 2e000014  b	#0xfffffff0087c3bd0
0xfffffff0087c3b1c: d60218cb  sub	x22, x22, x24
0xfffffff0087c3b20: 571b0035  cbnz	w23, #0xfffffff0087c3e88
0xfffffff0087c3b24: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff0087c3b28: 1b01188b  add	x27, x8, x24
0xfffffff0087c3b2c: 56defeb5  cbnz	x22, #0xfffffff0087c16f4
0xfffffff0087c3b30: d6000014  b	#0xfffffff0087c3e88
0xfffffff0087c3b34: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3b38: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3b3c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3b40: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3b44: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3b48: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3b4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3b50: 02008052  mov	w2, #0
0xfffffff0087c3b54: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3b58: 63dc3891  add	x3, x3, #0xe37
0xfffffff0087c3b5c: 75bded97  bl	#0xfffffff008333130
0xfffffff0087c3b60: c7ffff17  b	#0xfffffff0087c3a7c
0xfffffff0087c3b64: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3b68: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3b6c: e85f00a9  stp	x8, x23, [sp]
0xfffffff0087c3b70: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3b74: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3b78: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3b7c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3b80: 02008052  mov	w2, #0
0xfffffff0087c3b84: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3b88: 63743991  add	x3, x3, #0xe5d
0xfffffff0087c3b8c: 69bded97  bl	#0xfffffff008333130
0xfffffff0087c3b90: bbffff17  b	#0xfffffff0087c3a7c
0xfffffff0087c3b94: 08b88252  mov	w8, #0x15c0
0xfffffff0087c3b98: 694cffb0  adrp	x9, #0xfffffff007150000
0xfffffff0087c3b9c: 29310c91  add	x9, x9, #0x30c
0xfffffff0087c3ba0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c3ba4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3ba8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3bac: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3bb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3bb4: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3bb8: 63280691  add	x3, x3, #0x18a
0xfffffff0087c3bbc: 02008052  mov	w2, #0
0xfffffff0087c3bc0: 5cbded97  bl	#0xfffffff008333130
0xfffffff0087c3bc4: a0000014  b	#0xfffffff0087c3e44
0xfffffff0087c3bc8: 17008052  mov	w23, #0
0xfffffff0087c3bcc: 9f000014  b	#0xfffffff0087c3e48
0xfffffff0087c3bd0: a9d38252  mov	w9, #0x169d
0xfffffff0087c3bd4: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3bd8: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3bdc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3be0: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3be4: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3be8: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3bec: 21dc41f9  ldr	x1, [x1, #0x3b8]
