; Candidate 14847
; ADRP+ADD at VM 0xfffffff0099bdb14 (fileoff 0x29b9b14): page=0x1fdc3a000 add_imm=0xcf9

0xfffffff0099bda94: e8079f1a  cset	w8, ne
0xfffffff0099bda98: 00751e53  lsl	w0, w8, #2
0xfffffff0099bda9c: 09000014  b	#0xfffffff0099bdac0
0xfffffff0099bdaa0: 609e40f9  ldr	x0, [x19, #0x138]
0xfffffff0099bdaa4: 010080d2  mov	x1, #0
0xfffffff0099bdaa8: 27460194  bl	#0xfffffff009a0f344
0xfffffff0099bdaac: 1f040031  cmn	w0, #1
0xfffffff0099bdab0: 28008052  mov	w8, #1
0xfffffff0099bdab4: 0005881a  cinc	w0, w8, ne
0xfffffff0099bdab8: 02000014  b	#0xfffffff0099bdac0
0xfffffff0099bdabc: 60008052  mov	w0, #3
0xfffffff0099bdac0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0099bdac4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0099bdac8: ff0f5fd6  retab	
0xfffffff0099bdacc: 7f2303d5  pacibsp	
0xfffffff0099bdad0: ffc301d1  sub	sp, sp, #0x70
0xfffffff0099bdad4: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0099bdad8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0099bdadc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0099bdae0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0099bdae4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0099bdae8: fd830191  add	x29, sp, #0x60
0xfffffff0099bdaec: f40301aa  mov	x20, x1
0xfffffff0099bdaf0: f30300aa  mov	x19, x0
0xfffffff0099bdaf4: d74f0090  adrp	x23, #0xfffffff00a3b5000
0xfffffff0099bdaf8: f7423d91  add	x23, x23, #0xf50
0xfffffff0099bdafc: e8024039  ldrb	w8, [x23]
0xfffffff0099bdb00: 08010036  tbz	w8, #0, #0xfffffff0099bdb20
0xfffffff0099bdb04: e8e1fe90  adrp	x8, #0xfffffff0075f9000
0xfffffff0099bdb08: 08450a91  add	x8, x8, #0x291
0xfffffff0099bdb0c: 498e8352  mov	w9, #0x1c72
0xfffffff0099bdb10: e82700a9  stp	x8, x9, [sp]
0xfffffff0099bdb14: c0e1fed0  adrp	x0, #0xfffffff0075f7000
0xfffffff0099bdb18: 00e43391  add	x0, x0, #0xcf9
0xfffffff0099bdb1c: 8dc6aa97  bl	#0xfffffff00846f550
0xfffffff0099bdb20: f8430091  add	x24, sp, #0x10
0xfffffff0099bdb24: f86301a9  stp	x24, x24, [sp, #0x10]
0xfffffff0099bdb28: 60c20491  add	x0, x19, #0x130
0xfffffff0099bdb2c: 01008052  mov	w1, #0
0xfffffff0099bdb30: 02008052  mov	w2, #0
0xfffffff0099bdb34: 011a9097  bl	#0xfffffff007dc4338
0xfffffff0099bdb38: 60e20691  add	x0, x19, #0x1b8
0xfffffff0099bdb3c: 01008052  mov	w1, #0
0xfffffff0099bdb40: 02008052  mov	w2, #0
0xfffffff0099bdb44: fd199097  bl	#0xfffffff007dc4338
0xfffffff0099bdb48: 68fa40f9  ldr	x8, [x19, #0x1f0]
0xfffffff0099bdb4c: 680a00b4  cbz	x8, #0xfffffff0099bdc98
0xfffffff0099bdb50: 609640f9  ldr	x0, [x19, #0x128]
0xfffffff0099bdb54: 522e0094  bl	#0xfffffff0099c949c
0xfffffff0099bdb58: 608e40f9  ldr	x0, [x19, #0x118]
0xfffffff0099bdb5c: 7ad4ff97  bl	#0xfffffff0099b2d44
0xfffffff0099bdb60: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0099bdb64: 800000b4  cbz	x0, #0xfffffff0099bdb74
0xfffffff0099bdb68: 68264639  ldrb	w8, [x19, #0x189]
0xfffffff0099bdb6c: 48002837  tbnz	w8, #5, #0xfffffff0099bdb74
0xfffffff0099bdb70: 90bf8f97  bl	#0xfffffff007dad9b0
0xfffffff0099bdb74: 686641b9  ldr	w8, [x19, #0x164]
0xfffffff0099bdb78: 48040034  cbz	w8, #0xfffffff0099bdc00
0xfffffff0099bdb7c: 150080d2  mov	x21, #0
0xfffffff0099bdb80: f9430091  add	x25, sp, #0x10
0xfffffff0099bdb84: 69fa40f9  ldr	x9, [x19, #0x1f0]
0xfffffff0099bdb88: 367975f8  ldr	x22, [x9, x21, lsl #3]
0xfffffff0099bdb8c: 560300b4  cbz	x22, #0xfffffff0099bdbf4
0xfffffff0099bdb90: d4aa00b9  str	w20, [x22, #0xa8]
