; Candidate 12585
; ADRP+ADD at VM 0xfffffff0090c1834 (fileoff 0x20bd834): page=0x1fe398000 add_imm=0xe24

0xfffffff0090c17b4: eb079f1a  cset	w11, ne
0xfffffff0090c17b8: 7f010a6b  cmp	w11, w10
0xfffffff0090c17bc: 81070054  b.ne	#0xfffffff0090c18ac
0xfffffff0090c17c0: aa1340f9  ldr	x10, [x29, #0x20]
0xfffffff0090c17c4: 6a0800b4  cbz	x10, #0xfffffff0090c18d0
0xfffffff0090c17c8: ab1740f9  ldr	x11, [x29, #0x28]
0xfffffff0090c17cc: ac1f40b9  ldr	w12, [x29, #0x1c]
0xfffffff0090c17d0: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0090c17d4: e8330229  stp	w8, w12, [sp, #0x10]
0xfffffff0090c17d8: e90700f9  str	x9, [sp, #8]
0xfffffff0090c17dc: f8030039  strb	w24, [sp]
0xfffffff0090c17e0: e0031aaa  mov	x0, x26
0xfffffff0090c17e4: e10319aa  mov	x1, x25
0xfffffff0090c17e8: 62018052  mov	w2, #0xb
0xfffffff0090c17ec: e30317aa  mov	x3, x23
0xfffffff0090c17f0: e40316aa  mov	x4, x22
0xfffffff0090c17f4: e50315aa  mov	x5, x21
0xfffffff0090c17f8: e60314aa  mov	x6, x20
0xfffffff0090c17fc: e70313aa  mov	x7, x19
0xfffffff0090c1800: e6fbff97  bl	#0xfffffff0090c0798
0xfffffff0090c1804: f30300aa  mov	x19, x0
0xfffffff0090c1808: 40080035  cbnz	w0, #0xfffffff0090c1910
0xfffffff0090c180c: 48018052  mov	w8, #0xa
0xfffffff0090c1810: 69034039  ldrb	w9, [x27]
0xfffffff0090c1814: 1f01096b  cmp	w8, w9
0xfffffff0090c1818: 43010054  b.lo	#0xfffffff0090c1840
0xfffffff0090c181c: e80313aa  mov	x8, x19
0xfffffff0090c1820: 087d4093  sxtw	x8, w8
0xfffffff0090c1824: 491dff90  adrp	x9, #0xfffffff007469000
0xfffffff0090c1828: 29a50291  add	x9, x9, #0xa9
0xfffffff0090c182c: fc2700a9  stp	x28, x9, [sp]
0xfffffff0090c1830: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c1834: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1838: 00903891  add	x0, x0, #0xe24
0xfffffff0090c183c: f955ca97  bl	#0xfffffff008357020
0xfffffff0090c1840: e00313aa  mov	x0, x19
0xfffffff0090c1844: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090c1848: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090c184c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0090c1850: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0090c1854: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0090c1858: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0090c185c: ff430291  add	sp, sp, #0x90
0xfffffff0090c1860: ff0f5fd6  retab	
0xfffffff0090c1864: c8f78052  mov	w8, #0x7be
0xfffffff0090c1868: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c186c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1870: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c1874: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c1878: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c187c: 0a1dffb0  adrp	x10, #0xfffffff007462000
0xfffffff0090c1880: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff0090c1884: 1b000014  b	#0xfffffff0090c18f0
0xfffffff0090c1888: e8f78052  mov	w8, #0x7bf
0xfffffff0090c188c: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c1890: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1894: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c1898: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c189c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c18a0: 4a1dff90  adrp	x10, #0xfffffff007469000
0xfffffff0090c18a4: 4a110291  add	x10, x10, #0x84
0xfffffff0090c18a8: 12000014  b	#0xfffffff0090c18f0
0xfffffff0090c18ac: 08f88052  mov	w8, #0x7c0
0xfffffff0090c18b0: 291dffd0  adrp	x9, #0xfffffff007467000
