; Candidate 12111
; ADRP+ADD at VM 0xfffffff00900f66c (fileoff 0x200b66c): page=0x12fe000 add_imm=0xd00

0xfffffff00900f5ec: 5f900171  cmp	w2, #0x64
0xfffffff00900f5f0: c1010054  b.ne	#0xfffffff00900f628
0xfffffff00900f5f4: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff00900f5f8: 000140bd  ldr	s0, [x8]
0xfffffff00900f5fc: 095840b9  ldr	w9, [x0, #0x58]
0xfffffff00900f600: 3f090071  cmp	w9, #2
0xfffffff00900f604: 03010054  b.lo	#0xfffffff00900f624
0xfffffff00900f608: 08110091  add	x8, x8, #4
0xfffffff00900f60c: 290500d1  sub	x9, x9, #1
0xfffffff00900f610: 014540bc  ldr	s1, [x8], #4
0xfffffff00900f614: 0020211e  fcmp	s0, s1
0xfffffff00900f618: 20cc201e  fcsel	s0, s1, s0, gt
0xfffffff00900f61c: 290500f1  subs	x9, x9, #1
0xfffffff00900f620: 81ffff54  b.ne	#0xfffffff00900f610
0xfffffff00900f624: c0035fd6  ret	
0xfffffff00900f628: 085840b9  ldr	w8, [x0, #0x58]
0xfffffff00900f62c: 011440f9  ldr	x1, [x0, #0x28]
0xfffffff00900f630: e00308aa  mov	x0, x8
0xfffffff00900f634: 95ffff17  b	#0xfffffff00900f488
0xfffffff00900f638: 7f2303d5  pacibsp	
0xfffffff00900f63c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00900f640: fd030091  mov	x29, sp
0xfffffff00900f644: 2021ffd0  adrp	x0, #0xfffffff007435000
0xfffffff00900f648: 00c01a91  add	x0, x0, #0x6b0
0xfffffff00900f64c: fb66cc97  bl	#0xfffffff008329238
0xfffffff00900f650: e89700f0  adrp	x8, #0xfffffff00a30e000
0xfffffff00900f654: 005100f9  str	x0, [x8, #0xa0]
0xfffffff00900f658: 2021ffd0  adrp	x0, #0xfffffff007435000
0xfffffff00900f65c: 005c1b91  add	x0, x0, #0x6d7
0xfffffff00900f660: f666cc97  bl	#0xfffffff008329238
0xfffffff00900f664: e89700f0  adrp	x8, #0xfffffff00a30e000
0xfffffff00900f668: 005500f9  str	x0, [x8, #0xa8]
0xfffffff00900f66c: e09700d0  adrp	x0, #0xfffffff00a30d000
0xfffffff00900f670: 00003491  add	x0, x0, #0xd00
0xfffffff00900f674: 8121ff90  adrp	x1, #0xfffffff00743f000
0xfffffff00900f678: 21543a91  add	x1, x1, #0xe95
0xfffffff00900f67c: e29700d0  adrp	x2, #0xfffffff00a30d000
0xfffffff00900f680: 42803691  add	x2, x2, #0xda0
0xfffffff00900f684: 03538052  mov	w3, #0x298
0xfffffff00900f688: 2c51cb97  bl	#0xfffffff0082e3b38
0xfffffff00900f68c: 7059ff90  adrp	x16, #0xfffffff007b3b000
0xfffffff00900f690: 10621491  add	x16, x16, #0x518
0xfffffff00900f694: 10420091  add	x16, x16, #0x10
0xfffffff00900f698: f10300aa  mov	x17, x0
0xfffffff00900f69c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00900f6a0: 300ac1da  pacda	x16, x17
0xfffffff00900f6a4: 100000f9  str	x16, [x0]
0xfffffff00900f6a8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00900f6ac: ff0f5fd6  retab	
0xfffffff00900f6b0: 5f2403d5  bti	c
0xfffffff00900f6b4: e09700d0  adrp	x0, #0xfffffff00a30d000
0xfffffff00900f6b8: 00003491  add	x0, x0, #0xd00
0xfffffff00900f6bc: 0e54cb17  b	#0xfffffff0082e46f4
0xfffffff00900f6c0: 5f2403d5  bti	c
0xfffffff00900f6c4: 080080d2  mov	x8, #0
0xfffffff00900f6c8: 2080c23c  ldur	q0, [x1, #0x28]
0xfffffff00900f6cc: 01d8214e  scvtf	v1.4s, v0.4s
0xfffffff00900f6d0: 00d8216e  ucvtf	v0.4s, v0.4s
0xfffffff00900f6d4: 2004046e  mov	v0.s[0], v1.s[0]
0xfffffff00900f6d8: 498fa852  mov	w9, #0x447a0000
0xfffffff00900f6dc: 210d044e  dup	v1.4s, w9
0xfffffff00900f6e0: 292440b9  ldr	w9, [x1, #0x24]
0xfffffff00900f6e4: 2a050153  ubfx	w10, w9, #1, #1
0xfffffff00900f6e8: 0a0c0039  strb	w10, [x0, #3]
