; Candidate 14310
; ADRP+ADD at VM 0xfffffff00976320c (fileoff 0x275f20c): page=0xc28000 add_imm=0xea8

0xfffffff00976318c: ed90b097  bl	#0xfffffff008387540
0xfffffff009763190: c03900b4  cbz	x0, #0xfffffff0097638c8
0xfffffff009763194: f50300aa  mov	x21, x0
0xfffffff009763198: 801a40f9  ldr	x0, [x20, #0x30]
0xfffffff00976319c: 2b16b097  bl	#0xfffffff008368a48
0xfffffff0097631a0: e00300f9  str	x0, [sp]
0xfffffff0097631a4: a2f1feb0  adrp	x2, #0xfffffff007598000
0xfffffff0097631a8: 42383691  add	x2, x2, #0xd8e
0xfffffff0097631ac: e0830191  add	x0, sp, #0x60
0xfffffff0097631b0: 81028052  mov	w1, #0x14
0xfffffff0097631b4: ea5eaa97  bl	#0xfffffff0081fad5c
0xfffffff0097631b8: 609e40f9  ldr	x0, [x19, #0x138]
0xfffffff0097631bc: 100040f9  ldr	x16, [x0]
0xfffffff0097631c0: f10300aa  mov	x17, x0
0xfffffff0097631c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097631c8: 301ac1da  autda	x16, x17
0xfffffff0097631cc: f10310aa  mov	x17, x16
0xfffffff0097631d0: f147c1da  xpacd	x17
0xfffffff0097631d4: 1f0211eb  cmp	x16, x17
0xfffffff0097631d8: 40000054  b.eq	#0xfffffff0097631e0
0xfffffff0097631dc: 408e38d4  brk	#0xc472
0xfffffff0097631e0: 08020491  add	x8, x16, #0x100
0xfffffff0097631e4: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff0097631e8: e1830191  add	x1, sp, #0x60
0xfffffff0097631ec: e20315aa  mov	x2, x21
0xfffffff0097631f0: f10308aa  mov	x17, x8
0xfffffff0097631f4: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0097631f8: 31093fd7  blraa	x9, x17
0xfffffff0097631fc: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff009763200: 080540f9  ldr	x8, [x8, #8]
0xfffffff009763204: 29008052  mov	w9, #1
0xfffffff009763208: 09610039  strb	w9, [x8, #0x18]
0xfffffff00976320c: 40610090  adrp	x0, #0xfffffff00a38b000
0xfffffff009763210: 00a03a91  add	x0, x0, #0xea8
0xfffffff009763214: d105ae97  bl	#0xfffffff0082e4958
0xfffffff009763218: e00313aa  mov	x0, x19
0xfffffff00976321c: 1016fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763220: c00100b5  cbnz	x0, #0xfffffff009763258
0xfffffff009763224: 700240f9  ldr	x16, [x19]
0xfffffff009763228: f10313aa  mov	x17, x19
0xfffffff00976322c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009763230: 301ac1da  autda	x16, x17
0xfffffff009763234: 113d80d2  mov	x17, #0x1e8
0xfffffff009763238: 1002118b  add	x16, x16, x17
0xfffffff00976323c: 080240f9  ldr	x8, [x16]
0xfffffff009763240: e90310aa  mov	x9, x16
0xfffffff009763244: e00313aa  mov	x0, x19
0xfffffff009763248: 010080d2  mov	x1, #0
0xfffffff00976324c: f10309aa  mov	x17, x9
0xfffffff009763250: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009763254: 11093fd7  blraa	x8, x17
0xfffffff009763258: e00313aa  mov	x0, x19
0xfffffff00976325c: 0016fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763260: e00313aa  mov	x0, x19
0xfffffff009763264: fe15fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763268: c00100b5  cbnz	x0, #0xfffffff0097632a0
0xfffffff00976326c: 700240f9  ldr	x16, [x19]
0xfffffff009763270: f10313aa  mov	x17, x19
0xfffffff009763274: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009763278: 301ac1da  autda	x16, x17
0xfffffff00976327c: 114380d2  mov	x17, #0x218
0xfffffff009763280: 1002118b  add	x16, x16, x17
0xfffffff009763284: 080240f9  ldr	x8, [x16]
0xfffffff009763288: e90310aa  mov	x9, x16
