; Candidate 7039
; ADRP+ADD at VM 0xfffffff00885280c (fileoff 0x184e80c): page=0x1fe997000 add_imm=0xe80

0xfffffff00885278c: 287d8052  mov	w8, #0x3e9
0xfffffff008852790: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff008852794: 29e91c91  add	x9, x9, #0x73a
0xfffffff008852798: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885279c: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088527a0: 08811191  add	x8, x8, #0x460
0xfffffff0088527a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088527a8: e80d8052  mov	w8, #0x6f
0xfffffff0088527ac: a04eff90  adrp	x0, #0xfffffff007226000
0xfffffff0088527b0: 007c0d91  add	x0, x0, #0x35f
0xfffffff0088527b4: f82300a9  stp	x24, x8, [sp]
0xfffffff0088527b8: 2a93d597  bl	#0xfffffff007db7460
0xfffffff0088527bc: b4000014  b	#0xfffffff008852a8c
0xfffffff0088527c0: 7b860194  bl	#0xfffffff0088b41ac
0xfffffff0088527c4: f80300aa  mov	x24, x0
0xfffffff0088527c8: 00018052  mov	w0, #8
0xfffffff0088527cc: 21a40094  bl	#0xfffffff00887b850
0xfffffff0088527d0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088527d4: e90316aa  mov	x9, x22
0xfffffff0088527d8: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0088527dc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088527e0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088527e4: a84eff90  adrp	x8, #0xfffffff007226000
0xfffffff0088527e8: 09e91c91  add	x9, x8, #0x73a
0xfffffff0088527ec: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088527f0: 08811191  add	x8, x8, #0x460
0xfffffff0088527f4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088527f8: e80d8052  mov	w8, #0x6f
0xfffffff0088527fc: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff008852800: 63540b91  add	x3, x3, #0x2d5
0xfffffff008852804: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008852808: f80300f9  str	x24, [sp]
0xfffffff00885280c: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008852810: 00003a91  add	x0, x0, #0xe80
0xfffffff008852814: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008852818: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885281c: 02008052  mov	w2, #0
0xfffffff008852820: 4482eb97  bl	#0xfffffff008333130
0xfffffff008852824: 34f7ffb5  cbnz	x20, #0xfffffff008852708
0xfffffff008852828: e00d8052  mov	w0, #0x6f
0xfffffff00885282c: 81008052  mov	w1, #4
0xfffffff008852830: e8a30094  bl	#0xfffffff00887b7d0
0xfffffff008852834: 000e0034  cbz	w0, #0xfffffff0088529f4
0xfffffff008852838: e00d8052  mov	w0, #0x6f
0xfffffff00885283c: f7a30094  bl	#0xfffffff00887b818
0xfffffff008852840: f90300aa  mov	x25, x0
0xfffffff008852844: 5a860194  bl	#0xfffffff0088b41ac
0xfffffff008852848: f80300aa  mov	x24, x0
0xfffffff00885284c: 80008052  mov	w0, #4
0xfffffff008852850: 00a40094  bl	#0xfffffff00887b850
0xfffffff008852854: 79090034  cbz	w25, #0xfffffff008852980
0xfffffff008852858: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885285c: e90316aa  mov	x9, x22
0xfffffff008852860: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff008852864: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008852868: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00885286c: 2a311d91  add	x10, x9, #0x74c
0xfffffff008852870: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008852874: 487c8052  mov	w8, #0x3e2
0xfffffff008852878: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00885287c: 29e91c91  add	x9, x9, #0x73a
0xfffffff008852880: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008852884: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff008852888: 08811191  add	x8, x8, #0x460
