; Candidate 3801
; ADRP+ADD at VM 0xfffffff00875e5b0 (fileoff 0x175a5b0): page=0x1fe9d3000 add_imm=0xd90

0xfffffff00875e530: 4a050011  add	w10, w10, #1
0xfffffff00875e534: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00875e538: 4b1d0011  add	w11, w10, #7
0xfffffff00875e53c: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00875e540: 3f050071  cmp	w9, #1
0xfffffff00875e544: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00875e548: 3f210071  cmp	w9, #8
0xfffffff00875e54c: 88020054  b.hi	#0xfffffff00875e59c
0xfffffff00875e550: e80300aa  mov	x8, x0
0xfffffff00875e554: f00309aa  mov	x16, x9
0xfffffff00875e558: 1f2200f1  cmp	x16, #8
0xfffffff00875e55c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00875e560: 11000090  adrp	x17, #0xfffffff00875e000
0xfffffff00875e564: 31c21a91  add	x17, x17, #0x6b0
0xfffffff00875e568: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00875e56c: 11000010  adr	x17, #0xfffffff00875e56c
0xfffffff00875e570: 3002108b  add	x16, x17, x16
0xfffffff00875e574: 00021fd6  br	x16
0xfffffff00875e578: 9f2403d5  bti	j
0xfffffff00875e57c: 00008052  mov	w0, #0
0xfffffff00875e580: 29fc0011  add	w9, w1, #0x3f
0xfffffff00875e584: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00875e588: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff00875e58c: 29781f53  lsl	w9, w1, #1
0xfffffff00875e590: 41000014  b	#0xfffffff00875e694
0xfffffff00875e594: 00008052  mov	w0, #0
0xfffffff00875e598: 43000014  b	#0xfffffff00875e6a4
0xfffffff00875e59c: 9f2403d5  bti	j
0xfffffff00875e5a0: 28210011  add	w8, w9, #8
0xfffffff00875e5a4: 894fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff00875e5a8: 29351b91  add	x9, x9, #0x6cd
0xfffffff00875e5ac: e92300a9  stp	x9, x8, [sp]
0xfffffff00875e5b0: 804efff0  adrp	x0, #0xfffffff007131000
0xfffffff00875e5b4: 00403691  add	x0, x0, #0xd90
0xfffffff00875e5b8: e194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875e5bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875e5c0: 234fff90  adrp	x3, #0xfffffff007142000
0xfffffff00875e5c4: 63340991  add	x3, x3, #0x24d
0xfffffff00875e5c8: 02008052  mov	w2, #0
0xfffffff00875e5cc: d952ef97  bl	#0xfffffff008333130
0xfffffff00875e5d0: 00008012  mov	w0, #-1
0xfffffff00875e5d4: 34000014  b	#0xfffffff00875e6a4
0xfffffff00875e5d8: 9f2403d5  bti	j
0xfffffff00875e5dc: 00008052  mov	w0, #0
0xfffffff00875e5e0: 29080011  add	w9, w1, #2
0xfffffff00875e5e4: 6a559552  mov	w10, #0xaaab
0xfffffff00875e5e8: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00875e5ec: 297daa9b  umull	x9, w9, w10
0xfffffff00875e5f0: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00875e5f4: 29791f53  lsl	w9, w9, #1
0xfffffff00875e5f8: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00875e5fc: 29fd0011  add	w9, w9, #0x3f
0xfffffff00875e600: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00875e604: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff00875e608: 29781f53  lsl	w9, w1, #1
0xfffffff00875e60c: 2909c41a  udiv	w9, w9, w4
0xfffffff00875e610: 29150011  add	w9, w9, #5
0xfffffff00875e614: 297daa9b  umull	x9, w9, w10
0xfffffff00875e618: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00875e61c: 29791f53  lsl	w9, w9, #1
0xfffffff00875e620: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff00875e624: 1d000014  b	#0xfffffff00875e698
0xfffffff00875e628: 9f2403d5  bti	j
0xfffffff00875e62c: 00008052  mov	w0, #0
