; Candidate 8554
; ADRP+ADD at VM 0xfffffff0088b17d4 (fileoff 0x18ad7d4): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b1754: 4317d497  bl	#0xfffffff007db7460
0xfffffff0088b1758: 59000014  b	#0xfffffff0088b18bc
0xfffffff0088b175c: 08008012  mov	w8, #-1
0xfffffff0088b1760: 080300b9  str	w8, [x24]
0xfffffff0088b1764: b500f8b7  tbnz	x21, #0x3f, #0xfffffff0088b1778
0xfffffff0088b1768: 68b240f9  ldr	x8, [x19, #0x160]
0xfffffff0088b176c: 09050091  add	x9, x8, #1
0xfffffff0088b1770: 69b200f9  str	x9, [x19, #0x160]
0xfffffff0088b1774: 080700f9  str	x8, [x24, #8]
0xfffffff0088b1778: a8008052  mov	w8, #5
0xfffffff0088b177c: 082300b9  str	w8, [x24, #0x20]
0xfffffff0088b1780: 4f000014  b	#0xfffffff0088b18bc
0xfffffff0088b1784: 8a0a0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1788: f90300aa  mov	x25, x0
0xfffffff0088b178c: 80008052  mov	w0, #4
0xfffffff0088b1790: 3028ff97  bl	#0xfffffff00887b850
0xfffffff0088b1794: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff0088b1798: e80316aa  mov	x8, x22
0xfffffff0088b179c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088b17a0: e80314aa  mov	x8, x20
0xfffffff0088b17a4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b17a8: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b17ac: 084d2291  add	x8, x8, #0x893
0xfffffff0088b17b0: 691f8152  mov	w9, #0x8fb
0xfffffff0088b17b4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b17b8: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b17bc: 08e12091  add	x8, x8, #0x838
0xfffffff0088b17c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b17c4: c80f8052  mov	w8, #0x7e
0xfffffff0088b17c8: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b17cc: 63002491  add	x3, x3, #0x900
0xfffffff0088b17d0: f92300a9  stp	x25, x8, [sp]
0xfffffff0088b17d4: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b17d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b17dc: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b17e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b17e4: 02008052  mov	w2, #0
0xfffffff0088b17e8: 5206ea97  bl	#0xfffffff008333130
0xfffffff0088b17ec: c8000014  b	#0xfffffff0088b1b0c
0xfffffff0088b17f0: c00f8052  mov	w0, #0x7e
0xfffffff0088b17f4: 81008052  mov	w1, #4
0xfffffff0088b17f8: f627ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b17fc: 80180034  cbz	w0, #0xfffffff0088b1b0c
0xfffffff0088b1800: c00f8052  mov	w0, #0x7e
0xfffffff0088b1804: 0528ff97  bl	#0xfffffff00887b818
0xfffffff0088b1808: fa0300aa  mov	x26, x0
0xfffffff0088b180c: 680a0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1810: f90300aa  mov	x25, x0
0xfffffff0088b1814: 80008052  mov	w0, #4
0xfffffff0088b1818: 0e28ff97  bl	#0xfffffff00887b850
0xfffffff0088b181c: 7a140034  cbz	w26, #0xfffffff0088b1aa8
0xfffffff0088b1820: 680240b9  ldr	w8, [x19]
0xfffffff0088b1824: 69aa4229  ldp	w9, w10, [x19, #0x14]
0xfffffff0088b1828: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088b182c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b1830: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1834: 08f92491  add	x8, x8, #0x93e
0xfffffff0088b1838: 29238152  mov	w9, #0x919
0xfffffff0088b183c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1840: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1844: 08e12091  add	x8, x8, #0x838
0xfffffff0088b1848: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b184c: c80f8052  mov	w8, #0x7e
0xfffffff0088b1850: 004cfff0  adrp	x0, #0xfffffff007234000
