; Candidate 14471
; ADRP+ADD at VM 0xfffffff00979f8a8 (fileoff 0x279b8a8): page=0x1fe4a5000 add_imm=0xec0

0xfffffff00979f828: 10622e91  add	x16, x16, #0xb98
0xfffffff00979f82c: 10420091  add	x16, x16, #0x10
0xfffffff00979f830: f10300aa  mov	x17, x0
0xfffffff00979f834: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00979f838: 300ac1da  pacda	x16, x17
0xfffffff00979f83c: 100000f9  str	x16, [x0]
0xfffffff00979f840: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00979f844: ff0f5fd6  retab	
0xfffffff00979f848: 5f2403d5  bti	c
0xfffffff00979f84c: bd91af17  b	#0xfffffff008383f40
0xfffffff00979f850: 5f2403d5  bti	c
0xfffffff00979f854: bb91af17  b	#0xfffffff008383f40
0xfffffff00979f858: 7f2303d5  pacibsp	
0xfffffff00979f85c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00979f860: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00979f864: fd430091  add	x29, sp, #0x10
0xfffffff00979f868: f30300aa  mov	x19, x0
0xfffffff00979f86c: b591af97  bl	#0xfffffff008383f40
0xfffffff00979f870: 2025ffb0  adrp	x0, #0xfffffff007c44000
0xfffffff00979f874: 00003b91  add	x0, x0, #0xec0
0xfffffff00979f878: e10313aa  mov	x1, x19
0xfffffff00979f87c: 02158052  mov	w2, #0xa8
0xfffffff00979f880: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00979f884: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00979f888: ff2303d5  autibsp	
0xfffffff00979f88c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00979f890: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00979f898
0xfffffff00979f894: 208e38d4  brk	#0xc471
0xfffffff00979f898: 811fad17  b	#0xfffffff0082e769c
0xfffffff00979f89c: 5f2403d5  bti	c
0xfffffff00979f8a0: e20301aa  mov	x2, x1
0xfffffff00979f8a4: e10300aa  mov	x1, x0
0xfffffff00979f8a8: 2025ffb0  adrp	x0, #0xfffffff007c44000
0xfffffff00979f8ac: 00003b91  add	x0, x0, #0xec0
0xfffffff00979f8b0: 7b1fad17  b	#0xfffffff0082e769c
0xfffffff00979f8b4: 5f2403d5  bti	c
0xfffffff00979f8b8: 805f00f0  adrp	x0, #0xfffffff00a392000
0xfffffff00979f8bc: 00c01f91  add	x0, x0, #0x7f0
0xfffffff00979f8c0: c0035fd6  ret	
0xfffffff00979f8c4: 7f2303d5  pacibsp	
0xfffffff00979f8c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00979f8cc: fd030091  mov	x29, sp
0xfffffff00979f8d0: 61f0fed0  adrp	x1, #0xfffffff0075ad000
0xfffffff00979f8d4: 21dc2c91  add	x1, x1, #0xb37
0xfffffff00979f8d8: 0225fff0  adrp	x2, #0xfffffff007c42000
0xfffffff00979f8dc: 429c45f9  ldr	x2, [x2, #0xb38]
0xfffffff00979f8e0: 03158052  mov	w3, #0xa8
0xfffffff00979f8e4: 9510ad97  bl	#0xfffffff0082e3b38
0xfffffff00979f8e8: 3025ff90  adrp	x16, #0xfffffff007c43000
0xfffffff00979f8ec: 10c20391  add	x16, x16, #0xf0
0xfffffff00979f8f0: 10420091  add	x16, x16, #0x10
0xfffffff00979f8f4: f10300aa  mov	x17, x0
0xfffffff00979f8f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00979f8fc: 300ac1da  pacda	x16, x17
0xfffffff00979f900: 100000f9  str	x16, [x0]
0xfffffff00979f904: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00979f908: ff0f5fd6  retab	
0xfffffff00979f90c: 7f2303d5  pacibsp	
0xfffffff00979f910: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00979f914: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00979f918: fd430091  add	x29, sp, #0x10
0xfffffff00979f91c: 2025ffb0  adrp	x0, #0xfffffff007c44000
0xfffffff00979f920: 00003b91  add	x0, x0, #0xec0
0xfffffff00979f924: 01158052  mov	w1, #0xa8
