; Candidate 7093
; ADRP+ADD at VM 0xfffffff008856e8c (fileoff 0x1852e8c): page=0x1fe993000 add_imm=0xe80

0xfffffff008856e0c: 37020034  cbz	w23, #0xfffffff008856e50
0xfffffff008856e10: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008856e14: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008856e18: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008856e1c: 884eff90  adrp	x8, #0xfffffff007226000
0xfffffff008856e20: 09e12f91  add	x9, x8, #0xbf8
0xfffffff008856e24: 884effb0  adrp	x8, #0xfffffff007227000
0xfffffff008856e28: 08811191  add	x8, x8, #0x460
0xfffffff008856e2c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008856e30: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008856e34: 880c8052  mov	w8, #0x64
0xfffffff008856e38: e04dff90  adrp	x0, #0xfffffff007212000
0xfffffff008856e3c: 000c2191  add	x0, x0, #0x843
0xfffffff008856e40: f62300a9  stp	x22, x8, [sp]
0xfffffff008856e44: 8781d597  bl	#0xfffffff007db7460
0xfffffff008856e48: 540300b5  cbnz	x20, #0xfffffff008856eb0
0xfffffff008856e4c: 53000014  b	#0xfffffff008856f98
0xfffffff008856e50: d7740194  bl	#0xfffffff0088b41ac
0xfffffff008856e54: f60300aa  mov	x22, x0
0xfffffff008856e58: e0008052  mov	w0, #7
0xfffffff008856e5c: 7d920094  bl	#0xfffffff00887b850
0xfffffff008856e60: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008856e64: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008856e68: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008856e6c: 884eff90  adrp	x8, #0xfffffff007226000
0xfffffff008856e70: 09e12f91  add	x9, x8, #0xbf8
0xfffffff008856e74: 884effb0  adrp	x8, #0xfffffff007227000
0xfffffff008856e78: 08811191  add	x8, x8, #0x460
0xfffffff008856e7c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008856e80: 880c8052  mov	w8, #0x64
0xfffffff008856e84: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008856e88: f60300f9  str	x22, [sp]
0xfffffff008856e8c: 804cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008856e90: 00003a91  add	x0, x0, #0xe80
0xfffffff008856e94: 818dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008856e98: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008856e9c: e34fffb0  adrp	x3, #0xfffffff007253000
0xfffffff008856ea0: 63f43b91  add	x3, x3, #0xefd
0xfffffff008856ea4: 02008052  mov	w2, #0
0xfffffff008856ea8: a270eb97  bl	#0xfffffff008333130
0xfffffff008856eac: 740700b4  cbz	x20, #0xfffffff008856f98
0xfffffff008856eb0: 550700b4  cbz	x21, #0xfffffff008856f98
0xfffffff008856eb4: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff008856eb8: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff008856ebc: 1f0d0071  cmp	w8, #3
0xfffffff008856ec0: a10a0054  b.ne	#0xfffffff008857014
0xfffffff008856ec4: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff008856ec8: 29008052  mov	w9, #1
0xfffffff008856ecc: 2821c81a  lsl	w8, w9, w8
0xfffffff008856ed0: 0a208152  mov	w10, #0x900
0xfffffff008856ed4: 1f010a6a  tst	w8, w10
0xfffffff008856ed8: 2915899a  cinc	x9, x9, eq
0xfffffff008856edc: 0a5f8e52  mov	w10, #0x72f8
0xfffffff008856ee0: 6a00a072  movk	w10, #3, lsl #16
0xfffffff008856ee4: 1f010a6a  tst	w8, w10
0xfffffff008856ee8: 28019f9a  csel	x8, x9, xzr, eq
0xfffffff008856eec: 880a088b  add	x8, x20, x8, lsl #2
0xfffffff008856ef0: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff008856ef4: 087d40b9  ldr	w8, [x8, #0x7c]
0xfffffff008856ef8: 3f01086b  cmp	w9, w8
0xfffffff008856efc: 4a0d0054  b.ge	#0xfffffff0088570a4
0xfffffff008856f00: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff008856f04: 1f090071  cmp	w8, #2
0xfffffff008856f08: e01c0054  b.eq	#0xfffffff0088572a4
