; Candidate 15588
; ADRP+ADD at VM 0xfffffff009c42004 (fileoff 0x2c3e004): page=0x1fda03000 add_imm=0xe8c

0xfffffff009c41f84: 631641f9  ldr	x3, [x19, #0x228]
0xfffffff009c41f88: 111b94d2  mov	x17, #0xa0d8
0xfffffff009c41f8c: 11093fd7  blraa	x8, x17
0xfffffff009c41f90: 28000014  b	#0xfffffff009c42030
0xfffffff009c41f94: 15008052  mov	w21, #0
0xfffffff009c41f98: 16d0fe90  adrp	x22, #0xfffffff007641000
0xfffffff009c41f9c: d6ae3691  add	x22, x22, #0xdab
0xfffffff009c41fa0: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff009c41fa4: 100040f9  ldr	x16, [x0]
0xfffffff009c41fa8: f10300aa  mov	x17, x0
0xfffffff009c41fac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c41fb0: 301ac1da  autda	x16, x17
0xfffffff009c41fb4: 112680d2  mov	x17, #0x130
0xfffffff009c41fb8: 1002118b  add	x16, x16, x17
0xfffffff009c41fbc: 080240f9  ldr	x8, [x16]
0xfffffff009c41fc0: e90310aa  mov	x9, x16
0xfffffff009c41fc4: 21008052  mov	w1, #1
0xfffffff009c41fc8: f10309aa  mov	x17, x9
0xfffffff009c41fcc: d16ffaf2  movk	x17, #0xd37e, lsl #48
0xfffffff009c41fd0: 11093fd7  blraa	x8, x17
0xfffffff009c41fd4: 13d3fd97  bl	#0xfffffff009bb6c20
0xfffffff009c41fd8: 687a42b9  ldr	w8, [x19, #0x278]
0xfffffff009c41fdc: 697e42b9  ldr	w9, [x19, #0x27c]
0xfffffff009c41fe0: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff009c41fe4: e803002a  mov	w8, w0
0xfffffff009c41fe8: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff009c41fec: e803152a  mov	w8, w21
0xfffffff009c41ff0: 29d0fe90  adrp	x9, #0xfffffff007645000
0xfffffff009c41ff4: 29593991  add	x9, x9, #0xe56
0xfffffff009c41ff8: 2ad0fe90  adrp	x10, #0xfffffff007645000
0xfffffff009c41ffc: 4acd2c91  add	x10, x10, #0xb33
0xfffffff009c42000: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009c42004: 00d0fef0  adrp	x0, #0xfffffff007645000
0xfffffff009c42008: 00303a91  add	x0, x0, #0xe8c
0xfffffff009c4200c: f42b00a9  stp	x20, x10, [sp]
0xfffffff009c42010: 04549c97  bl	#0xfffffff008357020
0xfffffff009c42014: 683241f9  ldr	x8, [x19, #0x260]
0xfffffff009c42018: 602e41f9  ldr	x0, [x19, #0x258]
0xfffffff009c4201c: 613641f9  ldr	x1, [x19, #0x268]
0xfffffff009c42020: 627a42b9  ldr	w2, [x19, #0x278]
0xfffffff009c42024: 637e42b9  ldr	w3, [x19, #0x27c]
0xfffffff009c42028: 91219dd2  mov	x17, #0xe90c
0xfffffff009c4202c: 11093fd7  blraa	x8, x17
0xfffffff009c42030: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff009c42034: 084840b9  ldr	w8, [x0, #0x48]
0xfffffff009c42038: 08050051  sub	w8, w8, #1
0xfffffff009c4203c: 084800b9  str	w8, [x0, #0x48]
0xfffffff009c42040: 612240f9  ldr	x1, [x19, #0x40]
0xfffffff009c42044: 100040f9  ldr	x16, [x0]
0xfffffff009c42048: f10300aa  mov	x17, x0
0xfffffff009c4204c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42050: 301ac1da  autda	x16, x17
0xfffffff009c42054: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff009c42058: e90310aa  mov	x9, x16
0xfffffff009c4205c: f10309aa  mov	x17, x9
0xfffffff009c42060: 514de0f2  movk	x17, #0x26a, lsl #48
0xfffffff009c42064: 11093fd7  blraa	x8, x17
0xfffffff009c42068: 00020035  cbnz	w0, #0xfffffff009c420a8
0xfffffff009c4206c: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff009c42070: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff009c42074: 01110191  add	x1, x8, #0x44
0xfffffff009c42078: 100040f9  ldr	x16, [x0]
0xfffffff009c4207c: f10300aa  mov	x17, x0
0xfffffff009c42080: 31b4f9f2  movk	x17, #0xcda1, lsl #48
