; Candidate 213
; ADRP+ADD at VM 0xfffffff007e339e8 (fileoff 0xe2f9e8): page=0x239e000 add_imm=0xd20

0xfffffff007e33968: aa8fff90  adrp	x10, #0xfffffff007027000
0xfffffff007e3396c: 4a410391  add	x10, x10, #0xd0
0xfffffff007e33970: 495969b8  ldr	w9, [x10, w9, uxtw #2]
0xfffffff007e33974: ea1b01d0  adrp	x10, #0xfffffff00a1b1000
0xfffffff007e33978: 4add4bb9  ldr	w10, [x10, #0xbdc]
0xfffffff007e3397c: 497d091b  mul	w9, w10, w9
0xfffffff007e33980: aa999952  mov	w10, #0xcccd
0xfffffff007e33984: 8a99b972  movk	w10, #0xcccc, lsl #16
0xfffffff007e33988: 297daa9b  umull	x9, w9, w10
0xfffffff007e3398c: 29fd63d3  lsr	x9, x9, #0x23
0xfffffff007e33990: 287d089b  mul	x8, x9, x8
0xfffffff007e33994: 08fd42d3  lsr	x8, x8, #2
0xfffffff007e33998: 69b89ed2  mov	x9, #0xf5c3
0xfffffff007e3399c: 0985abf2  movk	x9, #0x5c28, lsl #16
0xfffffff007e339a0: e951d8f2  movk	x9, #0xc28f, lsl #32
0xfffffff007e339a4: a91ee5f2  movk	x9, #0x28f5, lsl #48
0xfffffff007e339a8: 087dc99b  umulh	x8, x8, x9
0xfffffff007e339ac: e91e01d0  adrp	x9, #0xfffffff00a211000
0xfffffff007e339b0: 29d942b9  ldr	w9, [x9, #0x2d8]
0xfffffff007e339b4: ea1e01d0  adrp	x10, #0xfffffff00a211000
0xfffffff007e339b8: 4ab942b9  ldr	w10, [x10, #0x2b8]
0xfffffff007e339bc: 497d091b  mul	w9, w10, w9
0xfffffff007e339c0: 297d0e53  lsr	w9, w9, #0xe
0xfffffff007e339c4: 3f0948eb  cmp	x9, x8, lsr #2
0xfffffff007e339c8: f90f00f9  str	x25, [sp, #0x18]
0xfffffff007e339cc: a8d7ff54  b.hi	#0xfffffff007e334c0
0xfffffff007e339d0: ac010014  b	#0xfffffff007e34080
0xfffffff007e339d4: 3f010071  cmp	w9, #0
0xfffffff007e339d8: e9179f1a  cset	w9, eq
0xfffffff007e339dc: 0801090a  and	w8, w8, w9
0xfffffff007e339e0: 08d70737  tbnz	w8, #0, #0xfffffff007e334c0
0xfffffff007e339e4: a7010014  b	#0xfffffff007e34080
0xfffffff007e339e8: e01c01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e339ec: 00803491  add	x0, x0, #0xd20
0xfffffff007e339f0: e10313aa  mov	x1, x19
0xfffffff007e339f4: 42008052  mov	w2, #2
0xfffffff007e339f8: 40e0fd97  bl	#0xfffffff007dabaf8
0xfffffff007e339fc: b1feff17  b	#0xfffffff007e334c0
0xfffffff007e33a00: e00315aa  mov	x0, x21
0xfffffff007e33a04: e10313aa  mov	x1, x19
0xfffffff007e33a08: 42008052  mov	w2, #2
0xfffffff007e33a0c: 3be0fd97  bl	#0xfffffff007dabaf8
0xfffffff007e33a10: a8924878  ldurh	w8, [x21, #0x89]
0xfffffff007e33a14: a8de0736  tbz	w8, #0, #0xfffffff007e335e8
0xfffffff007e33a18: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e33a1c: e20308aa  mov	x2, x8
0xfffffff007e33a20: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007e33a24: 5f00086b  cmp	w2, w8
0xfffffff007e33a28: 81000054  b.ne	#0xfffffff007e33a38
0xfffffff007e33a2c: e00315aa  mov	x0, x21
0xfffffff007e33a30: 04e1ff97  bl	#0xfffffff007e2be40
0xfffffff007e33a34: 9afeff17  b	#0xfffffff007e3349c
0xfffffff007e33a38: e01c01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e33a3c: 00803491  add	x0, x0, #0xd20
0xfffffff007e33a40: e10313aa  mov	x1, x19
0xfffffff007e33a44: 48e3fd97  bl	#0xfffffff007dac764
0xfffffff007e33a48: f9ffff17  b	#0xfffffff007e33a2c
0xfffffff007e33a4c: e01c01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e33a50: 00803491  add	x0, x0, #0xd20
0xfffffff007e33a54: e10313aa  mov	x1, x19
0xfffffff007e33a58: 43e3fd97  bl	#0xfffffff007dac764
0xfffffff007e33a5c: fafeff17  b	#0xfffffff007e33644
0xfffffff007e33a60: e00315aa  mov	x0, x21
0xfffffff007e33a64: e10313aa  mov	x1, x19
