; Candidate 5505
; ADRP+ADD at VM 0xfffffff0087f4e60 (fileoff 0x17f0e60): page=0x1fe9f5000 add_imm=0xe80

0xfffffff0087f4de0: 29448052  mov	w9, #0x221
0xfffffff0087f4de4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f4de8: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4dec: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4df0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f4df4: e80e8052  mov	w8, #0x77
0xfffffff0087f4df8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f4dfc: f80300f9  str	x24, [sp]
0xfffffff0087f4e00: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4e04: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4e08: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4e0c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4e10: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4e14: 637c1c91  add	x3, x3, #0x71f
0xfffffff0087f4e18: 02008052  mov	w2, #0
0xfffffff0087f4e1c: c5f8ec97  bl	#0xfffffff008333130
0xfffffff0087f4e20: 8cfdff17  b	#0xfffffff0087f4450
0xfffffff0087f4e24: e2fc0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4e28: f70300aa  mov	x23, x0
0xfffffff0087f4e2c: 80008052  mov	w0, #4
0xfffffff0087f4e30: 881a0294  bl	#0xfffffff00887b850
0xfffffff0087f4e34: 480340b9  ldr	w8, [x26]
0xfffffff0087f4e38: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f4e3c: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4e40: 08292e91  add	x8, x8, #0xb8a
0xfffffff0087f4e44: c9418052  mov	w9, #0x20e
0xfffffff0087f4e48: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f4e4c: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4e50: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4e54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f4e58: e80e8052  mov	w8, #0x77
0xfffffff0087f4e5c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f4e60: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4e64: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4e68: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4e6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4e70: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4e74: 638c1b91  add	x3, x3, #0x6e3
0xfffffff0087f4e78: 02008052  mov	w2, #0
0xfffffff0087f4e7c: adf8ec97  bl	#0xfffffff008333130
0xfffffff0087f4e80: 74fdff17  b	#0xfffffff0087f4450
0xfffffff0087f4e84: e00e8052  mov	w0, #0x77
0xfffffff0087f4e88: 81008052  mov	w1, #4
0xfffffff0087f4e8c: 511a0294  bl	#0xfffffff00887b7d0
0xfffffff0087f4e90: 00aeff34  cbz	w0, #0xfffffff0087f4450
0xfffffff0087f4e94: e00e8052  mov	w0, #0x77
0xfffffff0087f4e98: 601a0294  bl	#0xfffffff00887b818
0xfffffff0087f4e9c: f80300aa  mov	x24, x0
0xfffffff0087f4ea0: c3fc0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4ea4: f70300aa  mov	x23, x0
0xfffffff0087f4ea8: 80008052  mov	w0, #4
0xfffffff0087f4eac: 691a0294  bl	#0xfffffff00887b850
0xfffffff0087f4eb0: 78050034  cbz	w24, #0xfffffff0087f4f5c
0xfffffff0087f4eb4: 480340b9  ldr	w8, [x26]
0xfffffff0087f4eb8: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f4ebc: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4ec0: 08b93191  add	x8, x8, #0xc6e
0xfffffff0087f4ec4: a94d8052  mov	w9, #0x26d
0xfffffff0087f4ec8: 3dffff17  b	#0xfffffff0087f4bbc
0xfffffff0087f4ecc: e00e8052  mov	w0, #0x77
0xfffffff0087f4ed0: 81008052  mov	w1, #4
0xfffffff0087f4ed4: 3f1a0294  bl	#0xfffffff00887b7d0
0xfffffff0087f4ed8: c0abff34  cbz	w0, #0xfffffff0087f4450
0xfffffff0087f4edc: e00e8052  mov	w0, #0x77
