; Candidate 2655
; ADRP+ADD at VM 0xfffffff0086d723c (fileoff 0x16d323c): page=0x1fea5a000 add_imm=0xd90

0xfffffff0086d71bc: 8a000034  cbz	w10, #0xfffffff0086d71cc
0xfffffff0086d71c0: 0a068052  mov	w10, #0x30
0xfffffff0086d71c4: 2a210a9b  madd	x10, x9, x10, x8
0xfffffff0086d71c8: 6a1600f9  str	x10, [x19, #0x28]
0xfffffff0086d71cc: 0a068052  mov	w10, #0x30
0xfffffff0086d71d0: 2e210a9b  madd	x14, x9, x10, x8
0xfffffff0086d71d4: 8cb64929  ldp	w12, w13, [x20, #0x4c]
0xfffffff0086d71d8: cc350029  stp	w12, w13, [x14]
0xfffffff0086d71dc: 89264139  ldrb	w9, [x20, #0x49]
0xfffffff0086d71e0: 8a264039  ldrb	w10, [x20, #9]
0xfffffff0086d71e4: c9290129  stp	w9, w10, [x14, #8]
0xfffffff0086d71e8: 8b2a4039  ldrb	w11, [x20, #0xa]
0xfffffff0086d71ec: 8a2e4039  ldrb	w10, [x20, #0xb]
0xfffffff0086d71f0: cb290229  stp	w11, w10, [x14, #0x10]
0xfffffff0086d71f4: 8b324039  ldrb	w11, [x20, #0xc]
0xfffffff0086d71f8: cb1900b9  str	w11, [x14, #0x18]
0xfffffff0086d71fc: 804246fc  ldur	d0, [x20, #0x64]
0xfffffff0086d7200: c0c101fc  stur	d0, [x14, #0x1c]
0xfffffff0086d7204: df2500b9  str	wzr, [x14, #0x24]
0xfffffff0086d7208: d51500f9  str	x21, [x14, #0x28]
0xfffffff0086d720c: 8e164039  ldrb	w14, [x20, #5]
0xfffffff0086d7210: 8e020034  cbz	w14, #0xfffffff0086d7260
0xfffffff0086d7214: 8e224039  ldrb	w14, [x20, #8]
0xfffffff0086d7218: 4e030034  cbz	w14, #0xfffffff0086d7280
0xfffffff0086d721c: 14008052  mov	w20, #0
0xfffffff0086d7220: cbffff17  b	#0xfffffff0086d714c
0xfffffff0086d7224: 682a4039  ldrb	w8, [x19, #0xa]
0xfffffff0086d7228: 08f90736  tbz	w8, #0, #0xfffffff0086d7148
0xfffffff0086d722c: 14008012  mov	w20, #-1
0xfffffff0086d7230: c853ff90  adrp	x8, #0xfffffff00714f000
0xfffffff0086d7234: 08350691  add	x8, x8, #0x18d
0xfffffff0086d7238: e85300a9  stp	x8, x20, [sp]
0xfffffff0086d723c: c052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086d7240: 00403691  add	x0, x0, #0xd90
0xfffffff0086d7244: 2199ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d7248: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d724c: c352fff0  adrp	x3, #0xfffffff007132000
0xfffffff0086d7250: 63b83f91  add	x3, x3, #0xfee
0xfffffff0086d7254: 02008052  mov	w2, #0
0xfffffff0086d7258: b66ff197  bl	#0xfffffff008333130
0xfffffff0086d725c: bcffff17  b	#0xfffffff0086d714c
0xfffffff0086d7260: 080080d2  mov	x8, #0
0xfffffff0086d7264: 69420191  add	x9, x19, #0x50
0xfffffff0086d7268: 14008052  mov	w20, #0
0xfffffff0086d726c: 3f6928f8  str	xzr, [x9, x8]
0xfffffff0086d7270: 08210091  add	x8, x8, #8
0xfffffff0086d7274: 1f6100f1  cmp	x8, #0x18
0xfffffff0086d7278: 81ffff54  b.ne	#0xfffffff0086d7268
0xfffffff0086d727c: b4ffff17  b	#0xfffffff0086d714c
0xfffffff0086d7280: 0e0080d2  mov	x14, #0
0xfffffff0086d7284: 0f008052  mov	w15, #0
0xfffffff0086d7288: 90791f53  lsl	w16, w12, #1
0xfffffff0086d728c: b1791f53  lsl	w17, w13, #1
0xfffffff0086d7290: 803a0091  add	x0, x20, #0xe
0xfffffff0086d7294: 01068052  mov	w1, #0x30
0xfffffff0086d7298: 03686e38  ldrb	w3, [x0, x14]
0xfffffff0086d729c: 620a038b  add	x2, x19, x3, lsl #2
0xfffffff0086d72a0: 423080b9  ldrsw	x2, [x2, #0x30]
0xfffffff0086d72a4: 5f040031  cmn	w2, #1
0xfffffff0086d72a8: c0070054  b.eq	#0xfffffff0086d73a0
0xfffffff0086d72ac: 4420019b  madd	x4, x2, x1, x8
0xfffffff0086d72b0: 830840b9  ldr	w3, [x4, #8]
0xfffffff0086d72b4: 7f00096b  cmp	w3, w9
0xfffffff0086d72b8: c1040054  b.ne	#0xfffffff0086d7350
