; Candidate 12535
; ADRP+ADD at VM 0xfffffff0090b3088 (fileoff 0x20af088): page=0x1fe3b3000 add_imm=0xdb3

0xfffffff0090b3008: 08820a91  add	x8, x16, #0x2a0
0xfffffff0090b300c: 095241f9  ldr	x9, [x16, #0x2a0]
0xfffffff0090b3010: e00313aa  mov	x0, x19
0xfffffff0090b3014: 01008052  mov	w1, #0
0xfffffff0090b3018: f10308aa  mov	x17, x8
0xfffffff0090b301c: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0090b3020: 31093fd7  blraa	x9, x17
0xfffffff0090b3024: c8a24339  ldrb	w8, [x22, #0xe8]
0xfffffff0090b3028: 1fa10071  cmp	w8, #0x28
0xfffffff0090b302c: e8020054  b.hi	#0xfffffff0090b3088
0xfffffff0090b3030: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b3034: e8010034  cbz	w8, #0xfffffff0090b3070
0xfffffff0090b3038: 700240f9  ldr	x16, [x19]
0xfffffff0090b303c: f10313aa  mov	x17, x19
0xfffffff0090b3040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b3044: 301ac1da  autda	x16, x17
0xfffffff0090b3048: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b304c: 1002118b  add	x16, x16, x17
0xfffffff0090b3050: 080240f9  ldr	x8, [x16]
0xfffffff0090b3054: e90310aa  mov	x9, x16
0xfffffff0090b3058: e00313aa  mov	x0, x19
0xfffffff0090b305c: 010080d2  mov	x1, #0
0xfffffff0090b3060: f10309aa  mov	x17, x9
0xfffffff0090b3064: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b3068: 11093fd7  blraa	x8, x17
0xfffffff0090b306c: 03000014  b	#0xfffffff0090b3078
0xfffffff0090b3070: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b3074: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b3078: e05700a9  stp	x0, x21, [sp]
0xfffffff0090b307c: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b3080: 003c3691  add	x0, x0, #0xd8f
0xfffffff0090b3084: e78fca97  bl	#0xfffffff008357020
0xfffffff0090b3088: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b308c: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0090b3090: 010080d2  mov	x1, #0
0xfffffff0090b3094: ff5bcb97  bl	#0xfffffff00838a090
0xfffffff0090b3098: f40300aa  mov	x20, x0
0xfffffff0090b309c: a854ffd0  adrp	x8, #0xfffffff007b49000
0xfffffff0090b30a0: 08b541f9  ldr	x8, [x8, #0x368]
0xfffffff0090b30a4: 000140f9  ldr	x0, [x8]
0xfffffff0090b30a8: 100000b0  adrp	x16, #0xfffffff0090b4000
0xfffffff0090b30ac: 10920791  add	x16, x16, #0x1e4
0xfffffff0090b30b0: d13b8cd2  mov	x17, #0x61de
0xfffffff0090b30b4: 3002c1da  pacia	x16, x17
0xfffffff0090b30b8: e20310aa  mov	x2, x16
0xfffffff0090b30bc: e10314aa  mov	x1, x20
0xfffffff0090b30c0: e30313aa  mov	x3, x19
0xfffffff0090b30c4: 040080d2  mov	x4, #0
0xfffffff0090b30c8: 05008052  mov	w5, #0
0xfffffff0090b30cc: a25acb97  bl	#0xfffffff008389b54
0xfffffff0090b30d0: 608200f9  str	x0, [x19, #0x100]
0xfffffff0090b30d4: 940100b4  cbz	x20, #0xfffffff0090b3104
0xfffffff0090b30d8: 900240f9  ldr	x16, [x20]
0xfffffff0090b30dc: f10314aa  mov	x17, x20
0xfffffff0090b30e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b30e4: 301ac1da  autda	x16, x17
0xfffffff0090b30e8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090b30ec: e90310aa  mov	x9, x16
0xfffffff0090b30f0: e00314aa  mov	x0, x20
0xfffffff0090b30f4: f10309aa  mov	x17, x9
0xfffffff0090b30f8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090b30fc: 11093fd7  blraa	x8, x17
0xfffffff0090b3100: 608240f9  ldr	x0, [x19, #0x100]
0xfffffff0090b3104: 401000b4  cbz	x0, #0xfffffff0090b330c
