; Candidate 6552
; ADRP+ADD at VM 0xfffffff008832dfc (fileoff 0x182edfc): page=0x1fe9f0000 add_imm=0xe0a

0xfffffff008832d7c: e10316aa  mov	x1, x22
0xfffffff008832d80: 94220194  bl	#0xfffffff00887b7d0
0xfffffff008832d84: 60080036  tbz	w0, #0, #0xfffffff008832e90
0xfffffff008832d88: e00314aa  mov	x0, x20
0xfffffff008832d8c: a3220194  bl	#0xfffffff00887b818
0xfffffff008832d90: 7502f837  tbnz	w21, #0x1f, #0xfffffff008832ddc
0xfffffff008832d94: b7021b12  and	w23, w21, #0x20
0xfffffff008832d98: 18000052  eor	w24, w0, #1
0xfffffff008832d9c: 04050294  bl	#0xfffffff0088b41ac
0xfffffff008832da0: f50300aa  mov	x21, x0
0xfffffff008832da4: e00316aa  mov	x0, x22
0xfffffff008832da8: aa220194  bl	#0xfffffff00887b850
0xfffffff008832dac: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff008832db0: e8020037  tbnz	w8, #0, #0xfffffff008832e0c
0xfffffff008832db4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832db8: e9030191  add	x9, sp, #0x40
0xfffffff008832dbc: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008832dc0: a80302d1  sub	x8, x29, #0x80
0xfffffff008832dc4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008832dc8: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff008832dcc: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff008832dd0: 00b43891  add	x0, x0, #0xe2d
0xfffffff008832dd4: f50300f9  str	x21, [sp]
0xfffffff008832dd8: 0b000014  b	#0xfffffff008832e04
0xfffffff008832ddc: 00040034  cbz	w0, #0xfffffff008832e5c
0xfffffff008832de0: e803154b  neg	w8, w21
0xfffffff008832de4: c8032837  tbnz	w8, #5, #0xfffffff008832e5c
0xfffffff008832de8: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832dec: e9030191  add	x9, sp, #0x40
0xfffffff008832df0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008832df4: a80302d1  sub	x8, x29, #0x80
0xfffffff008832df8: e84f00a9  stp	x8, x19, [sp]
0xfffffff008832dfc: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff008832e00: 00283891  add	x0, x0, #0xe0a
0xfffffff008832e04: 9711d697  bl	#0xfffffff007db7460
0xfffffff008832e08: 22000014  b	#0xfffffff008832e90
0xfffffff008832e0c: e8040294  bl	#0xfffffff0088b41ac
0xfffffff008832e10: f50300aa  mov	x21, x0
0xfffffff008832e14: e00316aa  mov	x0, x22
0xfffffff008832e18: 8e220194  bl	#0xfffffff00887b850
0xfffffff008832e1c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832e20: e9030191  add	x9, sp, #0x40
0xfffffff008832e24: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008832e28: a80302d1  sub	x8, x29, #0x80
0xfffffff008832e2c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008832e30: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff008832e34: f50300f9  str	x21, [sp]
0xfffffff008832e38: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832e3c: 00003a91  add	x0, x0, #0xe80
0xfffffff008832e40: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832e44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832e48: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832e4c: 63bc2291  add	x3, x3, #0x8af
0xfffffff008832e50: 02008052  mov	w2, #0
0xfffffff008832e54: b700ec97  bl	#0xfffffff008333130
0xfffffff008832e58: 0e000014  b	#0xfffffff008832e90
0xfffffff008832e5c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832e60: e9030191  add	x9, sp, #0x40
0xfffffff008832e64: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008832e68: a80302d1  sub	x8, x29, #0x80
0xfffffff008832e6c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008832e70: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832e74: 00003a91  add	x0, x0, #0xe80
0xfffffff008832e78: a18effd0  adrp	x1, #0xfffffff007a08000
