; Candidate 14387
; ADRP+ADD at VM 0xfffffff00976fbbc (fileoff 0x276bbbc): page=0xc1c000 add_imm=0xea8

0xfffffff00976fb3c: c00100b5  cbnz	x0, #0xfffffff00976fb74
0xfffffff00976fb40: 700240f9  ldr	x16, [x19]
0xfffffff00976fb44: f10313aa  mov	x17, x19
0xfffffff00976fb48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fb4c: 301ac1da  autda	x16, x17
0xfffffff00976fb50: 113d80d2  mov	x17, #0x1e8
0xfffffff00976fb54: 1002118b  add	x16, x16, x17
0xfffffff00976fb58: 080240f9  ldr	x8, [x16]
0xfffffff00976fb5c: e90310aa  mov	x9, x16
0xfffffff00976fb60: e00313aa  mov	x0, x19
0xfffffff00976fb64: 010080d2  mov	x1, #0
0xfffffff00976fb68: f10309aa  mov	x17, x9
0xfffffff00976fb6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976fb70: 11093fd7  blraa	x8, x17
0xfffffff00976fb74: e00313aa  mov	x0, x19
0xfffffff00976fb78: b9e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fb7c: e00313aa  mov	x0, x19
0xfffffff00976fb80: b7e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fb84: c00100b5  cbnz	x0, #0xfffffff00976fbbc
0xfffffff00976fb88: 700240f9  ldr	x16, [x19]
0xfffffff00976fb8c: f10313aa  mov	x17, x19
0xfffffff00976fb90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fb94: 301ac1da  autda	x16, x17
0xfffffff00976fb98: 114380d2  mov	x17, #0x218
0xfffffff00976fb9c: 1002118b  add	x16, x16, x17
0xfffffff00976fba0: 080240f9  ldr	x8, [x16]
0xfffffff00976fba4: e90310aa  mov	x9, x16
0xfffffff00976fba8: e00313aa  mov	x0, x19
0xfffffff00976fbac: 010080d2  mov	x1, #0
0xfffffff00976fbb0: f10309aa  mov	x17, x9
0xfffffff00976fbb4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976fbb8: 11093fd7  blraa	x8, x17
0xfffffff00976fbbc: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976fbc0: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976fbc4: 65d3ad97  bl	#0xfffffff0082e4958
0xfffffff00976fbc8: f50300aa  mov	x21, x0
0xfffffff00976fbcc: e00313aa  mov	x0, x19
0xfffffff00976fbd0: a3e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fbd4: f60300aa  mov	x22, x0
0xfffffff00976fbd8: e00100b5  cbnz	x0, #0xfffffff00976fc14
0xfffffff00976fbdc: 700240f9  ldr	x16, [x19]
0xfffffff00976fbe0: f10313aa  mov	x17, x19
0xfffffff00976fbe4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fbe8: 301ac1da  autda	x16, x17
0xfffffff00976fbec: 113d80d2  mov	x17, #0x1e8
0xfffffff00976fbf0: 1002118b  add	x16, x16, x17
0xfffffff00976fbf4: 080240f9  ldr	x8, [x16]
0xfffffff00976fbf8: e90310aa  mov	x9, x16
0xfffffff00976fbfc: e00313aa  mov	x0, x19
0xfffffff00976fc00: 010080d2  mov	x1, #0
0xfffffff00976fc04: f10309aa  mov	x17, x9
0xfffffff00976fc08: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976fc0c: 11093fd7  blraa	x8, x17
0xfffffff00976fc10: f60300aa  mov	x22, x0
0xfffffff00976fc14: e00313aa  mov	x0, x19
0xfffffff00976fc18: 91e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fc1c: f7f0fed0  adrp	x23, #0xfffffff00758d000
0xfffffff00976fc20: f7c63491  add	x23, x23, #0xd31
0xfffffff00976fc24: e8f0fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00976fc28: 08c93491  add	x8, x8, #0xd32
0xfffffff00976fc2c: 1f0000f1  cmp	x0, #0
0xfffffff00976fc30: 1b01979a  csel	x27, x8, x23, eq
0xfffffff00976fc34: e00313aa  mov	x0, x19
0xfffffff00976fc38: 89e3fc97  bl	#0xfffffff0096a8a5c
