; Candidate 2246
; ADRP+ADD at VM 0xfffffff0085bf31c (fileoff 0x15bb31c): page=0x1feb39000 add_imm=0xdcd

0xfffffff0085bf29c: c8040054  b.hi	#0xfffffff0085bf334
0xfffffff0085bf2a0: 900240f9  ldr	x16, [x20]
0xfffffff0085bf2a4: fa0314aa  mov	x26, x20
0xfffffff0085bf2a8: 3ab4f9f2  movk	x26, #0xcda1, lsl #48
0xfffffff0085bf2ac: f10314aa  mov	x17, x20
0xfffffff0085bf2b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf2b4: 301ac1da  autda	x16, x17
0xfffffff0085bf2b8: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf2bc: 1002118b  add	x16, x16, x17
0xfffffff0085bf2c0: 080240f9  ldr	x8, [x16]
0xfffffff0085bf2c4: e90310aa  mov	x9, x16
0xfffffff0085bf2c8: e00314aa  mov	x0, x20
0xfffffff0085bf2cc: 010080d2  mov	x1, #0
0xfffffff0085bf2d0: f10309aa  mov	x17, x9
0xfffffff0085bf2d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bf2d8: 11093fd7  blraa	x8, x17
0xfffffff0085bf2dc: f60300aa  mov	x22, x0
0xfffffff0085bf2e0: f00240f9  ldr	x16, [x23]
0xfffffff0085bf2e4: f10317aa  mov	x17, x23
0xfffffff0085bf2e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf2ec: 301ac1da  autda	x16, x17
0xfffffff0085bf2f0: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0085bf2f4: e90310aa  mov	x9, x16
0xfffffff0085bf2f8: e00317aa  mov	x0, x23
0xfffffff0085bf2fc: f10309aa  mov	x17, x9
0xfffffff0085bf300: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0085bf304: 11093fd7  blraa	x8, x17
0xfffffff0085bf308: 08018052  mov	w8, #8
0xfffffff0085bf30c: c959ff90  adrp	x9, #0xfffffff0070f7000
0xfffffff0085bf310: 29c93291  add	x9, x9, #0xcb2
0xfffffff0085bf314: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0085bf318: f62700a9  stp	x22, x9, [sp]
0xfffffff0085bf31c: c059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bf320: 00343791  add	x0, x0, #0xdcd
0xfffffff0085bf324: 56000014  b	#0xfffffff0085bf47c
0xfffffff0085bf328: fa0314aa  mov	x26, x20
0xfffffff0085bf32c: 3ab4f9f2  movk	x26, #0xcda1, lsl #48
0xfffffff0085bf330: 54000014  b	#0xfffffff0085bf480
0xfffffff0085bf334: f00240f9  ldr	x16, [x23]
0xfffffff0085bf338: f10317aa  mov	x17, x23
0xfffffff0085bf33c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf340: 301ac1da  autda	x16, x17
0xfffffff0085bf344: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0085bf348: e90310aa  mov	x9, x16
0xfffffff0085bf34c: e00317aa  mov	x0, x23
0xfffffff0085bf350: f10309aa  mov	x17, x9
0xfffffff0085bf354: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff0085bf358: 11093fd7  blraa	x8, x17
0xfffffff0085bf35c: 080040f9  ldr	x8, [x0]
0xfffffff0085bf360: 884a01f9  str	x8, [x20, #0x290]
0xfffffff0085bf364: 083d48d3  ubfx	x8, x8, #8, #8
0xfffffff0085bf368: 1f050071  cmp	w8, #1
0xfffffff0085bf36c: 01060054  b.ne	#0xfffffff0085bf42c
0xfffffff0085bf370: 9a420a91  add	x26, x20, #0x290
0xfffffff0085bf374: f00240f9  ldr	x16, [x23]
0xfffffff0085bf378: f10317aa  mov	x17, x23
0xfffffff0085bf37c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf380: 301ac1da  autda	x16, x17
0xfffffff0085bf384: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0085bf388: e90310aa  mov	x9, x16
0xfffffff0085bf38c: e00317aa  mov	x0, x23
0xfffffff0085bf390: f10309aa  mov	x17, x9
0xfffffff0085bf394: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff0085bf398: 11093fd7  blraa	x8, x17
