; Candidate 12385
; ADRP+ADD at VM 0xfffffff0090986ec (fileoff 0x20946ec): page=0x1fe3c1000 add_imm=0xe24

0xfffffff00909866c: 21010054  b.ne	#0xfffffff009098690
0xfffffff009098670: 890240f9  ldr	x9, [x20]
0xfffffff009098674: 3f3d00f1  cmp	x9, #0xf
0xfffffff009098678: 290e0054  b.ls	#0xfffffff00909883c
0xfffffff00909867c: 13008052  mov	w19, #0
0xfffffff009098680: 0091cb3c  ldur	q0, [x8, #0xb9]
0xfffffff009098684: a002803d  str	q0, [x21]
0xfffffff009098688: 08028052  mov	w8, #0x10
0xfffffff00909868c: 0b000014  b	#0xfffffff0090986b8
0xfffffff009098690: c8088052  mov	w8, #0x46
0xfffffff009098694: 13008012  mov	w19, #-1
0xfffffff009098698: 0a000014  b	#0xfffffff0090986c0
0xfffffff00909869c: 890240f9  ldr	x9, [x20]
0xfffffff0090986a0: 3f0d00f1  cmp	x9, #3
0xfffffff0090986a4: a90b0054  b.ls	#0xfffffff009098818
0xfffffff0090986a8: 13008052  mov	w19, #0
0xfffffff0090986ac: 082540b9  ldr	w8, [x8, #0x24]
0xfffffff0090986b0: a80200b9  str	w8, [x21]
0xfffffff0090986b4: 88008052  mov	w8, #4
0xfffffff0090986b8: 880200f9  str	x8, [x20]
0xfffffff0090986bc: 48018052  mov	w8, #0xa
0xfffffff0090986c0: 09034039  ldrb	w9, [x24]
0xfffffff0090986c4: 1f01096b  cmp	w8, w9
0xfffffff0090986c8: 83010054  b.lo	#0xfffffff0090986f8
0xfffffff0090986cc: e80313aa  mov	x8, x19
0xfffffff0090986d0: 087d4093  sxtw	x8, w8
0xfffffff0090986d4: 491eff90  adrp	x9, #0xfffffff007460000
0xfffffff0090986d8: 29a11691  add	x9, x9, #0x5a8
0xfffffff0090986dc: 2a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff0090986e0: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090986e4: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090986e8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090986ec: 001effb0  adrp	x0, #0xfffffff007459000
0xfffffff0090986f0: 00903891  add	x0, x0, #0xe24
0xfffffff0090986f4: 4bfaca97  bl	#0xfffffff008357020
0xfffffff0090986f8: e00313aa  mov	x0, x19
0xfffffff0090986fc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009098700: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009098704: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009098708: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00909870c: ffc30191  add	sp, sp, #0x70
0xfffffff009098710: ff0f5fd6  retab	
0xfffffff009098714: c8078052  mov	w8, #0x3e
0xfffffff009098718: 491eff90  adrp	x9, #0xfffffff007460000
0xfffffff00909871c: 29f11391  add	x9, x9, #0x4fc
0xfffffff009098720: e81300f9  str	x8, [sp, #0x20]
0xfffffff009098724: 081effb0  adrp	x8, #0xfffffff007459000
0xfffffff009098728: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909872c: 4a1eff90  adrp	x10, #0xfffffff007460000
0xfffffff009098730: 4a1d1691  add	x10, x10, #0x587
0xfffffff009098734: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009098738: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff00909873c: 001effb0  adrp	x0, #0xfffffff007459000
0xfffffff009098740: 00d42c91  add	x0, x0, #0xb35
0xfffffff009098744: 37faca97  bl	#0xfffffff008357020
0xfffffff009098748: c8088052  mov	w8, #0x46
0xfffffff00909874c: 53008012  mov	w19, #-3
0xfffffff009098750: dcffff17  b	#0xfffffff0090986c0
0xfffffff009098754: f30300aa  mov	x19, x0
0xfffffff009098758: 687e4093  sxtw	x8, w19
0xfffffff00909875c: e9088052  mov	w9, #0x47
0xfffffff009098760: 4a1eff90  adrp	x10, #0xfffffff007460000
0xfffffff009098764: 4af11391  add	x10, x10, #0x4fc
0xfffffff009098768: eaa701a9  stp	x10, x9, [sp, #0x18]
