; Candidate 5218
; ADRP+ADD at VM 0xfffffff0087e03b0 (fileoff 0x17dc3b0): page=0x1fea09000 add_imm=0xe80

0xfffffff0087e0330: f50300aa  mov	x21, x0
0xfffffff0087e0334: 9e4f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e0338: f40300aa  mov	x20, x0
0xfffffff0087e033c: c0008052  mov	w0, #6
0xfffffff0087e0340: 446d0294  bl	#0xfffffff00887b850
0xfffffff0087e0344: d5010034  cbz	w21, #0xfffffff0087e037c
0xfffffff0087e0348: f3db02a9  stp	x19, x22, [sp, #0x28]
0xfffffff0087e034c: 8851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e0350: 09112d91  add	x9, x8, #0xb44
0xfffffff0087e0354: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0358: 081d0291  add	x8, x8, #0x87
0xfffffff0087e035c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e0360: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e0364: 280a8052  mov	w8, #0x51
0xfffffff0087e0368: 8051ffb0  adrp	x0, #0xfffffff007211000
0xfffffff0087e036c: 00b81b91  add	x0, x0, #0x6ee
0xfffffff0087e0370: f42300a9  stp	x20, x8, [sp]
0xfffffff0087e0374: 3b5cd797  bl	#0xfffffff007db7460
0xfffffff0087e0378: 16000014  b	#0xfffffff0087e03d0
0xfffffff0087e037c: 8c4f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e0380: f40300aa  mov	x20, x0
0xfffffff0087e0384: c0008052  mov	w0, #6
0xfffffff0087e0388: 326d0294  bl	#0xfffffff00887b850
0xfffffff0087e038c: f3db02a9  stp	x19, x22, [sp, #0x28]
0xfffffff0087e0390: 8851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e0394: 09112d91  add	x9, x8, #0xb44
0xfffffff0087e0398: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e039c: 081d0291  add	x8, x8, #0x87
0xfffffff0087e03a0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e03a4: 280a8052  mov	w8, #0x51
0xfffffff0087e03a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e03ac: f40300f9  str	x20, [sp]
0xfffffff0087e03b0: 4050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e03b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e03b8: 4191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e03bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e03c0: e352ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087e03c4: 63781691  add	x3, x3, #0x59e
0xfffffff0087e03c8: 02008052  mov	w2, #0
0xfffffff0087e03cc: 594bed97  bl	#0xfffffff008333130
0xfffffff0087e03d0: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087e03d4: 600100b4  cbz	x0, #0xfffffff0087e0400
0xfffffff0087e03d8: 100040f9  ldr	x16, [x0]
0xfffffff0087e03dc: f10300aa  mov	x17, x0
0xfffffff0087e03e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e03e4: 301ac1da  autda	x16, x17
0xfffffff0087e03e8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087e03ec: e90310aa  mov	x9, x16
0xfffffff0087e03f0: f10309aa  mov	x17, x9
0xfffffff0087e03f4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087e03f8: 11093fd7  blraa	x8, x17
0xfffffff0087e03fc: 7f6e00f9  str	xzr, [x19, #0xd8]
0xfffffff0087e0400: 7f7200f9  str	xzr, [x19, #0xe0]
0xfffffff0087e0404: 7f7e0fa9  stp	xzr, xzr, [x19, #0xf0]
0xfffffff0087e0408: 60a640f9  ldr	x0, [x19, #0x148]
0xfffffff0087e040c: 600000b4  cbz	x0, #0xfffffff0087e0418
0xfffffff0087e0410: a7dced97  bl	#0xfffffff0083576ac
0xfffffff0087e0414: 7fa600f9  str	xzr, [x19, #0x148]
0xfffffff0087e0418: 4891ff90  adrp	x8, #0xfffffff007a08000
0xfffffff0087e041c: 082142f9  ldr	x8, [x8, #0x440]
0xfffffff0087e0420: 090d48f8  ldr	x9, [x8, #0x80]!
0xfffffff0087e0424: e00313aa  mov	x0, x19
0xfffffff0087e0428: f10308aa  mov	x17, x8
0xfffffff0087e042c: b1b8fdf2  movk	x17, #0xedc5, lsl #48
