; Candidate 7960
; ADRP+ADD at VM 0xfffffff00888a64c (fileoff 0x188664c): page=0x1fe95f000 add_imm=0xe80

0xfffffff00888a5cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888a5d0: 88098052  mov	w8, #0x4c
0xfffffff00888a5d4: 204dff90  adrp	x0, #0xfffffff00722e000
0xfffffff00888a5d8: 002c1c91  add	x0, x0, #0x70b
0xfffffff00888a5dc: f42300a9  stp	x20, x8, [sp]
0xfffffff00888a5e0: a0b3d497  bl	#0xfffffff007db7460
0xfffffff00888a5e4: 22000014  b	#0xfffffff00888a66c
0xfffffff00888a5e8: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff00888a5ec: 01050153  ubfx	w1, w8, #1, #1
0xfffffff00888a5f0: 58e84894  bl	#0xfffffff009ac4750
0xfffffff00888a5f4: 00008052  mov	w0, #0
0xfffffff00888a5f8: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888a5fc: 08f97792  and	x8, x8, #0xfffffffffffffeff
0xfffffff00888a600: 688e00f9  str	x8, [x19, #0x118]
0xfffffff00888a604: 1b000014  b	#0xfffffff00888a670
0xfffffff00888a608: e9a60094  bl	#0xfffffff0088b41ac
0xfffffff00888a60c: f40300aa  mov	x20, x0
0xfffffff00888a610: 80008052  mov	w0, #4
0xfffffff00888a614: 8fc4ff97  bl	#0xfffffff00887b850
0xfffffff00888a618: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff00888a61c: 284dff90  adrp	x8, #0xfffffff00722e000
0xfffffff00888a620: 0ad11291  add	x10, x8, #0x4b4
0xfffffff00888a624: 88568052  mov	w8, #0x2b4
0xfffffff00888a628: 294dff90  adrp	x9, #0xfffffff00722e000
0xfffffff00888a62c: 29791f91  add	x9, x9, #0x7de
0xfffffff00888a630: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888a634: 284dffb0  adrp	x8, #0xfffffff00722f000
0xfffffff00888a638: 087d0391  add	x8, x8, #0xdf
0xfffffff00888a63c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888a640: 88098052  mov	w8, #0x4c
0xfffffff00888a644: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888a648: f40300f9  str	x20, [sp]
0xfffffff00888a64c: e04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888a650: 00003a91  add	x0, x0, #0xe80
0xfffffff00888a654: e18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888a658: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888a65c: 834efff0  adrp	x3, #0xfffffff00725d000
0xfffffff00888a660: 63841f91  add	x3, x3, #0x7e1
0xfffffff00888a664: 02008052  mov	w2, #0
0xfffffff00888a668: b2a2ea97  bl	#0xfffffff008333130
0xfffffff00888a66c: 407e8012  mov	w0, #-0x3f3
0xfffffff00888a670: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00888a674: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00888a678: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00888a67c: ff030291  add	sp, sp, #0x80
0xfffffff00888a680: ff0f5fd6  retab	
0xfffffff00888a684: 7f2303d5  pacibsp	
0xfffffff00888a688: ff0302d1  sub	sp, sp, #0x80
0xfffffff00888a68c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00888a690: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00888a694: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00888a698: fdc30191  add	x29, sp, #0x70
0xfffffff00888a69c: f30300aa  mov	x19, x0
0xfffffff00888a6a0: 002c40f9  ldr	x0, [x0, #0x58]
0xfffffff00888a6a4: 600100b4  cbz	x0, #0xfffffff00888a6d0
0xfffffff00888a6a8: 68664439  ldrb	w8, [x19, #0x119]
0xfffffff00888a6ac: e8040037  tbnz	w8, #0, #0xfffffff00888a748
0xfffffff00888a6b0: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff00888a6b4: 01050153  ubfx	w1, w8, #1, #1
0xfffffff00888a6b8: 11e84894  bl	#0xfffffff009ac46fc
0xfffffff00888a6bc: 00008052  mov	w0, #0
0xfffffff00888a6c0: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888a6c4: 080178b2  orr	x8, x8, #0x100
0xfffffff00888a6c8: 688e00f9  str	x8, [x19, #0x118]
