; Candidate 10765
; ADRP+ADD at VM 0xfffffff008de5e44 (fileoff 0x1de1e44): page=0x1fe5df000 add_imm=0xe15

0xfffffff008de5dc4: 040080d2  mov	x4, #0
0xfffffff008de5dc8: 050080d2  mov	x5, #0
0xfffffff008de5dcc: 27008052  mov	w7, #1
0xfffffff008de5dd0: 50f4ff97  bl	#0xfffffff008de2f10
0xfffffff008de5dd4: 137c4093  sxtw	x19, w0
0xfffffff008de5dd8: 20020035  cbnz	w0, #0xfffffff008de5e1c
0xfffffff008de5ddc: 48018052  mov	w8, #0xa
0xfffffff008de5de0: e9024039  ldrb	w9, [x23]
0xfffffff008de5de4: 1f01096b  cmp	w8, w9
0xfffffff008de5de8: c3000054  b.lo	#0xfffffff008de5e00
0xfffffff008de5dec: f5cf00a9  stp	x21, x19, [sp, #8]
0xfffffff008de5df0: f60300f9  str	x22, [sp]
0xfffffff008de5df4: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5df8: 00503591  add	x0, x0, #0xd54
0xfffffff008de5dfc: 89c4d597  bl	#0xfffffff008357020
0xfffffff008de5e00: e00313aa  mov	x0, x19
0xfffffff008de5e04: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de5e08: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de5e0c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de5e10: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de5e14: ffc30191  add	sp, sp, #0x70
0xfffffff008de5e18: ff0f5fd6  retab	
0xfffffff008de5e1c: c8008152  mov	w8, #0x806
0xfffffff008de5e20: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de5e24: 29490d91  add	x9, x9, #0x352
0xfffffff008de5e28: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de5e2c: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5e30: 08493991  add	x8, x8, #0xe52
0xfffffff008de5e34: ea2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de5e38: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de5e3c: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008de5e40: ea0300f9  str	x10, [sp]
0xfffffff008de5e44: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5e48: 00543891  add	x0, x0, #0xe15
0xfffffff008de5e4c: 75c4d597  bl	#0xfffffff008357020
0xfffffff008de5e50: c8088052  mov	w8, #0x46
0xfffffff008de5e54: e3ffff17  b	#0xfffffff008de5de0
0xfffffff008de5e58: 7f2303d5  pacibsp	
0xfffffff008de5e5c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008de5e60: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008de5e64: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008de5e68: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008de5e6c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008de5e70: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008de5e74: fd030291  add	x29, sp, #0x80
0xfffffff008de5e78: f60303aa  mov	x22, x3
0xfffffff008de5e7c: f70302aa  mov	x23, x2
0xfffffff008de5e80: f30301aa  mov	x19, x1
0xfffffff008de5e84: f40300aa  mov	x20, x0
0xfffffff008de5e88: daa800d0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de5e8c: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de5e90: 48034039  ldrb	w8, [x26]
0xfffffff008de5e94: f82effb0  adrp	x24, #0xfffffff0073c2000
0xfffffff008de5e98: 18171b91  add	x24, x24, #0x6c5
0xfffffff008de5e9c: f92eff90  adrp	x25, #0xfffffff0073c1000
0xfffffff008de5ea0: 399f0c91  add	x25, x25, #0x327
0xfffffff008de5ea4: 1f290071  cmp	w8, #0xa
0xfffffff008de5ea8: a8000054  b.hi	#0xfffffff008de5ebc
0xfffffff008de5eac: f96300a9  stp	x25, x24, [sp]
0xfffffff008de5eb0: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5eb4: 00843491  add	x0, x0, #0xd21
0xfffffff008de5eb8: 5ac4d597  bl	#0xfffffff008357020
0xfffffff008de5ebc: ffff0039  strb	wzr, [sp, #0x3f]
0xfffffff008de5ec0: 28008052  mov	w8, #1
