; Candidate 10744
; ADRP+ADD at VM 0xfffffff008de5428 (fileoff 0x1de1428): page=0x1fe5df000 add_imm=0xd54

0xfffffff008de53a8: fc2effb0  adrp	x28, #0xfffffff0073c2000
0xfffffff008de53ac: 9cbb2691  add	x28, x28, #0x9ae
0xfffffff008de53b0: 34020034  cbz	w20, #0xfffffff008de53f4
0xfffffff008de53b4: 150200b4  cbz	x21, #0xfffffff008de53f4
0xfffffff008de53b8: e02eff90  adrp	x0, #0xfffffff0073c1000
0xfffffff008de53bc: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de53c0: e32eff90  adrp	x3, #0xfffffff0073c1000
0xfffffff008de53c4: 63480d91  add	x3, x3, #0x352
0xfffffff008de53c8: e52effb0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de53cc: a5b82691  add	x5, x5, #0x9ae
0xfffffff008de53d0: e10315aa  mov	x1, x21
0xfffffff008de53d4: e20313aa  mov	x2, x19
0xfffffff008de53d8: 24e48052  mov	w4, #0x721
0xfffffff008de53dc: 3b060094  bl	#0xfffffff008de6cc8
0xfffffff008de53e0: e00315aa  mov	x0, x21
0xfffffff008de53e4: e10313aa  mov	x1, x19
0xfffffff008de53e8: e1050094  bl	#0xfffffff008de6b6c
0xfffffff008de53ec: c8088052  mov	w8, #0x46
0xfffffff008de53f0: 05000014  b	#0xfffffff008de5404
0xfffffff008de53f4: 9f020071  cmp	w20, #0
0xfffffff008de53f8: c8088052  mov	w8, #0x46
0xfffffff008de53fc: 49018052  mov	w9, #0xa
0xfffffff008de5400: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de5404: 49034039  ldrb	w9, [x26]
0xfffffff008de5408: 1f01096b  cmp	w8, w9
0xfffffff008de540c: 43010054  b.lo	#0xfffffff008de5434
0xfffffff008de5410: e80314aa  mov	x8, x20
0xfffffff008de5414: 087d4093  sxtw	x8, w8
0xfffffff008de5418: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de541c: 299d0c91  add	x9, x9, #0x327
0xfffffff008de5420: e97300a9  stp	x9, x28, [sp]
0xfffffff008de5424: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de5428: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de542c: 00503591  add	x0, x0, #0xd54
0xfffffff008de5430: fcc6d597  bl	#0xfffffff008357020
0xfffffff008de5434: 34150035  cbnz	w20, #0xfffffff008de56d8
0xfffffff008de5438: 48018052  mov	w8, #0xa
0xfffffff008de543c: 49034039  ldrb	w9, [x26]
0xfffffff008de5440: 1f01096b  cmp	w8, w9
0xfffffff008de5444: 83010054  b.lo	#0xfffffff008de5474
0xfffffff008de5448: e80314aa  mov	x8, x20
0xfffffff008de544c: 087d4093  sxtw	x8, w8
0xfffffff008de5450: e92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de5454: 29b51e91  add	x9, x9, #0x7ad
0xfffffff008de5458: ea2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de545c: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008de5460: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de5464: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de5468: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de546c: 00503591  add	x0, x0, #0xd54
0xfffffff008de5470: ecc6d597  bl	#0xfffffff008357020
0xfffffff008de5474: e00314aa  mov	x0, x20
0xfffffff008de5478: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008de547c: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008de5480: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008de5484: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008de5488: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008de548c: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff008de5490: ff430391  add	sp, sp, #0xd0
0xfffffff008de5494: ff0f5fd6  retab	
0xfffffff008de5498: 88eb8052  mov	w8, #0x75c
0xfffffff008de549c: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de54a0: 29490d91  add	x9, x9, #0x352
0xfffffff008de54a4: e81300f9  str	x8, [sp, #0x20]
