; Candidate 5623
; ADRP+ADD at VM 0xfffffff0087fd290 (fileoff 0x17f9290): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fd210: 88032837  tbnz	w8, #5, #0xfffffff0087fd280
0xfffffff0087fd214: a8324e39  ldrb	w8, [x21, #0x38c]
0xfffffff0087fd218: a98241b9  ldr	w9, [x21, #0x180]
0xfffffff0087fd21c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0087fd220: fc6f00a9  stp	x28, x27, [sp]
0xfffffff0087fd224: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fd228: 00a41a91  add	x0, x0, #0x6a9
0xfffffff0087fd22c: 8de8d697  bl	#0xfffffff007db7460
0xfffffff0087fd230: 20000014  b	#0xfffffff0087fd2b0
0xfffffff0087fd234: dedb0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd238: f90300aa  mov	x25, x0
0xfffffff0087fd23c: e00316aa  mov	x0, x22
0xfffffff0087fd240: 84f90194  bl	#0xfffffff00887b850
0xfffffff0087fd244: a8324e39  ldrb	w8, [x21, #0x38c]
0xfffffff0087fd248: a98241b9  ldr	w9, [x21, #0x180]
0xfffffff0087fd24c: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff0087fd250: fcef01a9  stp	x28, x27, [sp, #0x18]
0xfffffff0087fd254: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0087fd258: f90300f9  str	x25, [sp]
0xfffffff0087fd25c: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd260: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd264: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd268: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd26c: 02008052  mov	w2, #0
0xfffffff0087fd270: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd274: 63fc3e91  add	x3, x3, #0xfbf
0xfffffff0087fd278: aed7ec97  bl	#0xfffffff008333130
0xfffffff0087fd27c: 0d000014  b	#0xfffffff0087fd2b0
0xfffffff0087fd280: a8324e39  ldrb	w8, [x21, #0x38c]
0xfffffff0087fd284: a98241b9  ldr	w9, [x21, #0x180]
0xfffffff0087fd288: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0087fd28c: fc6f00a9  stp	x28, x27, [sp]
0xfffffff0087fd290: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd294: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd298: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd29c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd2a0: 02008052  mov	w2, #0
0xfffffff0087fd2a4: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd2a8: 63a03d91  add	x3, x3, #0xf68
0xfffffff0087fd2ac: a1d7ec97  bl	#0xfffffff008333130
0xfffffff0087fd2b0: a88241b9  ldr	w8, [x21, #0x180]
0xfffffff0087fd2b4: c8000034  cbz	w8, #0xfffffff0087fd2cc
0xfffffff0087fd2b8: 68070091  add	x8, x27, #1
0xfffffff0087fd2bc: b5820891  add	x21, x21, #0x220
0xfffffff0087fd2c0: 7fff03f1  cmp	x27, #0xff
0xfffffff0087fd2c4: fb0308aa  mov	x27, x8
0xfffffff0087fd2c8: e1f6ff54  b.ne	#0xfffffff0087fd1a4
0xfffffff0087fd2cc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087fd2d0: 4990fff0  adrp	x9, #0xfffffff007a08000
0xfffffff0087fd2d4: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087fd2d8: 290140f9  ldr	x9, [x9]
0xfffffff0087fd2dc: 3f0108eb  cmp	x9, x8
0xfffffff0087fd2e0: 41010054  b.ne	#0xfffffff0087fd308
0xfffffff0087fd2e4: 00008052  mov	w0, #0
0xfffffff0087fd2e8: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff0087fd2ec: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff0087fd2f0: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff0087fd2f4: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff0087fd2f8: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff0087fd2fc: fc6f4aa9  ldp	x28, x27, [sp, #0xa0]
0xfffffff0087fd300: ff030491  add	sp, sp, #0x100
0xfffffff0087fd304: ff0f5fd6  retab	
0xfffffff0087fd308: d182d597  bl	#0xfffffff007d5de4c
0xfffffff0087fd30c: 7f2303d5  pacibsp	
