; Candidate 4533
; ADRP+ADD at VM 0xfffffff0087b9bf0 (fileoff 0x17b5bf0): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b9b70: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9b74: 009506b9  str	w0, [x8, #0x694]
0xfffffff0087b9b78: 1f200071  cmp	w0, #8
0xfffffff0087b9b7c: 43210054  b.lo	#0xfffffff0087b9fa4
0xfffffff0087b9b80: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9b84: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9b88: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9b8c: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9b90: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9b94: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9b98: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9b9c: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9ba0: 63b03891  add	x3, x3, #0xe2c
0xfffffff0087b9ba4: 02008052  mov	w2, #0
0xfffffff0087b9ba8: 62e5ed97  bl	#0xfffffff008333130
0xfffffff0087b9bac: 0cfeff17  b	#0xfffffff0087b93dc
0xfffffff0087b9bb0: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9bb4: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9bb8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9bbc: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9bc0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9bc4: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9bc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9bcc: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9bd0: 63803691  add	x3, x3, #0xda0
0xfffffff0087b9bd4: 02008052  mov	w2, #0
0xfffffff0087b9bd8: 56e5ed97  bl	#0xfffffff008333130
0xfffffff0087b9bdc: 00feff17  b	#0xfffffff0087b93dc
0xfffffff0087b9be0: c8f18052  mov	w8, #0x78e
0xfffffff0087b9be4: a94cfff0  adrp	x9, #0xfffffff007150000
0xfffffff0087b9be8: 29f90591  add	x9, x9, #0x17e
0xfffffff0087b9bec: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b9bf0: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9bf4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9bf8: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9bfc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9c00: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9c04: 63183791  add	x3, x3, #0xdc6
0xfffffff0087b9c08: 02008052  mov	w2, #0
0xfffffff0087b9c0c: 49e5ed97  bl	#0xfffffff008333130
0xfffffff0087b9c10: f3fdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9c14: 48f48052  mov	w8, #0x7a2
0xfffffff0087b9c18: a94cfff0  adrp	x9, #0xfffffff007150000
0xfffffff0087b9c1c: 29f90591  add	x9, x9, #0x17e
0xfffffff0087b9c20: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b9c24: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9c28: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9c2c: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9c30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9c34: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9c38: 63e43791  add	x3, x3, #0xdf9
0xfffffff0087b9c3c: 02008052  mov	w2, #0
0xfffffff0087b9c40: 3ce5ed97  bl	#0xfffffff008333130
0xfffffff0087b9c44: e6fdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9c48: 3b008052  mov	w27, #1
0xfffffff0087b9c4c: 170080d2  mov	x23, #0
0xfffffff0087b9c50: 384dffb0  adrp	x24, #0xfffffff00715e000
0xfffffff0087b9c54: 18332991  add	x24, x24, #0xa4c
0xfffffff0087b9c58: 1b040034  cbz	w27, #0xfffffff0087b9cd8
0xfffffff0087b9c5c: e00313aa  mov	x0, x19
0xfffffff0087b9c60: a14cfff0  adrp	x1, #0xfffffff007150000
0xfffffff0087b9c64: 21000991  add	x1, x1, #0x240
0xfffffff0087b9c68: 62008052  mov	w2, #3
0xfffffff0087b9c6c: 95050094  bl	#0xfffffff0087bb2c0
