; Candidate 3268
; ADRP+ADD at VM 0xfffffff008727668 (fileoff 0x1723668): page=0x1fea0a000 add_imm=0xd90

0xfffffff0087275e8: 76a640b9  ldr	w22, [x19, #0xa4]
0xfffffff0087275ec: 9f961d39  strb	wzr, [x20, #0x765]
0xfffffff0087275f0: 08d08452  mov	w8, #0x2680
0xfffffff0087275f4: 0867089b  madd	x8, x24, x8, x25
0xfffffff0087275f8: 09328352  mov	w9, #0x1990
0xfffffff0087275fc: 08696938  ldrb	w8, [x8, x9]
0xfffffff008727600: 48100034  cbz	w8, #0xfffffff008727808
0xfffffff008727604: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008727608: c90a0011  add	w9, w22, #2
0xfffffff00872760c: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008727610: 15fd7ed3  lsr	x21, x8, #0x3e
0xfffffff008727614: e00313aa  mov	x0, x19
0xfffffff008727618: 41008052  mov	w1, #2
0xfffffff00872761c: 02008052  mov	w2, #0
0xfffffff008727620: 18cfff97  bl	#0xfffffff00871b280
0xfffffff008727624: 952e01b9  str	w21, [x20, #0x12c]
0xfffffff008727628: 28008052  mov	w8, #1
0xfffffff00872762c: 88961d39  strb	w8, [x20, #0x765]
0xfffffff008727630: 88964039  ldrb	w8, [x20, #0x25]
0xfffffff008727634: c80e0034  cbz	w8, #0xfffffff00872780c
0xfffffff008727638: bf0e0071  cmp	w21, #3
0xfffffff00872763c: 810e0054  b.ne	#0xfffffff00872780c
0xfffffff008727640: 48008052  mov	w8, #2
0xfffffff008727644: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008727648: 6851fff0  adrp	x8, #0xfffffff007156000
0xfffffff00872764c: 08651891  add	x8, x8, #0x619
0xfffffff008727650: 69008052  mov	w9, #3
0xfffffff008727654: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008727658: 28fc8152  mov	w8, #0xfe1
0xfffffff00872765c: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727660: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727664: e92300a9  stp	x9, x8, [sp]
0xfffffff008727668: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00872766c: 00403691  add	x0, x0, #0xd90
0xfffffff008727670: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727674: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727678: 8350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff00872767c: 633c1f91  add	x3, x3, #0x7cf
0xfffffff008727680: 02008052  mov	w2, #0
0xfffffff008727684: ab2ef097  bl	#0xfffffff008333130
0xfffffff008727688: 00008052  mov	w0, #0
0xfffffff00872768c: e5000014  b	#0xfffffff008727a20
0xfffffff008727690: 201c0034  cbz	w0, #0xfffffff008727a14
0xfffffff008727694: 15008052  mov	w21, #0
0xfffffff008727698: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff00872769c: 08210011  add	w8, w8, #8
0xfffffff0087276a0: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff0087276a4: e00313aa  mov	x0, x19
0xfffffff0087276a8: 01018052  mov	w1, #8
0xfffffff0087276ac: 02008052  mov	w2, #0
0xfffffff0087276b0: f4ceff97  bl	#0xfffffff00871b280
0xfffffff0087276b4: b5060011  add	w21, w21, #1
0xfffffff0087276b8: 886247b9  ldr	w8, [x20, #0x760]
0xfffffff0087276bc: bf02086b  cmp	w21, w8
0xfffffff0087276c0: c3feff54  b.lo	#0xfffffff008727698
0xfffffff0087276c4: d4000014  b	#0xfffffff008727a14
0xfffffff0087276c8: 885247b9  ldr	w8, [x20, #0x750]
0xfffffff0087276cc: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff0087276d0: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087276d4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087276d8: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087276dc: 00403691  add	x0, x0, #0xd90
0xfffffff0087276e0: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087276e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
