; Candidate 5110
; ADRP+ADD at VM 0xfffffff0087d97cc (fileoff 0x17d57cc): page=0x1fea10000 add_imm=0xe80

0xfffffff0087d974c: e30319aa  mov	x3, x25
0xfffffff0087d9750: 7866ed97  bl	#0xfffffff008333130
0xfffffff0087d9754: 9c070091  add	x28, x28, #1
0xfffffff0087d9758: 9f2300f1  cmp	x28, #8
0xfffffff0087d975c: 81fbff54  b.ne	#0xfffffff0087d96cc
0xfffffff0087d9760: 23000014  b	#0xfffffff0087d97ec
0xfffffff0087d9764: 200a8052  mov	w0, #0x51
0xfffffff0087d9768: 01018052  mov	w1, #8
0xfffffff0087d976c: 19880294  bl	#0xfffffff00887b7d0
0xfffffff0087d9770: e0030034  cbz	w0, #0xfffffff0087d97ec
0xfffffff0087d9774: 200a8052  mov	w0, #0x51
0xfffffff0087d9778: 28880294  bl	#0xfffffff00887b818
0xfffffff0087d977c: f70300aa  mov	x23, x0
0xfffffff0087d9780: 8b6a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9784: f60300aa  mov	x22, x0
0xfffffff0087d9788: 00018052  mov	w0, #8
0xfffffff0087d978c: 31880294  bl	#0xfffffff00887b850
0xfffffff0087d9790: 17010034  cbz	w23, #0xfffffff0087d97b0
0xfffffff0087d9794: 280a8052  mov	w8, #0x51
0xfffffff0087d9798: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d979c: f60300f9  str	x22, [sp]
0xfffffff0087d97a0: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d97a4: 004c0a91  add	x0, x0, #0x293
0xfffffff0087d97a8: 2e77d797  bl	#0xfffffff007db7460
0xfffffff0087d97ac: 10000014  b	#0xfffffff0087d97ec
0xfffffff0087d97b0: 7f6a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d97b4: f60300aa  mov	x22, x0
0xfffffff0087d97b8: 00018052  mov	w0, #8
0xfffffff0087d97bc: 25880294  bl	#0xfffffff00887b850
0xfffffff0087d97c0: 280a8052  mov	w8, #0x51
0xfffffff0087d97c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d97c8: f60300f9  str	x22, [sp]
0xfffffff0087d97cc: 8050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d97d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d97d4: 6191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d97d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d97dc: 0353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d97e0: 63043491  add	x3, x3, #0xd01
0xfffffff0087d97e4: 02008052  mov	w2, #0
0xfffffff0087d97e8: 5266ed97  bl	#0xfffffff008333130
0xfffffff0087d97ec: 200a8052  mov	w0, #0x51
0xfffffff0087d97f0: 01018052  mov	w1, #8
0xfffffff0087d97f4: f7870294  bl	#0xfffffff00887b7d0
0xfffffff0087d97f8: 94088052  mov	w20, #0x44
0xfffffff0087d97fc: d474a572  movk	w20, #0x2ba6, lsl #16
0xfffffff0087d9800: 20040034  cbz	w0, #0xfffffff0087d9884
0xfffffff0087d9804: 200a8052  mov	w0, #0x51
0xfffffff0087d9808: 04880294  bl	#0xfffffff00887b818
0xfffffff0087d980c: f70300aa  mov	x23, x0
0xfffffff0087d9810: 676a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9814: f60300aa  mov	x22, x0
0xfffffff0087d9818: 00018052  mov	w0, #8
0xfffffff0087d981c: 0d880294  bl	#0xfffffff00887b850
0xfffffff0087d9820: 37010034  cbz	w23, #0xfffffff0087d9844
0xfffffff0087d9824: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087d9828: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d982c: 280a8052  mov	w8, #0x51
0xfffffff0087d9830: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d9834: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d9838: 00ec0a91  add	x0, x0, #0x2bb
0xfffffff0087d983c: 0977d797  bl	#0xfffffff007db7460
0xfffffff0087d9840: 11000014  b	#0xfffffff0087d9884
0xfffffff0087d9844: 5a6a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9848: f60300aa  mov	x22, x0
