; Candidate 3259
; ADRP+ADD at VM 0xfffffff008726f20 (fileoff 0x1722f20): page=0x1fea0b000 add_imm=0xd90

0xfffffff008726ea0: 8851ff90  adrp	x8, #0xfffffff007156000
0xfffffff008726ea4: 08890b91  add	x8, x8, #0x2e2
0xfffffff008726ea8: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726eac: 29710b91  add	x9, x9, #0x2dc
0xfffffff008726eb0: 8a51ff90  adrp	x10, #0xfffffff007156000
0xfffffff008726eb4: 4afd0a91  add	x10, x10, #0x2bf
0xfffffff008726eb8: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff008726ebc: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008726ec0: c8c28152  mov	w8, #0xe16
0xfffffff008726ec4: 8951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008726ec8: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008726ecc: e92300a9  stp	x9, x8, [sp]
0xfffffff008726ed0: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726ed4: 00403691  add	x0, x0, #0xd90
0xfffffff008726ed8: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726edc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726ee0: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726ee4: 63243391  add	x3, x3, #0xcc9
0xfffffff008726ee8: 02008052  mov	w2, #0
0xfffffff008726eec: 9130f097  bl	#0xfffffff008333130
0xfffffff008726ef0: 00008052  mov	w0, #0
0xfffffff008726ef4: cb020014  b	#0xfffffff008727a20
0xfffffff008726ef8: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726efc: 00403691  add	x0, x0, #0xd90
0xfffffff008726f00: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726f04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726f08: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726f0c: 63343691  add	x3, x3, #0xd8d
0xfffffff008726f10: 02008052  mov	w2, #0
0xfffffff008726f14: 8730f097  bl	#0xfffffff008333130
0xfffffff008726f18: 00008052  mov	w0, #0
0xfffffff008726f1c: c1020014  b	#0xfffffff008727a20
0xfffffff008726f20: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726f24: 00403691  add	x0, x0, #0xd90
0xfffffff008726f28: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726f2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726f30: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726f34: 63083791  add	x3, x3, #0xdc2
0xfffffff008726f38: 02008052  mov	w2, #0
0xfffffff008726f3c: 7d30f097  bl	#0xfffffff008333130
0xfffffff008726f40: 00008052  mov	w0, #0
0xfffffff008726f44: b7020014  b	#0xfffffff008727a20
0xfffffff008726f48: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008726f4c: 087d4093  sxtw	x8, w8
0xfffffff008726f50: e84300f9  str	x8, [sp, #0x80]
0xfffffff008726f54: 08518b52  mov	w8, #0x5a88
0xfffffff008726f58: 4825089b  madd	x8, x10, x8, x9
0xfffffff008726f5c: 083d4eb9  ldr	w8, [x8, #0xe3c]
0xfffffff008726f60: e88b00b9  str	w8, [sp, #0x88]
0xfffffff008726f64: 08110011  add	w8, w8, #4
0xfffffff008726f68: e88f00b9  str	w8, [sp, #0x8c]
0xfffffff008726f6c: 88224039  ldrb	w8, [x20, #8]
0xfffffff008726f70: e8080034  cbz	w8, #0xfffffff00872708c
0xfffffff008726f74: 08d08452  mov	w8, #0x2680
0xfffffff008726f78: 0867089b  madd	x8, x24, x8, x25
0xfffffff008726f7c: 08d14039  ldrb	w8, [x8, #0x34]
0xfffffff008726f80: a8000035  cbnz	w8, #0xfffffff008726f94
0xfffffff008726f84: 08d08452  mov	w8, #0x2680
0xfffffff008726f88: 0867089b  madd	x8, x24, x8, x25
0xfffffff008726f8c: 08d54039  ldrb	w8, [x8, #0x35]
0xfffffff008726f90: a8170034  cbz	w8, #0xfffffff008727284
0xfffffff008726f94: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008726f98: 6816f8b7  tbnz	x8, #0x3f, #0xfffffff008727264
0xfffffff008726f9c: 08fd60d3  lsr	x8, x8, #0x20
