; Candidate 9455
; ADRP+ADD at VM 0xfffffff008a4e8d4 (fileoff 0x1a4a8d4): page=0x1fe857000 add_imm=0xce7

0xfffffff008a4e854: f4cf01a9  stp	x20, x19, [sp, #0x18]
0xfffffff008a4e858: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff008a4e85c: f70300f9  str	x23, [sp]
0xfffffff008a4e860: a042fff0  adrp	x0, #0xfffffff0072a5000
0xfffffff008a4e864: 009c3391  add	x0, x0, #0xce7
0xfffffff008a4e868: ee21e497  bl	#0xfffffff008357020
0xfffffff008a4e86c: 56ffff17  b	#0xfffffff008a4e5c4
0xfffffff008a4e870: 59588052  mov	w25, #0x2c2
0xfffffff008a4e874: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff008a4e878: 532f8052  mov	w19, #0x17a
0xfffffff008a4e87c: b542fff0  adrp	x21, #0xfffffff0072a5000
0xfffffff008a4e880: b5523291  add	x21, x21, #0xc94
0xfffffff008a4e884: b642fff0  adrp	x22, #0xfffffff0072a5000
0xfffffff008a4e888: d64e3291  add	x22, x22, #0xc93
0xfffffff008a4e88c: f5cf01a9  stp	x21, x19, [sp, #0x18]
0xfffffff008a4e890: b742fff0  adrp	x23, #0xfffffff0072a5000
0xfffffff008a4e894: f77a3d91  add	x23, x23, #0xf5e
0xfffffff008a4e898: b842fff0  adrp	x24, #0xfffffff0072a5000
0xfffffff008a4e89c: 18573191  add	x24, x24, #0xc55
0xfffffff008a4e8a0: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff008a4e8a4: f80300f9  str	x24, [sp]
0xfffffff008a4e8a8: a042ffd0  adrp	x0, #0xfffffff0072a4000
0xfffffff008a4e8ac: 00402e91  add	x0, x0, #0xb90
0xfffffff008a4e8b0: 6180ffd0  adrp	x1, #0xfffffff007a5c000
0xfffffff008a4e8b4: 215847f9  ldr	x1, [x1, #0xeb0]
0xfffffff008a4e8b8: c342ffd0  adrp	x3, #0xfffffff0072a8000
0xfffffff008a4e8bc: 63bc3991  add	x3, x3, #0xe6f
0xfffffff008a4e8c0: 02028052  mov	w2, #0x10
0xfffffff008a4e8c4: 1b92e397  bl	#0xfffffff008333130
0xfffffff008a4e8c8: f5cf01a9  stp	x21, x19, [sp, #0x18]
0xfffffff008a4e8cc: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff008a4e8d0: f80300f9  str	x24, [sp]
0xfffffff008a4e8d4: a042fff0  adrp	x0, #0xfffffff0072a5000
0xfffffff008a4e8d8: 009c3391  add	x0, x0, #0xce7
0xfffffff008a4e8dc: d121e497  bl	#0xfffffff008357020
0xfffffff008a4e8e0: 2fffff17  b	#0xfffffff008a4e59c
0xfffffff008a4e8e4: 5a3dcc97  bl	#0xfffffff007d5de4c
0xfffffff008a4e8e8: 7f2303d5  pacibsp	
0xfffffff008a4e8ec: ffc300d1  sub	sp, sp, #0x30
0xfffffff008a4e8f0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008a4e8f4: fd830091  add	x29, sp, #0x20
0xfffffff008a4e8f8: a8068052  mov	w8, #0x35
0xfffffff008a4e8fc: c942ff90  adrp	x9, #0xfffffff0072a6000
0xfffffff008a4e900: 29ad0791  add	x9, x9, #0x1eb
0xfffffff008a4e904: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008a4e908: e00300f9  str	x0, [sp]
0xfffffff008a4e90c: c042ff90  adrp	x0, #0xfffffff0072a6000
0xfffffff008a4e910: 007c0791  add	x0, x0, #0x1df
0xfffffff008a4e914: fe16e997  bl	#0xfffffff00849450c
0xfffffff008a4e918: 7f2303d5  pacibsp	
0xfffffff008a4e91c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a4e920: fd030091  mov	x29, sp
0xfffffff008a4e924: c142ff90  adrp	x1, #0xfffffff0072a6000
0xfffffff008a4e928: 218c1291  add	x1, x1, #0x4a3
0xfffffff008a4e92c: 6280ffd0  adrp	x2, #0xfffffff007a5c000
0xfffffff008a4e930: 423447f9  ldr	x2, [x2, #0xe68]
0xfffffff008a4e934: 03048052  mov	w3, #0x20
0xfffffff008a4e938: 8054e297  bl	#0xfffffff0082e3b38
0xfffffff008a4e93c: 7080fff0  adrp	x16, #0xfffffff007a5d000
0xfffffff008a4e940: 10c21691  add	x16, x16, #0x5b0
0xfffffff008a4e944: 10420091  add	x16, x16, #0x10
0xfffffff008a4e948: f10300aa  mov	x17, x0
0xfffffff008a4e94c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a4e950: 300ac1da  pacda	x16, x17
