; Candidate 9279
; ADRP+ADD at VM 0xfffffff008a20e10 (fileoff 0x1a1ce10): page=0x1fe879000 add_imm=0xe40

0xfffffff008a20d90: 301ac1da  autda	x16, x17
0xfffffff008a20d94: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008a20d98: e90310aa  mov	x9, x16
0xfffffff008a20d9c: e00314aa  mov	x0, x20
0xfffffff008a20da0: f10309aa  mov	x17, x9
0xfffffff008a20da4: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008a20da8: 11093fd7  blraa	x8, x17
0xfffffff008a20dac: 601a00f9  str	x0, [x19, #0x30]
0xfffffff008a20db0: 600400b4  cbz	x0, #0xfffffff008a20e3c
0xfffffff008a20db4: 20008052  mov	w0, #1
0xfffffff008a20db8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008a20dbc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a20dc0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008a20dc4: ff030191  add	sp, sp, #0x40
0xfffffff008a20dc8: ff0f5fd6  retab	
0xfffffff008a20dcc: e843ff90  adrp	x8, #0xfffffff00729c000
0xfffffff008a20dd0: 08c11b91  add	x8, x8, #0x6f0
0xfffffff008a20dd4: e80300f9  str	x8, [sp]
0xfffffff008a20dd8: c043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a20ddc: 00003991  add	x0, x0, #0xe40
0xfffffff008a20de0: 4181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a20de4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a20de8: e343fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a20dec: 63983291  add	x3, x3, #0xca6
0xfffffff008a20df0: 02028052  mov	w2, #0x10
0xfffffff008a20df4: cf48e497  bl	#0xfffffff008333130
0xfffffff008a20df8: e043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a20dfc: 00301c91  add	x0, x0, #0x70c
0xfffffff008a20e00: 1c000014  b	#0xfffffff008a20e70
0xfffffff008a20e04: e843ff90  adrp	x8, #0xfffffff00729c000
0xfffffff008a20e08: 08c11b91  add	x8, x8, #0x6f0
0xfffffff008a20e0c: e80300f9  str	x8, [sp]
0xfffffff008a20e10: c043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a20e14: 00003991  add	x0, x0, #0xe40
0xfffffff008a20e18: 4181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a20e1c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a20e20: e343fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a20e24: 63a83391  add	x3, x3, #0xcea
0xfffffff008a20e28: 02028052  mov	w2, #0x10
0xfffffff008a20e2c: c148e497  bl	#0xfffffff008333130
0xfffffff008a20e30: e043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a20e34: 00441d91  add	x0, x0, #0x751
0xfffffff008a20e38: 0e000014  b	#0xfffffff008a20e70
0xfffffff008a20e3c: e843ff90  adrp	x8, #0xfffffff00729c000
0xfffffff008a20e40: 08c11b91  add	x8, x8, #0x6f0
0xfffffff008a20e44: e80300f9  str	x8, [sp]
0xfffffff008a20e48: c043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a20e4c: 00003991  add	x0, x0, #0xe40
0xfffffff008a20e50: 4181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a20e54: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a20e58: e343fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a20e5c: 63883491  add	x3, x3, #0xd22
0xfffffff008a20e60: 02028052  mov	w2, #0x10
0xfffffff008a20e64: b348e497  bl	#0xfffffff008333130
0xfffffff008a20e68: e043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a20e6c: 00281e91  add	x0, x0, #0x78a
0xfffffff008a20e70: e843ff90  adrp	x8, #0xfffffff00729c000
0xfffffff008a20e74: 08c11b91  add	x8, x8, #0x6f0
0xfffffff008a20e78: e80300f9  str	x8, [sp]
0xfffffff008a20e7c: 69d8e497  bl	#0xfffffff008357020
0xfffffff008a20e80: 00008052  mov	w0, #0
0xfffffff008a20e84: cdffff17  b	#0xfffffff008a20db8
0xfffffff008a20e88: 7f2303d5  pacibsp	
0xfffffff008a20e8c: ffc300d1  sub	sp, sp, #0x30
