; Candidate 15584
; ADRP+ADD at VM 0xfffffff009c408bc (fileoff 0x2c3c8bc): page=0x1fda05000 add_imm=0xdaa

0xfffffff009c4083c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009c40840: e90310aa  mov	x9, x16
0xfffffff009c40844: f10309aa  mov	x17, x9
0xfffffff009c40848: b14af7f2  movk	x17, #0xba55, lsl #48
0xfffffff009c4084c: 11093fd7  blraa	x8, x17
0xfffffff009c40850: 200a0037  tbnz	w0, #0, #0xfffffff009c40994
0xfffffff009c40854: 1a010014  b	#0xfffffff009c40cbc
0xfffffff009c40858: 680641f9  ldr	x8, [x19, #0x208]
0xfffffff009c4085c: 082300b5  cbnz	x8, #0xfffffff009c40cbc
0xfffffff009c40860: 4d000014  b	#0xfffffff009c40994
0xfffffff009c40864: 747e05a9  stp	x20, xzr, [x19, #0x50]
0xfffffff009c40868: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009c4086c: 0803f036  tbz	w8, #0x1e, #0xfffffff009c408cc
0xfffffff009c40870: 49048052  mov	w9, #0x22
0xfffffff009c40874: 0801098a  and	x8, x8, x9
0xfffffff009c40878: a80200b4  cbz	x8, #0xfffffff009c408cc
0xfffffff009c4087c: 88358a97  bl	#0xfffffff007ecde9c
0xfffffff009c40880: 1f040071  cmp	w0, #1
0xfffffff009c40884: 41020054  b.ne	#0xfffffff009c408cc
0xfffffff009c40888: 700240f9  ldr	x16, [x19]
0xfffffff009c4088c: f10313aa  mov	x17, x19
0xfffffff009c40890: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c40894: 301ac1da  autda	x16, x17
0xfffffff009c40898: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c4089c: e90310aa  mov	x9, x16
0xfffffff009c408a0: e00313aa  mov	x0, x19
0xfffffff009c408a4: f10309aa  mov	x17, x9
0xfffffff009c408a8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c408ac: 11093fd7  blraa	x8, x17
0xfffffff009c408b0: 2a909a97  bl	#0xfffffff0082e4958
0xfffffff009c408b4: f8e700a9  stp	x24, x25, [sp, #8]
0xfffffff009c408b8: e00300f9  str	x0, [sp]
0xfffffff009c408bc: 20d0feb0  adrp	x0, #0xfffffff007645000
0xfffffff009c408c0: 00a83691  add	x0, x0, #0xdaa
0xfffffff009c408c4: d7599c97  bl	#0xfffffff008357020
0xfffffff009c408c8: 21000014  b	#0xfffffff009c4094c
0xfffffff009c408cc: 700240f9  ldr	x16, [x19]
0xfffffff009c408d0: f10313aa  mov	x17, x19
0xfffffff009c408d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c408d8: 301ac1da  autda	x16, x17
0xfffffff009c408dc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c408e0: e90310aa  mov	x9, x16
0xfffffff009c408e4: e00313aa  mov	x0, x19
0xfffffff009c408e8: f10309aa  mov	x17, x9
0xfffffff009c408ec: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c408f0: 11093fd7  blraa	x8, x17
0xfffffff009c408f4: 19909a97  bl	#0xfffffff0082e4958
0xfffffff009c408f8: f40240f9  ldr	x20, [x23]
0xfffffff009c408fc: 700240f9  ldr	x16, [x19]
0xfffffff009c40900: f10313aa  mov	x17, x19
0xfffffff009c40904: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c40908: 301ac1da  autda	x16, x17
0xfffffff009c4090c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c40910: e90310aa  mov	x9, x16
0xfffffff009c40914: e00313aa  mov	x0, x19
0xfffffff009c40918: f10309aa  mov	x17, x9
0xfffffff009c4091c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c40920: 11093fd7  blraa	x8, x17
0xfffffff009c40924: 0d909a97  bl	#0xfffffff0082e4958
0xfffffff009c40928: f8e700a9  stp	x24, x25, [sp, #8]
0xfffffff009c4092c: e00300f9  str	x0, [sp]
0xfffffff009c40930: e0cffe90  adrp	x0, #0xfffffff00763c000
0xfffffff009c40934: 00003191  add	x0, x0, #0xc40
0xfffffff009c40938: 63d0fed0  adrp	x3, #0xfffffff00764e000
