; Candidate 6732
; ADRP+ADD at VM 0xfffffff00883d5fc (fileoff 0x18395fc): page=0x1fe9ac000 add_imm=0xe80

0xfffffff00883d57c: 600a8052  mov	w0, #0x53
0xfffffff00883d580: a6f80094  bl	#0xfffffff00887b818
0xfffffff00883d584: f50300aa  mov	x21, x0
0xfffffff00883d588: 09db0194  bl	#0xfffffff0088b41ac
0xfffffff00883d58c: f40300aa  mov	x20, x0
0xfffffff00883d590: c0008052  mov	w0, #6
0xfffffff00883d594: aff80094  bl	#0xfffffff00887b850
0xfffffff00883d598: b5010034  cbz	w21, #0xfffffff00883d5cc
0xfffffff00883d59c: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d5a0: 08613f91  add	x8, x8, #0xfd8
0xfffffff00883d5a4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883d5a8: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d5ac: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883d5b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883d5b4: 680a8052  mov	w8, #0x53
0xfffffff00883d5b8: f42300a9  stp	x20, x8, [sp]
0xfffffff00883d5bc: 804efff0  adrp	x0, #0xfffffff007210000
0xfffffff00883d5c0: 008c2c91  add	x0, x0, #0xb23
0xfffffff00883d5c4: a7e7d597  bl	#0xfffffff007db7460
0xfffffff00883d5c8: 15000014  b	#0xfffffff00883d61c
0xfffffff00883d5cc: f8da0194  bl	#0xfffffff0088b41ac
0xfffffff00883d5d0: f40300aa  mov	x20, x0
0xfffffff00883d5d4: c0008052  mov	w0, #6
0xfffffff00883d5d8: 9ef80094  bl	#0xfffffff00887b850
0xfffffff00883d5dc: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d5e0: 08613f91  add	x8, x8, #0xfd8
0xfffffff00883d5e4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883d5e8: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d5ec: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883d5f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883d5f4: 680a8052  mov	w8, #0x53
0xfffffff00883d5f8: f42300a9  stp	x20, x8, [sp]
0xfffffff00883d5fc: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883d600: 00003a91  add	x0, x0, #0xe80
0xfffffff00883d604: 418efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883d608: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883d60c: 8350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff00883d610: 63501191  add	x3, x3, #0x454
0xfffffff00883d614: 02008052  mov	w2, #0
0xfffffff00883d618: c6d6eb97  bl	#0xfffffff008333130
0xfffffff00883d61c: 60620591  add	x0, x19, #0x158
0xfffffff00883d620: 54baff97  bl	#0xfffffff00882bf70
0xfffffff00883d624: f40300aa  mov	x20, x0
0xfffffff00883d628: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff00883d62c: f3d70194  bl	#0xfffffff0088b35f8
0xfffffff00883d630: 612e40f9  ldr	x1, [x19, #0x58]
0xfffffff00883d634: 810000b4  cbz	x1, #0xfffffff00883d644
0xfffffff00883d638: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00883d63c: b46a0194  bl	#0xfffffff00889810c
0xfffffff00883d640: 7f2e00f9  str	xzr, [x19, #0x58]
0xfffffff00883d644: 752a40f9  ldr	x21, [x19, #0x50]
0xfffffff00883d648: 150100b4  cbz	x21, #0xfffffff00883d668
0xfffffff00883d64c: e00315aa  mov	x0, x21
0xfffffff00883d650: 5c640194  bl	#0xfffffff0088967c0
0xfffffff00883d654: 808eff90  adrp	x0, #0xfffffff007a0d000
0xfffffff00883d658: 00601891  add	x0, x0, #0x618
0xfffffff00883d65c: e10315aa  mov	x1, x21
0xfffffff00883d660: 2b64ec97  bl	#0xfffffff00835670c
0xfffffff00883d664: 7f2a00f9  str	xzr, [x19, #0x50]
0xfffffff00883d668: 752640f9  ldr	x21, [x19, #0x48]
0xfffffff00883d66c: 150100b4  cbz	x21, #0xfffffff00883d68c
0xfffffff00883d670: e00315aa  mov	x0, x21
0xfffffff00883d674: 03b4ff97  bl	#0xfffffff00882a680
0xfffffff00883d678: 808eff90  adrp	x0, #0xfffffff007a0d000
