; Candidate 16755
; ADRP+ADD at VM 0xfffffff009f455e4 (fileoff 0x2f415e4): page=0x1fd91d000 add_imm=0xda5

0xfffffff009f45564: 082d40f9  ldr	x8, [x8, #0x58]
0xfffffff009f45568: 510f86d2  mov	x17, #0x307a
0xfffffff009f4556c: 11093fd7  blraa	x8, x17
0xfffffff009f45570: 77000034  cbz	w23, #0xfffffff009f4557c
0xfffffff009f45574: 60220391  add	x0, x19, #0xc8
0xfffffff009f45578: 719c7997  bl	#0xfffffff007dac73c
0xfffffff009f4557c: e0031aaa  mov	x0, x26
0xfffffff009f45580: b0c6ff97  bl	#0xfffffff009f37040
0xfffffff009f45584: e00315aa  mov	x0, x21
0xfffffff009f45588: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff009f4558c: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff009f45590: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff009f45594: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff009f45598: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff009f4559c: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff009f455a0: ff830591  add	sp, sp, #0x160
0xfffffff009f455a4: ff0f5fd6  retab	
0xfffffff009f455a8: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff009f455ac: 6a0e0a8b  add	x10, x19, x10, lsl #3
0xfffffff009f455b0: 4bcd40f9  ldr	x11, [x10, #0x198]
0xfffffff009f455b4: 7f0116eb  cmp	x11, x22
0xfffffff009f455b8: 62cbff54  b.hs	#0xfffffff009f44f24
0xfffffff009f455bc: 4a610691  add	x10, x10, #0x198
0xfffffff009f455c0: 560100f9  str	x22, [x10]
0xfffffff009f455c4: 8a6640f9  ldr	x10, [x20, #0xc8]
0xfffffff009f455c8: 4a8942f9  ldr	x10, [x10, #0x510]
0xfffffff009f455cc: 29c142f9  ldr	x9, [x9, #0x580]
0xfffffff009f455d0: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009f455d4: e80317aa  mov	x8, x23
0xfffffff009f455d8: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009f455dc: a8bf8252  mov	w8, #0x15fd
0xfffffff009f455e0: fc2300a9  stp	x28, x8, [sp]
0xfffffff009f455e4: e0c8feb0  adrp	x0, #0xfffffff007862000
0xfffffff009f455e8: 00943691  add	x0, x0, #0xda5
0xfffffff009f455ec: a0e8fc97  bl	#0xfffffff009e7f86c
0xfffffff009f455f0: 4dfeff17  b	#0xfffffff009f44f24
0xfffffff009f455f4: 7f2303d5  pacibsp	
0xfffffff009f455f8: ff8301d1  sub	sp, sp, #0x60
0xfffffff009f455fc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009f45600: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009f45604: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009f45608: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009f4560c: fd430191  add	x29, sp, #0x50
0xfffffff009f45610: 5f080071  cmp	w2, #2
0xfffffff009f45614: 69000054  b.ls	#0xfffffff009f45620
0xfffffff009f45618: c0028052  mov	w0, #0x16
0xfffffff009f4561c: 0c000014  b	#0xfffffff009f4564c
0xfffffff009f45620: f30305aa  mov	x19, x5
0xfffffff009f45624: f50301aa  mov	x21, x1
0xfffffff009f45628: f60300aa  mov	x22, x0
0xfffffff009f4562c: 286040f9  ldr	x8, [x1, #0xc0]
0xfffffff009f45630: 374c228b  add	x23, x1, w2, uxtw #3
0xfffffff009f45634: e0da40f9  ldr	x0, [x23, #0x1b0]
0xfffffff009f45638: a00000f9  str	x0, [x5]
0xfffffff009f4563c: 400100b4  cbz	x0, #0xfffffff009f45664
0xfffffff009f45640: 01008052  mov	w1, #0
0xfffffff009f45644: cad0ff97  bl	#0xfffffff009f3996c
0xfffffff009f45648: 00008052  mov	w0, #0
0xfffffff009f4564c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009f45650: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009f45654: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009f45658: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009f4565c: ff830191  add	sp, sp, #0x60
0xfffffff009f45660: ff0f5fd6  retab	
