; Candidate 3440
; ADRP+ADD at VM 0xfffffff00873e748 (fileoff 0x173a748): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e6c8: 006500f9  str	x0, [x8, #0xc8]
0xfffffff00873e6cc: 21008052  mov	w1, #1
0xfffffff00873e6d0: 81da0094  bl	#0xfffffff0087750d4
0xfffffff00873e6d4: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff00873e6d8: cfd90094  bl	#0xfffffff008774e14
0xfffffff00873e6dc: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00873e6e0: 681800b5  cbnz	x8, #0xfffffff00873e9ec
0xfffffff00873e6e4: 68b241b9  ldr	w8, [x19, #0x1b0]
0xfffffff00873e6e8: 1f0d0571  cmp	w8, #0x143
0xfffffff00873e6ec: 4c050054  b.gt	#0xfffffff00873e794
0xfffffff00873e6f0: 1fb10471  cmp	w8, #0x12c
0xfffffff00873e6f4: ac090054  b.gt	#0xfffffff00873e828
0xfffffff00873e6f8: 10310051  sub	w16, w8, #0xc
0xfffffff00873e6fc: 1f420071  cmp	w16, #0x10
0xfffffff00873e700: 48690054  b.hi	#0xfffffff00873f428
0xfffffff00873e704: 1f4200f1  cmp	x16, #0x10
0xfffffff00873e708: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00873e70c: 110000b0  adrp	x17, #0xfffffff00873f000
0xfffffff00873e710: 31e21691  add	x17, x17, #0x5b8
0xfffffff00873e714: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00873e718: 11000010  adr	x17, #0xfffffff00873e718
0xfffffff00873e71c: 3002108b  add	x16, x17, x16
0xfffffff00873e720: 00021fd6  br	x16
0xfffffff00873e724: 9f2403d5  bti	j
0xfffffff00873e728: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873e72c: 00a00891  add	x0, x0, #0x228
0xfffffff00873e730: 715ff097  bl	#0xfffffff0083564f4
0xfffffff00873e734: e12740f9  ldr	x1, [sp, #0x48]
0xfffffff00873e738: 02008052  mov	w2, #0
0xfffffff00873e73c: 03008052  mov	w3, #0
0xfffffff00873e740: 64000014  b	#0xfffffff00873e8d0
0xfffffff00873e744: f35300a9  stp	x19, x20, [sp]
0xfffffff00873e748: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e74c: 00403691  add	x0, x0, #0xd90
0xfffffff00873e750: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e754: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e758: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e75c: 63f81e91  add	x3, x3, #0x7be
0xfffffff00873e760: 02008052  mov	w2, #0
0xfffffff00873e764: 73d2ef97  bl	#0xfffffff008333130
0xfffffff00873e768: 04fbff17  b	#0xfffffff00873d378
0xfffffff00873e76c: fb0300f9  str	x27, [sp]
0xfffffff00873e770: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e774: 00403691  add	x0, x0, #0xd90
0xfffffff00873e778: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e77c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e780: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e784: 63002091  add	x3, x3, #0x800
0xfffffff00873e788: 02008052  mov	w2, #0
0xfffffff00873e78c: 69d2ef97  bl	#0xfffffff008333130
0xfffffff00873e790: eb010014  b	#0xfffffff00873ef3c
0xfffffff00873e794: 1f4d0671  cmp	w8, #0x193
0xfffffff00873e798: ac020054  b.gt	#0xfffffff00873e7ec
0xfffffff00873e79c: 09410651  sub	w9, w8, #0x190
0xfffffff00873e7a0: 3f0d0071  cmp	w9, #3
0xfffffff00873e7a4: 43120054  b.lo	#0xfffffff00873e9ec
0xfffffff00873e7a8: 1f110571  cmp	w8, #0x144
0xfffffff00873e7ac: c00f0054  b.eq	#0xfffffff00873e9a4
0xfffffff00873e7b0: 1f210571  cmp	w8, #0x148
0xfffffff00873e7b4: c0110054  b.eq	#0xfffffff00873e9ec
0xfffffff00873e7b8: 1c030014  b	#0xfffffff00873f428
0xfffffff00873e7bc: ffce0371  cmp	w23, #0xf3
0xfffffff00873e7c0: 60040054  b.eq	#0xfffffff00873e84c
0xfffffff00873e7c4: fffe0371  cmp	w23, #0xff
