; Candidate 5527
; ADRP+ADD at VM 0xfffffff0087f68f0 (fileoff 0x17f28f0): page=0x1fe9f3000 add_imm=0xe80

0xfffffff0087f6870: 08f51291  add	x8, x8, #0x4bd
0xfffffff0087f6874: 29808052  mov	w9, #0x401
0xfffffff0087f6878: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f687c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6880: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6884: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6888: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f688c: e80e8052  mov	w8, #0x77
0xfffffff0087f6890: 0051ff90  adrp	x0, #0xfffffff007216000
0xfffffff0087f6894: 00941191  add	x0, x0, #0x465
0xfffffff0087f6898: 06fbff17  b	#0xfffffff0087f54b0
0xfffffff0087f689c: 44f60294  bl	#0xfffffff0088b41ac
0xfffffff0087f68a0: f40300aa  mov	x20, x0
0xfffffff0087f68a4: 80008052  mov	w0, #4
0xfffffff0087f68a8: ea130294  bl	#0xfffffff00887b850
0xfffffff0087f68ac: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff0087f68b0: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f68b4: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f68b8: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f68bc: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f68c0: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f68c4: 08fd1691  add	x8, x8, #0x5bf
0xfffffff0087f68c8: 898d8052  mov	w9, #0x46c
0xfffffff0087f68cc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f68d0: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f68d4: 08213591  add	x8, x8, #0xd48
0xfffffff0087f68d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f68dc: e80e8052  mov	w8, #0x77
0xfffffff0087f68e0: 4352fff0  adrp	x3, #0xfffffff007241000
0xfffffff0087f68e4: 63780391  add	x3, x3, #0xde
0xfffffff0087f68e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f68ec: f40300f9  str	x20, [sp]
0xfffffff0087f68f0: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f68f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f68f8: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f68fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f6900: 02008052  mov	w2, #0
0xfffffff0087f6904: 0bf2ec97  bl	#0xfffffff008333130
0xfffffff0087f6908: 73fbff17  b	#0xfffffff0087f56d4
0xfffffff0087f690c: 28f60294  bl	#0xfffffff0088b41ac
0xfffffff0087f6910: f40300aa  mov	x20, x0
0xfffffff0087f6914: 80008052  mov	w0, #4
0xfffffff0087f6918: ce130294  bl	#0xfffffff00887b850
0xfffffff0087f691c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6920: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6924: e9ef04a9  stp	x9, x27, [sp, #0x48]
0xfffffff0087f6928: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f692c: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6930: 08410591  add	x8, x8, #0x150
0xfffffff0087f6934: 89708052  mov	w9, #0x384
0xfffffff0087f6938: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f693c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6940: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6944: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6948: e80e8052  mov	w8, #0x77
0xfffffff0087f694c: 4352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f6950: 63c82f91  add	x3, x3, #0xbf2
0xfffffff0087f6954: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f6958: f40300f9  str	x20, [sp]
0xfffffff0087f695c: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f6960: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f6964: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f6968: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f696c: 02008052  mov	w2, #0
