; Candidate 4422
; ADRP+ADD at VM 0xfffffff0087b0138 (fileoff 0x17ac138): page=0x1fe981000 add_imm=0xd90

0xfffffff0087b00b8: 7f320071  cmp	w19, #0xc
0xfffffff0087b00bc: 687a1e12  and	w8, w19, #0xfffffffd
0xfffffff0087b00c0: 0419487a  ccmp	w8, #8, #4, ne
0xfffffff0087b00c4: e0179f1a  cset	w0, eq
0xfffffff0087b00c8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087b00cc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087b00d0: ffc30091  add	sp, sp, #0x30
0xfffffff0087b00d4: ff0f5fd6  retab	
0xfffffff0087b00d8: 7f2303d5  pacibsp	
0xfffffff0087b00dc: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087b00e0: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0087b00e4: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0087b00e8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087b00ec: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087b00f0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087b00f4: fd830191  add	x29, sp, #0x60
0xfffffff0087b00f8: f60306aa  mov	x22, x6
0xfffffff0087b00fc: f70305aa  mov	x23, x5
0xfffffff0087b0100: f40304aa  mov	x20, x4
0xfffffff0087b0104: f50303aa  mov	x21, x3
0xfffffff0087b0108: f90302aa  mov	x25, x2
0xfffffff0087b010c: f80301aa  mov	x24, x1
0xfffffff0087b0110: f30300aa  mov	x19, x0
0xfffffff0087b0114: 000040f9  ldr	x0, [x0]
0xfffffff0087b0118: 6deed797  bl	#0xfffffff007dabacc
0xfffffff0087b011c: 1f830071  cmp	w24, #0x20
0xfffffff0087b0120: e3010054  b.lo	#0xfffffff0087b015c
0xfffffff0087b0124: 08048052  mov	w8, #0x20
0xfffffff0087b0128: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff0087b012c: 684dffb0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b0130: 08e12491  add	x8, x8, #0x938
0xfffffff0087b0134: e80300f9  str	x8, [sp]
0xfffffff0087b0138: 004cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b013c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b0140: 6192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b0144: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b0148: c34cfff0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b014c: 63c81291  add	x3, x3, #0x4b2
0xfffffff0087b0150: 02008052  mov	w2, #0
0xfffffff0087b0154: f70bee97  bl	#0xfffffff008333130
0xfffffff0087b0158: 36000014  b	#0xfffffff0087b0230
0xfffffff0087b015c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087b0160: 085978f8  ldr	x8, [x8, w24, uxtw #3]
0xfffffff0087b0164: 080500b4  cbz	x8, #0xfffffff0087b0204
0xfffffff0087b0168: 09a94529  ldp	w9, w10, [x8, #0x2c]
0xfffffff0087b016c: 29050011  add	w9, w9, #1
0xfffffff0087b0170: 4a01190b  add	w10, w10, w25
0xfffffff0087b0174: 09a90529  stp	w9, w10, [x8, #0x2c]
0xfffffff0087b0178: d6050034  cbz	w22, #0xfffffff0087b0230
0xfffffff0087b017c: 097d8052  mov	w9, #0x3e8
0xfffffff0087b0180: e97e091b  mul	w9, w23, w9
0xfffffff0087b0184: 2a09d61a  udiv	w10, w9, w22
0xfffffff0087b0188: 8b0240b9  ldr	w11, [x20]
0xfffffff0087b018c: 49a5161b  msub	w9, w10, w22, w9
0xfffffff0087b0190: ec03162a  mov	w12, w22
0xfffffff0087b0194: 9f4529eb  cmp	x12, w9, uxtw #1
0xfffffff0087b0198: 49858a9a  cinc	x9, x10, ls
0xfffffff0087b019c: 0a2140f9  ldr	x10, [x8, #0x40]
0xfffffff0087b01a0: 4a010b8b  add	x10, x10, x11
0xfffffff0087b01a4: 0a2100f9  str	x10, [x8, #0x40]
0xfffffff0087b01a8: 0a4940b9  ldr	w10, [x8, #0x48]
0xfffffff0087b01ac: 7f010a6b  cmp	w11, w10
0xfffffff0087b01b0: 6a818a1a  csel	w10, w11, w10, hi
0xfffffff0087b01b4: 0a4900b9  str	w10, [x8, #0x48]
