; Candidate 6619
; ADRP+ADD at VM 0xfffffff008836074 (fileoff 0x1832074): page=0x1fe9b3000 add_imm=0xe80

0xfffffff008835ff4: 08c50091  add	x8, x8, #0x31
0xfffffff008835ff8: 09618052  mov	w9, #0x308
0xfffffff008835ffc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008836000: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836004: 08510891  add	x8, x8, #0x214
0xfffffff008836008: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883600c: 280f8052  mov	w8, #0x79
0xfffffff008836010: f42300a9  stp	x20, x8, [sp]
0xfffffff008836014: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836018: 00003a91  add	x0, x0, #0xe80
0xfffffff00883601c: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836020: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836024: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836028: 63fc0191  add	x3, x3, #0x7f
0xfffffff00883602c: 02008052  mov	w2, #0
0xfffffff008836030: 40f4eb97  bl	#0xfffffff008333130
0xfffffff008836034: 547e8012  mov	w20, #-0x3f3
0xfffffff008836038: 18000014  b	#0xfffffff008836098
0xfffffff00883603c: 5cf80194  bl	#0xfffffff0088b41ac
0xfffffff008836040: f40300aa  mov	x20, x0
0xfffffff008836044: 80008052  mov	w0, #4
0xfffffff008836048: 02160194  bl	#0xfffffff00887b850
0xfffffff00883604c: 684fff90  adrp	x8, #0xfffffff007222000
0xfffffff008836050: 08313d91  add	x8, x8, #0xf4c
0xfffffff008836054: 89608052  mov	w9, #0x304
0xfffffff008836058: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00883605c: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836060: 08510891  add	x8, x8, #0x214
0xfffffff008836064: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008836068: 280f8052  mov	w8, #0x79
0xfffffff00883606c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008836070: f40300f9  str	x20, [sp]
0xfffffff008836074: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836078: 00003a91  add	x0, x0, #0xe80
0xfffffff00883607c: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836080: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836084: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836088: 63400191  add	x3, x3, #0x50
0xfffffff00883608c: 02008052  mov	w2, #0
0xfffffff008836090: 28f4eb97  bl	#0xfffffff008333130
0xfffffff008836094: 147d8012  mov	w20, #-0x3e9
0xfffffff008836098: 200f8052  mov	w0, #0x79
0xfffffff00883609c: c1008052  mov	w1, #6
0xfffffff0088360a0: cc150194  bl	#0xfffffff00887b7d0
0xfffffff0088360a4: c0040034  cbz	w0, #0xfffffff00883613c
0xfffffff0088360a8: 200f8052  mov	w0, #0x79
0xfffffff0088360ac: db150194  bl	#0xfffffff00887b818
0xfffffff0088360b0: f60300aa  mov	x22, x0
0xfffffff0088360b4: 3ef80194  bl	#0xfffffff0088b41ac
0xfffffff0088360b8: f50300aa  mov	x21, x0
0xfffffff0088360bc: c0008052  mov	w0, #6
0xfffffff0088360c0: e4150194  bl	#0xfffffff00887b850
0xfffffff0088360c4: 76010034  cbz	w22, #0xfffffff0088360f0
0xfffffff0088360c8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088360cc: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088360d0: 08510891  add	x8, x8, #0x214
0xfffffff0088360d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088360d8: 280f8052  mov	w8, #0x79
0xfffffff0088360dc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088360e0: e04efff0  adrp	x0, #0xfffffff007215000
0xfffffff0088360e4: 00a81591  add	x0, x0, #0x56a
0xfffffff0088360e8: de04d697  bl	#0xfffffff007db7460
0xfffffff0088360ec: 14000014  b	#0xfffffff00883613c
0xfffffff0088360f0: 2ff80194  bl	#0xfffffff0088b41ac
