; Candidate 12298
; ADRP+ADD at VM 0xfffffff00908598c (fileoff 0x208198c): page=0x1fe3d4000 add_imm=0xe24

0xfffffff00908590c: a8024039  ldrb	w8, [x21]
0xfffffff009085910: 1fa10071  cmp	w8, #0x28
0xfffffff009085914: 48010054  b.hi	#0xfffffff00908593c
0xfffffff009085918: a81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff00908591c: 087d3491  add	x8, x8, #0xd1f
0xfffffff009085920: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009085924: 292d3f91  add	x9, x9, #0xfcb
0xfffffff009085928: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff00908592c: e90300f9  str	x9, [sp]
0xfffffff009085930: a01effb0  adrp	x0, #0xfffffff00745a000
0xfffffff009085934: 00d43491  add	x0, x0, #0xd35
0xfffffff009085938: ba45cb97  bl	#0xfffffff008357020
0xfffffff00908593c: e00314aa  mov	x0, x20
0xfffffff009085940: c1008052  mov	w1, #6
0xfffffff009085944: f7fdff97  bl	#0xfffffff009085120
0xfffffff009085948: f30300aa  mov	x19, x0
0xfffffff00908594c: 20030035  cbnz	w0, #0xfffffff0090859b0
0xfffffff009085950: 88ee5339  ldrb	w8, [x20, #0x4fb]
0xfffffff009085954: 08191f12  and	w8, w8, #0xfe
0xfffffff009085958: 88ee1339  strb	w8, [x20, #0x4fb]
0xfffffff00908595c: 48018052  mov	w8, #0xa
0xfffffff009085960: a9024039  ldrb	w9, [x21]
0xfffffff009085964: 1f01096b  cmp	w8, w9
0xfffffff009085968: 83010054  b.lo	#0xfffffff009085998
0xfffffff00908596c: e80313aa  mov	x8, x19
0xfffffff009085970: 087d4093  sxtw	x8, w8
0xfffffff009085974: a91effb0  adrp	x9, #0xfffffff00745a000
0xfffffff009085978: 297d3491  add	x9, x9, #0xd1f
0xfffffff00908597c: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff009085980: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009085984: ea2700a9  stp	x10, x9, [sp]
0xfffffff009085988: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908598c: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085990: 00903891  add	x0, x0, #0xe24
0xfffffff009085994: a345cb97  bl	#0xfffffff008357020
0xfffffff009085998: e00313aa  mov	x0, x19
0xfffffff00908599c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090859a0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090859a4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090859a8: ff830191  add	sp, sp, #0x60
0xfffffff0090859ac: ff0f5fd6  retab	
0xfffffff0090859b0: 687e4093  sxtw	x8, w19
0xfffffff0090859b4: c9a88052  mov	w9, #0x546
0xfffffff0090859b8: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff0090859bc: 4a493f91  add	x10, x10, #0xfd2
0xfffffff0090859c0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090859c4: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff0090859c8: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0090859cc: ab1effb0  adrp	x11, #0xfffffff00745a000
0xfffffff0090859d0: 6b290291  add	x11, x11, #0x8a
0xfffffff0090859d4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090859d8: eb0300f9  str	x11, [sp]
0xfffffff0090859dc: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff0090859e0: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090859e4: 8f45cb97  bl	#0xfffffff008357020
0xfffffff0090859e8: c8088052  mov	w8, #0x46
0xfffffff0090859ec: ddffff17  b	#0xfffffff009085960
0xfffffff0090859f0: 7f2303d5  pacibsp	
0xfffffff0090859f4: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090859f8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0090859fc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009085a00: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009085a04: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009085a08: fd830191  add	x29, sp, #0x60
