; Candidate 16262
; ADRP+ADD at VM 0xfffffff009e393c0 (fileoff 0x2e353c0): page=0x1fd9ec000 add_imm=0xed2

0xfffffff009e39340: 00883a91  add	x0, x0, #0xea2
0xfffffff009e39344: 60190194  bl	#0xfffffff009e7f8c4
0xfffffff009e39348: d6028052  mov	w22, #0x16
0xfffffff009e3934c: 21000014  b	#0xfffffff009e393d0
0xfffffff009e39350: a1124079  ldrh	w1, [x21, #8]
0xfffffff009e39354: a02a0091  add	x0, x21, #0xa
0xfffffff009e39358: e2e30091  add	x2, sp, #0x38
0xfffffff009e3935c: 91f9ff97  bl	#0xfffffff009e379a0
0xfffffff009e39360: 760000b4  cbz	x22, #0xfffffff009e3936c
0xfffffff009e39364: e83b40b9  ldr	w8, [sp, #0x38]
0xfffffff009e39368: c80200b9  str	w8, [x22]
0xfffffff009e3936c: 5b0000b4  cbz	x27, #0xfffffff009e39374
0xfffffff009e39370: 600300f9  str	x0, [x27]
0xfffffff009e39374: 5a0000b4  cbz	x26, #0xfffffff009e3937c
0xfffffff009e39378: 5f0300f9  str	xzr, [x26]
0xfffffff009e3937c: b90000b4  cbz	x25, #0xfffffff009e39390
0xfffffff009e39380: 16008052  mov	w22, #0
0xfffffff009e39384: 3f0300f9  str	xzr, [x25]
0xfffffff009e39388: 940000b5  cbnz	x20, #0xfffffff009e39398
0xfffffff009e3938c: 11000014  b	#0xfffffff009e393d0
0xfffffff009e39390: 16008052  mov	w22, #0
0xfffffff009e39394: f40100b4  cbz	x20, #0xfffffff009e393d0
0xfffffff009e39398: d8010034  cbz	w24, #0xfffffff009e393d0
0xfffffff009e3939c: 880240f9  ldr	x8, [x20]
0xfffffff009e393a0: 880100b5  cbnz	x8, #0xfffffff009e393d0
0xfffffff009e393a4: 083e8452  mov	w8, #0x21f0
0xfffffff009e393a8: 6802088b  add	x8, x19, x8
0xfffffff009e393ac: 49d58052  mov	w9, #0x6aa
0xfffffff009e393b0: 6acffe90  adrp	x10, #0xfffffff007825000
0xfffffff009e393b4: 4ac13891  add	x10, x10, #0xe30
0xfffffff009e393b8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e393bc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e393c0: 60cffe90  adrp	x0, #0xfffffff007825000
0xfffffff009e393c4: 00483b91  add	x0, x0, #0xed2
0xfffffff009e393c8: 34190194  bl	#0xfffffff009e7f898
0xfffffff009e393cc: 56008052  mov	w22, #2
0xfffffff009e393d0: e00316aa  mov	x0, x22
0xfffffff009e393d4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e393d8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009e393dc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009e393e0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009e393e4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009e393e8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009e393ec: ff830291  add	sp, sp, #0xa0
0xfffffff009e393f0: ff0f5fd6  retab	
0xfffffff009e393f4: 40600091  add	x0, x2, #0x18
0xfffffff009e393f8: e16200d1  sub	x1, x23, #0x18
0xfffffff009e393fc: e3e30091  add	x3, sp, #0x38
0xfffffff009e39400: e4d30091  add	x4, sp, #0x34
0xfffffff009e39404: 42008052  mov	w2, #2
0xfffffff009e39408: f5820494  bl	#0xfffffff009f59fdc
0xfffffff009e3940c: f60300aa  mov	x22, x0
0xfffffff009e39410: e0000035  cbnz	w0, #0xfffffff009e3942c
0xfffffff009e39414: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff009e39418: 1f210071  cmp	w8, #8
0xfffffff009e3941c: 81000054  b.ne	#0xfffffff009e3942c
0xfffffff009e39420: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009e39424: 080140f9  ldr	x8, [x8]
0xfffffff009e39428: 0e000014  b	#0xfffffff009e39460
0xfffffff009e3942c: 083e8452  mov	w8, #0x21f0
0xfffffff009e39430: 6802088b  add	x8, x19, x8
0xfffffff009e39434: a94241f8  ldur	x9, [x21, #0x14]
0xfffffff009e39438: e95b02a9  stp	x9, x22, [sp, #0x20]
0xfffffff009e3943c: e85f01a9  stp	x8, x23, [sp, #0x10]
