; Candidate 14026
; ADRP+ADD at VM 0xfffffff0096a212c (fileoff 0x269e12c): page=0xce8000 add_imm=0xdc8

0xfffffff0096a20ac: fd830091  add	x29, sp, #0x20
0xfffffff0096a20b0: 53670090  adrp	x19, #0xfffffff00a38a000
0xfffffff0096a20b4: 73e23591  add	x19, x19, #0xd78
0xfffffff0096a20b8: 41f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff0096a20bc: 21bc3a91  add	x1, x1, #0xeaf
0xfffffff0096a20c0: a22bff90  adrp	x2, #0xfffffff007c16000
0xfffffff0096a20c4: 427842f9  ldr	x2, [x2, #0x4f0]
0xfffffff0096a20c8: e00313aa  mov	x0, x19
0xfffffff0096a20cc: 03058052  mov	w3, #0x28
0xfffffff0096a20d0: 9a06b197  bl	#0xfffffff0082e3b38
0xfffffff0096a20d4: b02bffb0  adrp	x16, #0xfffffff007c17000
0xfffffff0096a20d8: 10023791  add	x16, x16, #0xdc0
0xfffffff0096a20dc: 10420091  add	x16, x16, #0x10
0xfffffff0096a20e0: f10313aa  mov	x17, x19
0xfffffff0096a20e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a20e8: 300ac1da  pacda	x16, x17
0xfffffff0096a20ec: 700200f9  str	x16, [x19]
0xfffffff0096a20f0: 54670090  adrp	x20, #0xfffffff00a38a000
0xfffffff0096a20f4: 94823691  add	x20, x20, #0xda0
0xfffffff0096a20f8: 41f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff0096a20fc: 21283c91  add	x1, x1, #0xf0a
0xfffffff0096a2100: e00314aa  mov	x0, x20
0xfffffff0096a2104: e20313aa  mov	x2, x19
0xfffffff0096a2108: 03068052  mov	w3, #0x30
0xfffffff0096a210c: 8b06b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2110: b02bffb0  adrp	x16, #0xfffffff007c17000
0xfffffff0096a2114: 10a23c91  add	x16, x16, #0xf28
0xfffffff0096a2118: 10420091  add	x16, x16, #0x10
0xfffffff0096a211c: f10314aa  mov	x17, x20
0xfffffff0096a2120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a2124: 300ac1da  pacda	x16, x17
0xfffffff0096a2128: 900200f9  str	x16, [x20]
0xfffffff0096a212c: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2130: 00203791  add	x0, x0, #0xdc8
0xfffffff0096a2134: 41f7fed0  adrp	x1, #0xfffffff00758c000
0xfffffff0096a2138: 21cc3e91  add	x1, x1, #0xfb3
0xfffffff0096a213c: e20314aa  mov	x2, x20
0xfffffff0096a2140: 03068052  mov	w3, #0x30
0xfffffff0096a2144: 7d06b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2148: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a214c: 10420291  add	x16, x16, #0x90
0xfffffff0096a2150: 10420091  add	x16, x16, #0x10
0xfffffff0096a2154: f10300aa  mov	x17, x0
0xfffffff0096a2158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a215c: 300ac1da  pacda	x16, x17
0xfffffff0096a2160: 100000f9  str	x16, [x0]
0xfffffff0096a2164: 40f7fed0  adrp	x0, #0xfffffff00758c000
0xfffffff0096a2168: 00f03f91  add	x0, x0, #0xffc
0xfffffff0096a216c: 331cb297  bl	#0xfffffff008329238
0xfffffff0096a2170: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2174: 00f906f9  str	x0, [x8, #0xdf0]
0xfffffff0096a2178: 95ff9792  mov	x21, #-0xbffd
0xfffffff0096a217c: 1500bcf2  movk	x21, #0xe000, lsl #16
0xfffffff0096a2180: a00e00d1  sub	x0, x21, #3
0xfffffff0096a2184: 01088052  mov	w1, #0x40
0xfffffff0096a2188: 59f4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a218c: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2190: 00fd06f9  str	x0, [x8, #0xdf8]
0xfffffff0096a2194: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2198: 00003891  add	x0, x0, #0xe00
0xfffffff0096a219c: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a21a0: 21140091  add	x1, x1, #5
0xfffffff0096a21a4: e20314aa  mov	x2, x20
0xfffffff0096a21a8: 03068052  mov	w3, #0x30
