; Candidate 5266
; ADRP+ADD at VM 0xfffffff0087e38d4 (fileoff 0x17df8d4): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3854: f60300aa  mov	x22, x0
0xfffffff0087e3858: 55420394  bl	#0xfffffff0088b41ac
0xfffffff0087e385c: f50300aa  mov	x21, x0
0xfffffff0087e3860: 80008052  mov	w0, #4
0xfffffff0087e3864: fb5f0294  bl	#0xfffffff00887b850
0xfffffff0087e3868: 960a0034  cbz	w22, #0xfffffff0087e39b8
0xfffffff0087e386c: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087e3870: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087e3874: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3878: 08751191  add	x8, x8, #0x45d
0xfffffff0087e387c: 29748052  mov	w9, #0x3a1
0xfffffff0087e3880: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e3884: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3888: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e388c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3890: 680e8052  mov	w8, #0x73
0xfffffff0087e3894: 8051ff90  adrp	x0, #0xfffffff007213000
0xfffffff0087e3898: 00ac1091  add	x0, x0, #0x42b
0xfffffff0087e389c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e38a0: f04ed797  bl	#0xfffffff007db7460
0xfffffff0087e38a4: 5c000014  b	#0xfffffff0087e3a14
0xfffffff0087e38a8: 41420394  bl	#0xfffffff0088b41ac
0xfffffff0087e38ac: f50300aa  mov	x21, x0
0xfffffff0087e38b0: e0008052  mov	w0, #7
0xfffffff0087e38b4: e75f0294  bl	#0xfffffff00887b850
0xfffffff0087e38b8: e9728052  mov	w9, #0x397
0xfffffff0087e38bc: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e38c0: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e38c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e38c8: 680e8052  mov	w8, #0x73
0xfffffff0087e38cc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e38d0: f50300f9  str	x21, [sp]
0xfffffff0087e38d4: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e38d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e38dc: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e38e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e38e4: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e38e8: 63382c91  add	x3, x3, #0xb0e
0xfffffff0087e38ec: 02008052  mov	w2, #0
0xfffffff0087e38f0: 103eed97  bl	#0xfffffff008333130
0xfffffff0087e38f4: 17008052  mov	w23, #0
0xfffffff0087e38f8: 4a000014  b	#0xfffffff0087e3a20
0xfffffff0087e38fc: 2c420394  bl	#0xfffffff0088b41ac
0xfffffff0087e3900: f50300aa  mov	x21, x0
0xfffffff0087e3904: 80008052  mov	w0, #4
0xfffffff0087e3908: d25f0294  bl	#0xfffffff00887b850
0xfffffff0087e390c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3910: 08011091  add	x8, x8, #0x400
0xfffffff0087e3914: c9738052  mov	w9, #0x39e
0xfffffff0087e3918: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e391c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3920: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3924: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e3928: 680e8052  mov	w8, #0x73
0xfffffff0087e392c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e3930: f50300f9  str	x21, [sp]
0xfffffff0087e3934: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3938: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e393c: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3944: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3948: 63c82c91  add	x3, x3, #0xb32
0xfffffff0087e394c: 02008052  mov	w2, #0
0xfffffff0087e3950: f83ded97  bl	#0xfffffff008333130
