; Candidate 15582
; ADRP+ADD at VM 0xfffffff009c40148 (fileoff 0x2c3c148): page=0x1fda05000 add_imm=0xd62

0xfffffff009c400c8: f10300aa  mov	x17, x0
0xfffffff009c400cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c400d0: 301ac1da  autda	x16, x17
0xfffffff009c400d4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009c400d8: e90310aa  mov	x9, x16
0xfffffff009c400dc: f10309aa  mov	x17, x9
0xfffffff009c400e0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009c400e4: 11093fd7  blraa	x8, x17
0xfffffff009c400e8: fc210034  cbz	w28, #0xfffffff009c40524
0xfffffff009c400ec: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009c400f0: df02286a  bics	wzr, w22, w8
0xfffffff009c400f4: 811c0054  b.ne	#0xfffffff009c40484
0xfffffff009c400f8: 69378a97  bl	#0xfffffff007ecde9c
0xfffffff009c400fc: 1f040071  cmp	w0, #1
0xfffffff009c40100: 211c0054  b.ne	#0xfffffff009c40484
0xfffffff009c40104: 700240f9  ldr	x16, [x19]
0xfffffff009c40108: f10313aa  mov	x17, x19
0xfffffff009c4010c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c40110: 301ac1da  autda	x16, x17
0xfffffff009c40114: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c40118: e90310aa  mov	x9, x16
0xfffffff009c4011c: e00313aa  mov	x0, x19
0xfffffff009c40120: f10309aa  mov	x17, x9
0xfffffff009c40124: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c40128: 11093fd7  blraa	x8, x17
0xfffffff009c4012c: 0b929a97  bl	#0xfffffff0082e4958
0xfffffff009c40130: 28d0feb0  adrp	x8, #0xfffffff007645000
0xfffffff009c40134: 08713091  add	x8, x8, #0xc1c
0xfffffff009c40138: 29d0feb0  adrp	x9, #0xfffffff007645000
0xfffffff009c4013c: 29cd2c91  add	x9, x9, #0xb33
0xfffffff009c40140: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009c40144: e00300f9  str	x0, [sp]
0xfffffff009c40148: 20d0feb0  adrp	x0, #0xfffffff007645000
0xfffffff009c4014c: 00883591  add	x0, x0, #0xd62
0xfffffff009c40150: b45b9c97  bl	#0xfffffff008357020
0xfffffff009c40154: f2000014  b	#0xfffffff009c4051c
0xfffffff009c40158: 700240f9  ldr	x16, [x19]
0xfffffff009c4015c: f10313aa  mov	x17, x19
0xfffffff009c40160: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c40164: 301ac1da  autda	x16, x17
0xfffffff009c40168: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c4016c: e90310aa  mov	x9, x16
0xfffffff009c40170: e00313aa  mov	x0, x19
0xfffffff009c40174: f10309aa  mov	x17, x9
0xfffffff009c40178: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c4017c: 11093fd7  blraa	x8, x17
0xfffffff009c40180: f6919a97  bl	#0xfffffff0082e4958
0xfffffff009c40184: 0805ff90  adrp	x8, #0xfffffff007ce0000
0xfffffff009c40188: 085146f9  ldr	x8, [x8, #0xca0]
0xfffffff009c4018c: 150140f9  ldr	x21, [x8]
0xfffffff009c40190: 700240f9  ldr	x16, [x19]
0xfffffff009c40194: f10313aa  mov	x17, x19
0xfffffff009c40198: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c4019c: 301ac1da  autda	x16, x17
0xfffffff009c401a0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c401a4: e90310aa  mov	x9, x16
0xfffffff009c401a8: e00313aa  mov	x0, x19
0xfffffff009c401ac: f10309aa  mov	x17, x9
0xfffffff009c401b0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c401b4: 11093fd7  blraa	x8, x17
0xfffffff009c401b8: e8919a97  bl	#0xfffffff0082e4958
0xfffffff009c401bc: 28d0feb0  adrp	x8, #0xfffffff007645000
0xfffffff009c401c0: 09713091  add	x9, x8, #0xc1c
0xfffffff009c401c4: 28d0feb0  adrp	x8, #0xfffffff007645000
