; Candidate 8241
; ADRP+ADD at VM 0xfffffff00889e4ec (fileoff 0x189a4ec): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889e46c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00889e470: 894cffd0  adrp	x9, #0xfffffff007230000
0xfffffff00889e474: 2a993a91  add	x10, x9, #0xea6
0xfffffff00889e478: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889e47c: 28638052  mov	w8, #0x319
0xfffffff00889e480: 894cffd0  adrp	x9, #0xfffffff007230000
0xfffffff00889e484: 29553991  add	x9, x9, #0xe55
0xfffffff00889e488: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889e48c: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e490: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e498: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889e49c: a80f8052  mov	w8, #0x7d
0xfffffff00889e4a0: 804cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889e4a4: 009c3991  add	x0, x0, #0xe67
0xfffffff00889e4a8: f62300a9  stp	x22, x8, [sp]
0xfffffff00889e4ac: ed63d497  bl	#0xfffffff007db7460
0xfffffff00889e4b0: 9e000014  b	#0xfffffff00889e728
0xfffffff00889e4b4: 3e570094  bl	#0xfffffff0088b41ac
0xfffffff00889e4b8: f60300aa  mov	x22, x0
0xfffffff00889e4bc: e0008052  mov	w0, #7
0xfffffff00889e4c0: e474ff97  bl	#0xfffffff00887b850
0xfffffff00889e4c4: 680240b9  ldr	w8, [x19]
0xfffffff00889e4c8: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889e4cc: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e4d0: 08553991  add	x8, x8, #0xe55
0xfffffff00889e4d4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889e4d8: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e4dc: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e4e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889e4e4: a80f8052  mov	w8, #0x7d
0xfffffff00889e4e8: f62300a9  stp	x22, x8, [sp]
0xfffffff00889e4ec: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889e4f0: 00003a91  add	x0, x0, #0xe80
0xfffffff00889e4f4: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889e4f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889e4fc: 034effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889e500: 63883891  add	x3, x3, #0xe22
0xfffffff00889e504: 02008052  mov	w2, #0
0xfffffff00889e508: 0a53ea97  bl	#0xfffffff008333130
0xfffffff00889e50c: 74f9ffb7  tbnz	x20, #0x3f, #0xfffffff00889e438
0xfffffff00889e510: bf0e0071  cmp	w21, #3
0xfffffff00889e514: 28f9ff54  b.hi	#0xfffffff00889e438
0xfffffff00889e518: bf0a0071  cmp	w21, #2
0xfffffff00889e51c: e0f8ff54  b.eq	#0xfffffff00889e438
0xfffffff00889e520: bf020071  cmp	w21, #0
0xfffffff00889e524: a41a437a  ccmp	w21, #3, #4, ne
0xfffffff00889e528: 9706949a  cinc	x23, x20, ne
0xfffffff00889e52c: 08b78752  mov	w8, #0x3db8
0xfffffff00889e530: 7502088b  add	x21, x19, x8
0xfffffff00889e534: e00315aa  mov	x0, x21
0xfffffff00889e538: bc46fe97  bl	#0xfffffff008830028
0xfffffff00889e53c: f60300aa  mov	x22, x0
0xfffffff00889e540: e00315aa  mov	x0, x21
0xfffffff00889e544: ce46fe97  bl	#0xfffffff00883007c
0xfffffff00889e548: df0200eb  cmp	x22, x0
0xfffffff00889e54c: 400b0054  b.eq	#0xfffffff00889e6b4
0xfffffff00889e550: b4831af8  stur	x20, [x29, #-0x58]
0xfffffff00889e554: 9a4cffd0  adrp	x26, #0xfffffff007230000
0xfffffff00889e558: 5a573991  add	x26, x26, #0xe55
0xfffffff00889e55c: 944cfff0  adrp	x20, #0xfffffff007231000
0xfffffff00889e560: 94ea3191  add	x20, x20, #0xc7a
0xfffffff00889e564: 080080d2  mov	x8, #0
0xfffffff00889e568: d8b241b9  ldr	w24, [x22, #0x1b0]
