; Candidate 540
; ADRP+ADD at VM 0xfffffff007f78bb0 (fileoff 0xf74bb0): page=0x1ffa04000 add_imm=0xd70

0xfffffff007f78b30: f2cbf897  bl	#0xfffffff007dabaf8
0xfffffff007f78b34: 2bffff17  b	#0xfffffff007f787e0
0xfffffff007f78b38: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78b3c: 00ec2f91  add	x0, x0, #0xbfb
0xfffffff007f78b40: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78b44: 21300991  add	x1, x1, #0x24c
0xfffffff007f78b48: 026e8152  mov	w2, #0xb70
0xfffffff007f78b4c: 329b1494  bl	#0xfffffff00849f814
0xfffffff007f78b50: e00317aa  mov	x0, x23
0xfffffff007f78b54: e10316aa  mov	x1, x22
0xfffffff007f78b58: 03cff897  bl	#0xfffffff007dac764
0xfffffff007f78b5c: 2effff17  b	#0xfffffff007f78814
0xfffffff007f78b60: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78b64: 003c3691  add	x0, x0, #0xd8f
0xfffffff007f78b68: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78b6c: 21300991  add	x1, x1, #0x24c
0xfffffff007f78b70: e2508352  mov	w2, #0x1a87
0xfffffff007f78b74: 289b1494  bl	#0xfffffff00849f814
0xfffffff007f78b78: b594f797  bl	#0xfffffff007d5de4c
0xfffffff007f78b7c: 5f2403d5  bti	c
0xfffffff007f78b80: 8cd3f817  b	#0xfffffff007dad9b0
0xfffffff007f78b84: 5f2403d5  bti	c
0xfffffff007f78b88: a8d6f817  b	#0xfffffff007dae628
0xfffffff007f78b8c: 7f2303d5  pacibsp	
0xfffffff007f78b90: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007f78b94: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f78b98: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f78b9c: fd830091  add	x29, sp, #0x20
0xfffffff007f78ba0: 08244339  ldrb	w8, [x0, #0xc9]
0xfffffff007f78ba4: e8041037  tbnz	w8, #2, #0xfffffff007f78c40
0xfffffff007f78ba8: f30301aa  mov	x19, x1
0xfffffff007f78bac: f50300aa  mov	x21, x0
0xfffffff007f78bb0: 20d0ff90  adrp	x0, #0xfffffff00797c000
0xfffffff007f78bb4: 00c03591  add	x0, x0, #0xd70
0xfffffff007f78bb8: 81008052  mov	w1, #4
0xfffffff007f78bbc: c6b8f897  bl	#0xfffffff007da6ed4
0xfffffff007f78bc0: e00400b4  cbz	x0, #0xfffffff007f78c5c
0xfffffff007f78bc4: f40300aa  mov	x20, x0
0xfffffff007f78bc8: a8724179  ldrh	w8, [x21, #0xb8]
0xfffffff007f78bcc: 090040f9  ldr	x9, [x0]
0xfffffff007f78bd0: 29016fb2  orr	x9, x9, #0x20000
0xfffffff007f78bd4: 090000f9  str	x9, [x0]
0xfffffff007f78bd8: 083000f9  str	x8, [x0, #0x60]
0xfffffff007f78bdc: 76420091  add	x22, x19, #0x10
0xfffffff007f78be0: 40008052  mov	w0, #2
0xfffffff007f78be4: e10315aa  mov	x1, x21
0xfffffff007f78be8: e20313aa  mov	x2, x19
0xfffffff007f78bec: e30316aa  mov	x3, x22
0xfffffff007f78bf0: e40314aa  mov	x4, x20
0xfffffff007f78bf4: ddfbff97  bl	#0xfffffff007f77b68
0xfffffff007f78bf8: c0010035  cbnz	w0, #0xfffffff007f78c30
0xfffffff007f78bfc: 65820091  add	x5, x19, #0x20
0xfffffff007f78c00: e01101b0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007f78c04: 00000e91  add	x0, x0, #0x380
0xfffffff007f78c08: e10316aa  mov	x1, x22
0xfffffff007f78c0c: e20315aa  mov	x2, x21
0xfffffff007f78c10: 030080d2  mov	x3, #0
0xfffffff007f78c14: 04008052  mov	w4, #0
0xfffffff007f78c18: 21780c94  bl	#0xfffffff008296c9c
0xfffffff007f78c1c: c0010034  cbz	w0, #0xfffffff007f78c54
0xfffffff007f78c20: e00313aa  mov	x0, x19
0xfffffff007f78c24: e10316aa  mov	x1, x22
0xfffffff007f78c28: 020080d2  mov	x2, #0
0xfffffff007f78c2c: 2dfcff97  bl	#0xfffffff007f77ce0
