; Candidate 2531
; ADRP+ADD at VM 0xfffffff0086abc3c (fileoff 0x16a7c3c): page=0x1ff34f000 add_imm=0xd50

0xfffffff0086abbbc: 10c21f91  add	x16, x16, #0x7f0
0xfffffff0086abbc0: 10420091  add	x16, x16, #0x10
0xfffffff0086abbc4: f10300aa  mov	x17, x0
0xfffffff0086abbc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086abbcc: 300ac1da  pacda	x16, x17
0xfffffff0086abbd0: 100000f9  str	x16, [x0]
0xfffffff0086abbd4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086abbd8: ff0f5fd6  retab	
0xfffffff0086abbdc: 5f2403d5  bti	c
0xfffffff0086abbe0: d860f317  b	#0xfffffff008383f40
0xfffffff0086abbe4: 5f2403d5  bti	c
0xfffffff0086abbe8: d660f317  b	#0xfffffff008383f40
0xfffffff0086abbec: 7f2303d5  pacibsp	
0xfffffff0086abbf0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086abbf4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086abbf8: fd430091  add	x29, sp, #0x10
0xfffffff0086abbfc: f30300aa  mov	x19, x0
0xfffffff0086abc00: d060f397  bl	#0xfffffff008383f40
0xfffffff0086abc04: 609afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086abc08: 00403591  add	x0, x0, #0xd50
0xfffffff0086abc0c: e10313aa  mov	x1, x19
0xfffffff0086abc10: 021c8052  mov	w2, #0xe0
0xfffffff0086abc14: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086abc18: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086abc1c: ff2303d5  autibsp	
0xfffffff0086abc20: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086abc24: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086abc2c
0xfffffff0086abc28: 208e38d4  brk	#0xc471
0xfffffff0086abc2c: 9ceef017  b	#0xfffffff0082e769c
0xfffffff0086abc30: 5f2403d5  bti	c
0xfffffff0086abc34: e20301aa  mov	x2, x1
0xfffffff0086abc38: e10300aa  mov	x1, x0
0xfffffff0086abc3c: 609afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086abc40: 00403591  add	x0, x0, #0xd50
0xfffffff0086abc44: 96eef017  b	#0xfffffff0082e769c
0xfffffff0086abc48: 5f2403d5  bti	c
0xfffffff0086abc4c: 60e100d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086abc50: 00e03b91  add	x0, x0, #0xef8
0xfffffff0086abc54: c0035fd6  ret	
0xfffffff0086abc58: 7f2303d5  pacibsp	
0xfffffff0086abc5c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086abc60: fd030091  mov	x29, sp
0xfffffff0086abc64: e153fff0  adrp	x1, #0xfffffff00712a000
0xfffffff0086abc68: 218c3c91  add	x1, x1, #0xf23
0xfffffff0086abc6c: c299ff90  adrp	x2, #0xfffffff0079e3000
0xfffffff0086abc70: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086abc74: 031c8052  mov	w3, #0xe0
0xfffffff0086abc78: b0dff097  bl	#0xfffffff0082e3b38
0xfffffff0086abc7c: 309affb0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086abc80: 10223691  add	x16, x16, #0xd88
0xfffffff0086abc84: 10420091  add	x16, x16, #0x10
0xfffffff0086abc88: f10300aa  mov	x17, x0
0xfffffff0086abc8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086abc90: 300ac1da  pacda	x16, x17
0xfffffff0086abc94: 100000f9  str	x16, [x0]
0xfffffff0086abc98: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086abc9c: ff0f5fd6  retab	
0xfffffff0086abca0: 7f2303d5  pacibsp	
0xfffffff0086abca4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086abca8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086abcac: fd430091  add	x29, sp, #0x10
0xfffffff0086abcb0: 609afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086abcb4: 00403591  add	x0, x0, #0xd50
0xfffffff0086abcb8: 011c8052  mov	w1, #0xe0
