; Candidate 8210
; ADRP+ADD at VM 0xfffffff00889c79c (fileoff 0x189879c): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889c71c: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c720: 299d1691  add	x9, x9, #0x5a7
0xfffffff00889c724: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889c728: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c72c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889c730: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889c734: a80f8052  mov	w8, #0x7d
0xfffffff00889c738: f52300a9  stp	x21, x8, [sp]
0xfffffff00889c73c: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c740: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c744: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c748: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c74c: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889c750: 63681891  add	x3, x3, #0x61a
0xfffffff00889c754: 02008052  mov	w2, #0
0xfffffff00889c758: 765aea97  bl	#0xfffffff008333130
0xfffffff00889c75c: 157d8012  mov	w21, #-0x3e9
0xfffffff00889c760: 1a000014  b	#0xfffffff00889c7c8
0xfffffff00889c764: 925e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c768: f50300aa  mov	x21, x0
0xfffffff00889c76c: 80008052  mov	w0, #4
0xfffffff00889c770: 387cff97  bl	#0xfffffff00887b850
0xfffffff00889c774: 680240b9  ldr	w8, [x19]
0xfffffff00889c778: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889c77c: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c780: 09511691  add	x9, x8, #0x594
0xfffffff00889c784: a8278052  mov	w8, #0x13d
0xfffffff00889c788: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00889c78c: fbf301a9  stp	x27, x28, [sp, #0x18]
0xfffffff00889c790: a80f8052  mov	w8, #0x7d
0xfffffff00889c794: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889c798: f50300f9  str	x21, [sp]
0xfffffff00889c79c: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c7a0: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c7a4: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c7a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c7ac: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889c7b0: 633c1a91  add	x3, x3, #0x68f
0xfffffff00889c7b4: 02008052  mov	w2, #0
0xfffffff00889c7b8: 5e5aea97  bl	#0xfffffff008333130
0xfffffff00889c7bc: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff00889c7c0: 3f0300f9  str	xzr, [x25]
0xfffffff00889c7c4: 557d8012  mov	w21, #-0x3eb
0xfffffff00889c7c8: a00f8052  mov	w0, #0x7d
0xfffffff00889c7cc: e1008052  mov	w1, #7
0xfffffff00889c7d0: 007cff97  bl	#0xfffffff00887b7d0
0xfffffff00889c7d4: 60070034  cbz	w0, #0xfffffff00889c8c0
0xfffffff00889c7d8: a00f8052  mov	w0, #0x7d
0xfffffff00889c7dc: 0f7cff97  bl	#0xfffffff00887b818
0xfffffff00889c7e0: f80300aa  mov	x24, x0
0xfffffff00889c7e4: 725e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c7e8: f60300aa  mov	x22, x0
0xfffffff00889c7ec: e0008052  mov	w0, #7
0xfffffff00889c7f0: 187cff97  bl	#0xfffffff00887b850
0xfffffff00889c7f4: 98020034  cbz	w24, #0xfffffff00889c844
0xfffffff00889c7f8: f70300aa  mov	x23, x0
0xfffffff00889c7fc: 08b78752  mov	w8, #0x3db8
0xfffffff00889c800: 6002088b  add	x0, x19, x8
0xfffffff00889c804: 740240b9  ldr	w20, [x19]
0xfffffff00889c808: 8a4bfe97  bl	#0xfffffff00882f630
0xfffffff00889c80c: e05704a9  stp	x0, x21, [sp, #0x40]
0xfffffff00889c810: f46703a9  stp	x20, x25, [sp, #0x30]
0xfffffff00889c814: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c818: 089d1691  add	x8, x8, #0x5a7
