; Candidate 10567
; ADRP+ADD at VM 0xfffffff008dde4e8 (fileoff 0x1dda4e8): page=0x1fe5e6000 add_imm=0xd54

0xfffffff008dde468: c80400b5  cbnz	x8, #0xfffffff008dde500
0xfffffff008dde46c: 002ffff0  adrp	x0, #0xfffffff0073c1000
0xfffffff008dde470: 00480b91  add	x0, x0, #0x2d2
0xfffffff008dde474: 010080d2  mov	x1, #0
0xfffffff008dde478: 06afd697  bl	#0xfffffff00838a090
0xfffffff008dde47c: c01d00b4  cbz	x0, #0xfffffff008dde834
0xfffffff008dde480: fa0300aa  mov	x26, x0
0xfffffff008dde484: 01008092  mov	x1, #-1
0xfffffff008dde488: 41aed697  bl	#0xfffffff008389d8c
0xfffffff008dde48c: fb0300aa  mov	x27, x0
0xfffffff008dde490: 001f00b4  cbz	x0, #0xfffffff008dde870
0xfffffff008dde494: 19008052  mov	w25, #0
0xfffffff008dde498: 9b0f06f9  str	x27, [x28, #0xc18]
0xfffffff008dde49c: 500340f9  ldr	x16, [x26]
0xfffffff008dde4a0: f1031aaa  mov	x17, x26
0xfffffff008dde4a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008dde4a8: 301ac1da  autda	x16, x17
0xfffffff008dde4ac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008dde4b0: e90310aa  mov	x9, x16
0xfffffff008dde4b4: e0031aaa  mov	x0, x26
0xfffffff008dde4b8: f10309aa  mov	x17, x9
0xfffffff008dde4bc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008dde4c0: 11093fd7  blraa	x8, x17
0xfffffff008dde4c4: 9b0100b5  cbnz	x27, #0xfffffff008dde4f4
0xfffffff008dde4c8: e80319aa  mov	x8, x25
0xfffffff008dde4cc: 087d4093  sxtw	x8, w8
0xfffffff008dde4d0: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde4d4: 2add0a91  add	x10, x9, #0x2b7
0xfffffff008dde4d8: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde4dc: 29190691  add	x9, x9, #0x186
0xfffffff008dde4e0: e92b00a9  stp	x9, x10, [sp]
0xfffffff008dde4e4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008dde4e8: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dde4ec: 00503591  add	x0, x0, #0xd54
0xfffffff008dde4f0: cce2d597  bl	#0xfffffff008357020
0xfffffff008dde4f4: d91d0035  cbnz	w25, #0xfffffff008dde8ac
0xfffffff008dde4f8: 880f46f9  ldr	x8, [x28, #0xc18]
0xfffffff008dde4fc: 881f00b4  cbz	x8, #0xfffffff008dde8ec
0xfffffff008dde500: e5c30091  add	x5, sp, #0x30
0xfffffff008dde504: e00318aa  mov	x0, x24
0xfffffff008dde508: 01008052  mov	w1, #0
0xfffffff008dde50c: 02008052  mov	w2, #0
0xfffffff008dde510: e30317aa  mov	x3, x23
0xfffffff008dde514: e40314aa  mov	x4, x20
0xfffffff008dde518: 06010094  bl	#0xfffffff008dde930
0xfffffff008dde51c: 801300b4  cbz	x0, #0xfffffff008dde78c
0xfffffff008dde520: f40300aa  mov	x20, x0
0xfffffff008dde524: 730000b4  cbz	x19, #0xfffffff008dde530
0xfffffff008dde528: 7b0240b9  ldr	w27, [x19]
0xfffffff008dde52c: 02000014  b	#0xfffffff008dde534
0xfffffff008dde530: 1b008052  mov	w27, #0
0xfffffff008dde534: 990f46f9  ldr	x25, [x28, #0xc18]
0xfffffff008dde538: fa1b40f9  ldr	x26, [sp, #0x30]
0xfffffff008dde53c: fb4f00b9  str	w27, [sp, #0x4c]
0xfffffff008dde540: 172ffff0  adrp	x23, #0xfffffff0073c1000
0xfffffff008dde544: f7160c91  add	x23, x23, #0x305
0xfffffff008dde548: e00317aa  mov	x0, x23
0xfffffff008dde54c: 912bd597  bl	#0xfffffff008329390
0xfffffff008dde550: 001300b4  cbz	x0, #0xfffffff008dde7b0
0xfffffff008dde554: f80300aa  mov	x24, x0
0xfffffff008dde558: e00314aa  mov	x0, x20
0xfffffff008dde55c: e1031aaa  mov	x1, x26
0xfffffff008dde560: 42008052  mov	w2, #2
0xfffffff008dde564: d9d2d797  bl	#0xfffffff0083d30c8
