; Candidate 3758
; ADRP+ADD at VM 0xfffffff00875981c (fileoff 0x175581c): page=0x1fe9d8000 add_imm=0xd90

0xfffffff00875979c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0087597a0: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0087597a4: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0087597a8: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0087597ac: fd030391  add	x29, sp, #0xc0
0xfffffff0087597b0: f30301aa  mov	x19, x1
0xfffffff0087597b4: f40300aa  mov	x20, x0
0xfffffff0087597b8: 2895ff90  adrp	x8, #0xfffffff0079fd000
0xfffffff0087597bc: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0087597c0: 080140f9  ldr	x8, [x8]
0xfffffff0087597c4: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff0087597c8: f603012a  mov	w22, w1
0xfffffff0087597cc: 08058052  mov	w8, #0x28
0xfffffff0087597d0: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0087597d4: 3700a89b  umaddl	x23, w1, w8, x0
0xfffffff0087597d8: bf031cf8  stur	xzr, [x29, #-0x40]
0xfffffff0087597dc: ff6b00b9  str	wzr, [sp, #0x68]
0xfffffff0087597e0: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0087597e4: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0087597e8: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff0087597ec: e0e30091  add	x0, sp, #0x38
0xfffffff0087597f0: 08d4d897  bl	#0xfffffff007d8e810
0xfffffff0087597f4: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff0087597f8: e1030191  add	x1, sp, #0x40
0xfffffff0087597fc: 11ecdd97  bl	#0xfffffff007ed4840
0xfffffff008759800: f82340f9  ldr	x24, [sp, #0x40]
0xfffffff008759804: eb0240b9  ldr	w11, [x23]
0xfffffff008759808: 1550ff90  adrp	x21, #0xfffffff007159000
0xfffffff00875980c: b5822491  add	x21, x21, #0x920
0xfffffff008759810: 7f050031  cmn	w11, #1
0xfffffff008759814: 61010054  b.ne	#0xfffffff008759840
0xfffffff008759818: f50300f9  str	x21, [sp]
0xfffffff00875981c: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff008759820: 00403691  add	x0, x0, #0xd90
0xfffffff008759824: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008759828: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875982c: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff008759830: 63082691  add	x3, x3, #0x982
0xfffffff008759834: 02008052  mov	w2, #0
0xfffffff008759838: 3e66ef97  bl	#0xfffffff008333130
0xfffffff00875983c: eb0240b9  ldr	w11, [x23]
0xfffffff008759840: 090080d2  mov	x9, #0
0xfffffff008759844: 080080d2  mov	x8, #0
0xfffffff008759848: 0a058052  mov	w10, #0x28
0xfffffff00875984c: cc520a9b  madd	x12, x22, x10, x20
0xfffffff008759850: 8a0540f9  ldr	x10, [x12, #8]
0xfffffff008759854: 0d030acb  sub	x13, x24, x10
0xfffffff008759858: 8a410091  add	x10, x12, #0x10
0xfffffff00875985c: 4e596bf8  ldr	x14, [x10, w11, uxtw #3]
0xfffffff008759860: ad010e8b  add	x13, x13, x14
0xfffffff008759864: 4d592bf8  str	x13, [x10, w11, uxtw #3]
0xfffffff008759868: 980500f9  str	x24, [x12, #8]
0xfffffff00875986c: 4b6969f8  ldr	x11, [x10, x9]
0xfffffff008759870: 6801088b  add	x8, x11, x8
0xfffffff008759874: 29210091  add	x9, x9, #8
0xfffffff008759878: 3f6100f1  cmp	x9, #0x18
0xfffffff00875987c: 81ffff54  b.ne	#0xfffffff00875986c
0xfffffff008759880: 090080d2  mov	x9, #0
0xfffffff008759884: 0a058052  mov	w10, #0x28
0xfffffff008759888: ca520a9b  madd	x10, x22, x10, x20
0xfffffff00875988c: 4a410091  add	x10, x10, #0x10
0xfffffff008759890: 8b0c8052  mov	w11, #0x64
0xfffffff008759894: ac4301d1  sub	x12, x29, #0x50
0xfffffff008759898: add889d2  mov	x13, #0x4ec5
