; Candidate 13082
; ADRP+ADD at VM 0xfffffff0091e05a0 (fileoff 0x21dc5a0): page=0x1fe2bf000 add_imm=0xe39

0xfffffff0091e0520: 1002118b  add	x16, x16, x17
0xfffffff0091e0524: 080240f9  ldr	x8, [x16]
0xfffffff0091e0528: e90310aa  mov	x9, x16
0xfffffff0091e052c: e10316aa  mov	x1, x22
0xfffffff0091e0530: e20315aa  mov	x2, x21
0xfffffff0091e0534: e32740f9  ldr	x3, [sp, #0x48]
0xfffffff0091e0538: f10309aa  mov	x17, x9
0xfffffff0091e053c: 1197fef2  movk	x17, #0xf4b8, lsl #48
0xfffffff0091e0540: 11093fd7  blraa	x8, x17
0xfffffff0091e0544: f70300aa  mov	x23, x0
0xfffffff0091e0548: 1f000071  cmp	w0, #0
0xfffffff0091e054c: 021b45fa  ccmp	x24, #5, #2, ne
0xfffffff0091e0550: 18070091  add	x24, x24, #1
0xfffffff0091e0554: c3faff54  b.lo	#0xfffffff0091e04ac
0xfffffff0091e0558: b7020034  cbz	w23, #0xfffffff0091e05ac
0xfffffff0091e055c: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff0091e0560: 1f010071  cmp	w8, #0
0xfffffff0091e0564: 08048052  mov	w8, #0x20
0xfffffff0091e0568: e94740b9  ldr	w9, [sp, #0x44]
0xfffffff0091e056c: 1301891a  csel	w19, w8, w9, eq
0xfffffff0091e0570: e94340b9  ldr	w9, [sp, #0x40]
0xfffffff0091e0574: 1401891a  csel	w20, w8, w9, eq
0xfffffff0091e0578: e93f40b9  ldr	w9, [sp, #0x3c]
0xfffffff0091e057c: 1501891a  csel	w21, w8, w9, eq
0xfffffff0091e0580: e93b40b9  ldr	w9, [sp, #0x38]
0xfffffff0091e0584: 1601891a  csel	w22, w8, w9, eq
0xfffffff0091e0588: e00317aa  mov	x0, x23
0xfffffff0091e058c: 9a24fe97  bl	#0xfffffff0091697f4
0xfffffff0091e0590: e803172a  mov	w8, w23
0xfffffff0091e0594: e80302a9  stp	x8, x0, [sp, #0x20]
0xfffffff0091e0598: f55b01a9  stp	x21, x22, [sp, #0x10]
0xfffffff0091e059c: f35300a9  stp	x19, x20, [sp]
0xfffffff0091e05a0: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e05a4: 00e43891  add	x0, x0, #0xe39
0xfffffff0091e05a8: 9edac597  bl	#0xfffffff008357020
0xfffffff0091e05ac: e00317aa  mov	x0, x23
0xfffffff0091e05b0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0091e05b4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0091e05b8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0091e05bc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0091e05c0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0091e05c4: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0091e05c8: ffc30291  add	sp, sp, #0xb0
0xfffffff0091e05cc: ff0f5fd6  retab	
0xfffffff0091e05d0: 7f2303d5  pacibsp	
0xfffffff0091e05d4: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0091e05d8: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0091e05dc: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0091e05e0: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0091e05e4: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0091e05e8: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0091e05ec: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0091e05f0: fd830291  add	x29, sp, #0xa0
0xfffffff0091e05f4: e32700f9  str	x3, [sp, #0x48]
0xfffffff0091e05f8: f50302aa  mov	x21, x2
0xfffffff0091e05fc: f60301aa  mov	x22, x1
0xfffffff0091e0600: f30300aa  mov	x19, x0
0xfffffff0091e0604: 180080d2  mov	x24, #0
0xfffffff0091e0608: 297c1853  lsr	w9, w1, #0x18
0xfffffff0091e060c: 285c1053  ubfx	w8, w1, #0x10, #8
0xfffffff0091e0610: e8270829  stp	w8, w9, [sp, #0x40]
0xfffffff0091e0614: 293c0853  ubfx	w9, w1, #8, #8
0xfffffff0091e0618: 281c0012  and	w8, w1, #0xff
0xfffffff0091e061c: e8270729  stp	w8, w9, [sp, #0x38]
