; Candidate 12170
; ADRP+ADD at VM 0xfffffff009047084 (fileoff 0x2043084): page=0x1fe401000 add_imm=0xd44

0xfffffff009047004: 685a47b9  ldr	w8, [x19, #0x758]
0xfffffff009047008: 1f050071  cmp	w8, #1
0xfffffff00904700c: a1070054  b.ne	#0xfffffff009047100
0xfffffff009047010: 68565d39  ldrb	w8, [x19, #0x755]
0xfffffff009047014: 1f050071  cmp	w8, #1
0xfffffff009047018: 41070054  b.ne	#0xfffffff009047100
0xfffffff00904701c: e00313aa  mov	x0, x19
0xfffffff009047020: ebfcff97  bl	#0xfffffff0090463cc
0xfffffff009047024: c00b0034  cbz	w0, #0xfffffff00904719c
0xfffffff009047028: 087c4093  sxtw	x8, w0
0xfffffff00904702c: 49108352  mov	w9, #0x1882
0xfffffff009047030: bc010014  b	#0xfffffff009047720
0xfffffff009047034: e00313aa  mov	x0, x19
0xfffffff009047038: 61008052  mov	w1, #3
0xfffffff00904703c: c4020094  bl	#0xfffffff009047b4c
0xfffffff009047040: 68525d39  ldrb	w8, [x19, #0x754]
0xfffffff009047044: 08270034  cbz	w8, #0xfffffff009047524
0xfffffff009047048: e00313aa  mov	x0, x19
0xfffffff00904704c: 09ceff97  bl	#0xfffffff00903a870
0xfffffff009047050: e00313aa  mov	x0, x19
0xfffffff009047054: 01008052  mov	w1, #0
0xfffffff009047058: 02008052  mov	w2, #0
0xfffffff00904705c: 03008052  mov	w3, #0
0xfffffff009047060: 36adff97  bl	#0xfffffff009032538
0xfffffff009047064: c0090034  cbz	w0, #0xfffffff00904719c
0xfffffff009047068: 087c4093  sxtw	x8, w0
0xfffffff00904706c: c9158352  mov	w9, #0x18ae
0xfffffff009047070: 30000014  b	#0xfffffff009047130
0xfffffff009047074: 68465e39  ldrb	w8, [x19, #0x791]
0xfffffff009047078: 28090035  cbnz	w8, #0xfffffff00904719c
0xfffffff00904707c: 28018052  mov	w8, #9
0xfffffff009047080: f92300a9  stp	x25, x8, [sp]
0xfffffff009047084: 0020ffb0  adrp	x0, #0xfffffff007448000
0xfffffff009047088: 00103591  add	x0, x0, #0xd44
0xfffffff00904708c: e53fcc97  bl	#0xfffffff008357020
0xfffffff009047090: e8198352  mov	w8, #0x18cf
0xfffffff009047094: 5bffff17  b	#0xfffffff009046e00
0xfffffff009047098: 680a5d39  ldrb	w8, [x19, #0x742]
0xfffffff00904709c: 08080034  cbz	w8, #0xfffffff00904719c
0xfffffff0090470a0: e00313aa  mov	x0, x19
0xfffffff0090470a4: 47020094  bl	#0xfffffff0090479c0
0xfffffff0090470a8: e00313aa  mov	x0, x19
0xfffffff0090470ac: 36f8ff97  bl	#0xfffffff009045184
0xfffffff0090470b0: 60070034  cbz	w0, #0xfffffff00904719c
0xfffffff0090470b4: 087c4093  sxtw	x8, w0
0xfffffff0090470b8: 49fb8252  mov	w9, #0x17da
0xfffffff0090470bc: 99010014  b	#0xfffffff009047720
0xfffffff0090470c0: 68065d39  ldrb	w8, [x19, #0x741]
0xfffffff0090470c4: 68000035  cbnz	w8, #0xfffffff0090470d0
0xfffffff0090470c8: 680a5d39  ldrb	w8, [x19, #0x742]
0xfffffff0090470cc: 08300034  cbz	w8, #0xfffffff0090476cc
0xfffffff0090470d0: e00313aa  mov	x0, x19
0xfffffff0090470d4: 3b020094  bl	#0xfffffff0090479c0
0xfffffff0090470d8: 68065d39  ldrb	w8, [x19, #0x741]
0xfffffff0090470dc: 682b0034  cbz	w8, #0xfffffff009047648
0xfffffff0090470e0: e00313aa  mov	x0, x19
0xfffffff0090470e4: 01008052  mov	w1, #0
0xfffffff0090470e8: 02008052  mov	w2, #0
0xfffffff0090470ec: 7ab9ff97  bl	#0xfffffff0090356d4
0xfffffff0090470f0: 60050034  cbz	w0, #0xfffffff00904719c
0xfffffff0090470f4: 087c4093  sxtw	x8, w0
0xfffffff0090470f8: e9f78252  mov	w9, #0x17bf
0xfffffff0090470fc: 89010014  b	#0xfffffff009047720
0xfffffff009047100: e00313aa  mov	x0, x19
